"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"1",297.649994,304.500008,293.999996,303.589993,3480500,49.10176
"2",300,305.779991,299.060001,302.450008,2883000,48.917383
"3",303.290005,312.439995,300.550003,307.210007,4898000,49.687251
"4",310.580006,313.050003,307.770004,309.750004,5041000,50.098063
"5",307.140007,313.799992,307.140007,310.650005,2502500,50.243626
"6",309.780006,312.479992,305.919991,309.519997,3982500,50.060862
"7",311.070004,311.499996,305.499992,307.140007,3663000,49.675929
"8",310.100002,313.379993,305.66,307.299995,3063500,49.701805
"9",308.029995,314.050007,303.519993,304.069996,3765000,49.179395
"10",304.039993,307.889996,299.400005,300.569992,2455000,48.613314
"11",298.829994,300.890007,289.669991,290.189991,3161000,46.934483
"12",294.869995,300.979996,293.260002,297.280006,5665500,48.081201
"13",299.209995,303.560009,296.800003,296.800003,3740500,48.003567
"14",293.349991,294.500008,287.019997,287.910004,3775500,46.565725
"15",287.159996,290.450001,280.779991,281.550007,3432000,45.537077
"16",281.299992,283.950005,272.770004,278.500004,7860500,45.043779
"17",279.020004,279.990005,273.630009,274.860001,3372000,44.455055
"18",279.659996,280.900002,272.399998,274.519997,4058000,44.400064
"19",273.509998,278.419991,273.509998,278.129997,3082500,44.983935
"20",279.260006,282.800007,276.639996,281.630001,3354500,45.550015
"21",281.650009,282.940006,275,277.189999,2885000,44.831902
"22",275.680008,279.279995,275,277.019997,3386500,44.804407
"23",278.880005,280.879993,277.169991,278.299999,2769000,45.01143
"24",276.900005,278.950005,271.189995,275.489998,3698500,44.556949
"25",274.899998,277.180004,271.889992,276.350002,3153000,44.696044
"26",274.810009,276.089993,264.519997,266.229992,5664500,43.059263
"27",266.919994,270.020008,265.419998,267.469997,2215000,43.259818
"28",265.790005,275.949993,265.060005,275.240002,3853000,44.516515
"29",275.939999,276.84,272.830009,273.150005,4436500,44.178485
"30",275.869999,283.190002,275.139999,281.720009,3436000,45.564573
"31",280.310001,287.689991,279.969997,286.560001,2766500,46.347379
"32",286.289997,287.819996,282.000008,283.670006,2140000,45.87996
"33",285.200005,286.499996,283.080006,283.859997,1926500,45.910688
"34",285.769997,287.900009,283.500004,283.509998,2526500,45.854081
"35",287.929993,289.720001,284.009991,285.830002,2757500,46.229311
"36",282.730007,285.319996,275.860004,278.799992,2568000,45.092298
"37",281.970005,286.639996,281.32,286.130009,2002000,46.277833
"38",287.029991,287.029991,278.670006,279.570007,2296000,45.216838
"39",280,282.649994,276.819992,278.16,2306500,44.988787
"40",276.790009,277.919998,274.150009,274.850006,2143000,44.453439
"41",272.980003,275.830002,267.689991,271.459999,3255500,43.905149
"42",272.609997,272.749996,268.689995,271.970005,2389500,43.987636
"43",269.979992,270.699997,263.719997,263.910007,3757000,42.684035
"44",259.039993,259.979992,250.809994,252.119999,6281000,40.777154
"45",247.870007,250.979996,244.130001,249.389992,5732500,40.33561
"46",247.950001,251.429996,244.750004,244.820004,3036000,39.596474
"47",243.850002,249.239998,242.290001,246.490002,3287000,39.866574
