"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"1",40.790001,41.470001,40.630001,41.259998,7263800,36.743913
"2",40.75,41.380001,40.470001,41.32,6640000,36.797347
"3",41.349998,42.189999,41.349998,41.529999,6074000,36.98436
"4",41.959999,43.049999,41.799999,43.040001,5398100,38.329086
"5",42.580002,43,42.509998,42.75,5222400,38.070827
"6",42.869999,42.91,42.060001,42.650002,6514400,37.981774
"7",42.77,42.959999,42.5,42.919998,8643900,38.222218
"8",43.419998,43.77,42.650002,42.93,5312300,38.231126
"9",43.110001,43.279999,42.119999,42.200001,4753800,37.581028
"10",42.169998,42.330002,41.5,41.84,5034700,37.260431
"11",41.610001,41.779999,40.900002,41,5183200,36.512372
"12",41.119999,41.84,40.939999,41.599998,6270900,37.046698
"13",41.82,41.869999,41.110001,41.200001,3017900,36.690482
"14",40.48,40.540001,39.07,39.330002,7576800,35.025163
"15",38.59,39.91,38.540001,39.029999,8210400,34.757996
"16",38.990002,38.990002,37.889999,38.549999,8037600,34.330535
"17",38.59,39.029999,38.18,38.529999,5100900,34.312723
"18",39.139999,39.349998,38.369999,38.709999,5493900,34.473022
"19",38.740002,40.189999,38.709999,40.189999,5937800,35.791029
"20",40.669998,40.849998,40.16,40.73,3940800,36.271925
"21",40.84,41.349998,40.599998,41.27,4998400,36.75282
"22",41.130001,41.369999,40.669998,40.82,2972500,36.352074
"23",41.419998,42.099998,41.310001,41.849998,4693700,37.269335
"24",41.650002,42.029999,41.389999,41.689999,3525500,37.126848
"25",41.75,42.060001,40.720001,41.790001,5221700,37.215904
"26",41.43,41.549999,40.080002,40.189999,5516900,35.791029
"27",40.43,40.549999,40.029999,40.349998,3974900,35.933516
"28",39.75,41.27,39.599998,41.200001,4393600,36.690482
"29",41.459999,41.93,40.860001,41.130001,4893300,36.628144
"30",41.639999,42.779999,41.599998,42.66,5808800,37.990678
"31",43.32,43.869999,42.5,43.5,8148700,38.738736
"32",43.450001,44.23,43.360001,43.889999,5450300,39.086049
"33",44.240002,44.299999,43.360001,43.43,6354900,38.676399
"34",43.5,43.5,43,43.240002,4137700,38.507196
"35",43.450001,43.619999,42.240002,42.720001,7018800,38.044112
"36",42.529999,43.049999,41.810001,42.860001,4437500,38.168788
"37",43.66,43.919998,43.330002,43.73,4521300,38.943562
"38",43.580002,43.599998,43.02,43.139999,5047900,38.418139
"39",43.369999,44.16,43.25,43.98,4774600,39.166198
"40",43.66,44.169998,43.610001,44.119999,3169500,39.290874
"41",43.5,44.049999,43.049999,43.77,3270000,38.979184
"42",44.07,44.099998,43.66,43.889999,2105600,39.086049
"43",43.540001,43.689999,42.970001,43.419998,3411100,38.667491
"44",42.57,42.700001,41.560001,41.810001,5493100,37.233716
"45",41.150002,41.529999,41.060001,41.290001,3437400,36.770631
"46",41.119999,41.509998,41.07,41.32,3236300,36.797347
"47",41.029999,41.369999,40.509998,41.18,2926400,36.672671
"48",41.880001,43.02,41.650002,42.389999,6045200,37.75023
"49",42.27,42.389999,41.73,42.16,4041700,37.815709
"50",41.889999,41.889999,40.459999,40.77,6059200,36.568939
"51",40.360001,40.75,40.049999,40.639999,4478700,36.452334
"52",40.77,41.049999,40.139999,40.16,3154400,36.021795
"53",39.689999,39.709999,38.720001,39.34,6741800,35.28629
"54",38.939999,39.099998,38.080002,38.82,7663300,34.819872
"55",39.200001,39.360001,38.57,38.700001,4579100,34.712238
"56",39.060001,39.689999,38.389999,39.650002,4132700,35.564348
"57",39.419998,39.75,38.830002,38.860001,2934500,34.855751
"58",38.740002,39.290001,38.290001,39.060001,6732200,35.035143
"59",39.59,41.110001,39.450001,40.880001,6675700,36.667605
"60",40.959999,42.009998,40.959999,42.009998,6618900,37.681164
"61",42.360001,43.25,42.360001,42.82,5675300,38.4077
"62",42.48,42.68,41.84,41.93,4598800,37.609409
"63",41.900002,42.52,41.900002,42.189999,3819600,37.842616
"64",42.779999,42.919998,41.810001,41.970001,4079400,37.645288
"65",42.16,42.889999,41.93,42.810001,4535700,38.398732
"66",43.310001,43.59,43.09,43.299999,4206500,38.838239
"67",43.279999,43.790001,43.049999,43.540001,4906700,39.05351
"68",43.360001,43.630001,43.150002,43.57,4917900,39.080418
"69",43.34,43.860001,43.310001,43.73,4372200,39.223931
"70",43.889999,44.080002,43.540001,43.82,6187900,39.304657
"71",44.040001,44.41,43.68,44.310001,4632800,39.744168
"72",44.349998,44.509998,43.889999,44.310001,4875500,39.744168
"73",44.130001,44.32,43.380001,43.68,4414000,39.179084
"74",43.580002,43.959999,43.09,43.23,4950000,38.775452
"75",43.700001,44.490002,43.700001,44.459999,4054000,39.878709
"76",44.509998,44.509998,43.700001,43.84,4060400,39.322597
"77",43.950001,44.32,43.200001,44.189999,4590200,39.63653
"78",43.900002,44.290001,43.740002,44.040001,4126300,39.501989
"79",44.349998,44.889999,43.700001,43.939999,5434600,39.412291
"80",44.220001,44.709999,44.02,44.150002,4857200,39.600655
"81",44.150002,44.540001,43.41,43.610001,4014500,39.116297
"82",44.049999,45.23,43.990002,45.009998,6413500,40.372035
"83",45.009998,45.849998,45,45.720001,5560600,41.008877
"84",45.860001,45.860001,45.060001,45.48,4303000,40.793606
"85",45.57,45.889999,45.169998,45.75,3593900,41.035785
"86",45.669998,45.849998,45.41,45.610001,3167100,40.910211
"87",45.400002,45.669998,44.75,45.549999,3597100,40.856392
"88",45.869999,46.68,45.720001,46.41,4761000,41.627776
"89",46.380001,46.400002,45.73,46.169998,3984200,41.412505
"90",46.560001,46.700001,45.93,46.490002,4764900,41.699534
"91",46.509998,47.02,46.299999,47,4363400,42.156981
"92",46.299999,46.830002,45.720001,46.16,7425000,41.403537
"93",46.34,47.290001,46.259998,46.41,9258200,41.627776
"94",46.709999,47.259998,46.380001,46.669998,5952700,41.860983
"95",46.639999,47.349998,45.349998,47.259998,7119400,42.390188
"96",47.75,48.279999,47.439999,47.529999,4924300,42.632367
"97",47.419998,47.459999,46.889999,47.279999,3981700,42.408128
"98",46.639999,47.150002,46.259998,47.09,4053500,42.237707
"99",47.470001,47.779999,46.630001,47.099998,3259400,42.246675
"100",46.880001,47.209999,46.610001,47.110001,3097000,42.255647
"101",46.93,47.369999,46.560001,46.799999,4397200,41.977589
"102",47.07,47.400002,46.93,47.240002,2925700,42.372252
"103",47.389999,47.599998,46.740002,47.439999,3254400,42.551641
"104",47.970001,49.02,47.849998,49.009998,8076900,43.959863
"105",49,49.34,48.75,49.279999,7749200,44.202042
"106",48.970001,49.380001,48.75,49.110001,5709900,44.049561
"107",49.330002,49.330002,48.75,49.02,6468800,43.968835
"108",48.98,48.98,48.48,48.830002,4554300,43.798414
"109",48.490002,48.709999,47.900002,48.310001,4345700,43.331996
"110",48.040001,48.200001,47.200001,47.52,4981400,42.623399
"111",47.650002,48.07,47.52,47.59,3194400,42.686186
"112",47.950001,49.5,47.950001,48.439999,13878700,43.448598
"113",48.5,49.119999,48.169998,48.82,8913400,44.065077
"114",49.439999,49.970001,49.310001,49.740002,4737000,44.895473
"115",49.639999,49.790001,49.130001,49.779999,4687200,44.931575
"116",49.389999,50.049999,49.029999,49.650002,4386300,44.814239
"117",49.200001,49.919998,49.080002,49.599998,4740600,44.769106
"118",49.830002,50.439999,49.73,50.41,5072500,45.500216
"119",49.790001,50.290001,49.549999,50.130001,1582600,45.247488
"120",49.779999,50.049999,49.189999,49.93,3821900,45.066967
"121",49.619999,50.040001,49.099998,49.709999,4131600,44.868393
"122",50.41,51.23,50.41,50.880001,5098400,45.92444
"123",50.84,51.490002,50.599998,51.189999,5237100,46.204245
"124",51.09,51.540001,50.77,51.450001,3717000,46.438924
"125",51.279999,51.41,50.950001,51.169998,3109600,46.186192
"126",51.630001,51.93,51.299999,51.43,4433200,46.420871
"127",51.43,51.82,51.130001,51.369999,3729300,46.366714
"128",51.66,51.77,51.25,51.34,2952500,46.339637
"129",51.509998,52.290001,51.369999,51.98,5347500,46.917302
"130",52.23,52.400002,51.889999,52,3439400,46.935354
