"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"1",37.009998,37.689999,36.990002,37.66,3363700,33.665276
"2",37.470001,37.650002,37.169998,37.639999,3064400,33.647397
"3",37.740002,38.240002,37.740002,37.799999,2597900,33.790426
"4",37.459999,38.560001,37.279999,38.540001,3651300,34.451933
"5",37.779999,38.880001,37.740002,38.689999,3125000,34.58602
"6",38.73,38.849998,38.25,38.490002,3530400,34.407237
"7",38.700001,39.34,38.439999,38.93,4133700,34.800564
"8",39.169998,39.25,38.59,38.810001,3832000,34.693293
"9",38.549999,39.099998,38.220001,38.240002,4349300,34.183755
"10",38.450001,38.630001,37.810001,38.169998,5422500,34.121177
"11",38.139999,38.290001,37.369999,37.549999,6791800,33.566944
"12",39.400002,41.130001,39.240002,40.549999,53159900,36.248724
"13",40.360001,40.549999,39.560001,39.720001,8682500,35.506766
"14",39,39.23,38.490002,38.650002,6533100,34.550265
"15",39.34,39.450001,38.52,38.650002,5956900,34.550265
"16",38.360001,38.540001,37.77,38.279999,6624400,34.21951
"17",38.189999,38.43,37.68,37.939999,3773400,33.915575
"18",38.200001,38.720001,37.990002,38.41,4655500,34.335721
"19",38.400002,39.259998,38.34,39.259998,4391400,35.095558
"20",39.34,39.650002,39.009998,39.34,4044900,35.167073
"21",39.290001,39.52,38.880001,39.419998,3749400,35.238586
"22",39.189999,39.799999,39.009998,39.73,3226500,35.515704
"23",39.779999,40.349998,39.779999,40.25,5391800,35.980546
"24",40,40.330002,39.990002,40.099998,2947600,35.846456
"25",39.959999,40.09,39.57,40.02,3112600,35.774944
"26",39.700001,39.73,38.900002,39,2709900,34.863138
"27",39.119999,39.459999,38.990002,39.169998,3373600,35.015104
"28",38.5,39,37.98,38.900002,6895300,34.773747
"29",39.27,39.27,38.389999,38.610001,5012400,34.514507
"30",39.040001,39.889999,39.040001,39.759998,5482100,35.542521
"31",39.59,40.419998,39.380001,40.380001,4811500,36.096758
"32",40.259998,40.619999,40.119999,40.48,2429200,36.186149
"33",40.389999,40.57,40.169998,40.330002,5086100,36.052062
"34",40.189999,40.330002,39.73,39.860001,4180400,35.631916
"35",40.27,40.27,39.16,39.25,4657700,35.08662
"36",39,39.790001,39,39.639999,3355500,35.435251
"37",40.169998,40.330002,39.790001,40.330002,3614200,36.052062
"38",40.330002,40.529999,39.93,40,3803600,35.757065
"39",39.970001,40.43,39.919998,40.34,3367300,36.061
"40",40.169998,40.220001,39.919998,39.970001,2836300,35.730248
"41",39.75,40.369999,39.650002,40.27,3869300,35.998425
"42",40.060001,40.75,39.990002,40.57,2820600,36.266603
"43",39.849998,40.740002,39.700001,40.470001,3381500,36.177211
"44",39.860001,40.189999,39.720001,39.990002,3015300,35.748127
"45",39.310001,39.580002,39.18,39.459999,3496600,35.274344
"46",39.25,39.509998,38.830002,38.849998,3434100,34.729048
"47",38.880001,39.23,38.48,38.91,2820400,34.782685
"48",39.25,39.959999,39.139999,39.66,3161100,35.45313
"49",39.709999,39.759998,39.389999,39.66,2261500,35.45313
"50",39.419998,39.619999,38.650002,38.900002,4763400,34.773747
"51",38.709999,38.759998,38.189999,38.419998,4549300,34.344659
"52",38.689999,38.73,37.509998,38,5212400,33.969212
"53",37.529999,37.939999,37.189999,37.189999,5303000,33.24513
"54",36.919998,37.389999,36.830002,37.279999,5689400,33.325583
"55",37.5,37.700001,37.099998,37.139999,3598200,33.200434
"56",37.369999,37.490002,36.970001,37.200001,3928800,33.254071
"57",36.959999,37.34,36.799999,36.900002,2601900,32.985894
"58",36.610001,36.860001,36.450001,36.599998,5827600,32.717713
"59",36.970001,37.830002,36.970001,37.400002,5251900,33.432857
"60",37.380001,38.02,37.220001,37.990002,3656500,33.960274
"61",38.470001,38.599998,38.07,38.580002,2960900,34.487691
"62",38.610001,38.82,38.279999,38.349998,2669400,34.282085
