"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"143",130.740005,131.470001,129.610001,130.139999,601700,130.139999
"144",131.850006,133.199997,131.729996,132.779999,1079000,132.779999
"145",133.5,133.509995,130.419998,131.119995,1106600,131.119995
"146",130.520004,132.699997,130.240005,131.600006,806000,131.600006
"147",131.949997,135.839996,131,134.529999,1477700,134.529999
"148",135.5,135.5,132.399994,133.580002,718600,133.580002
"149",133.770004,137.380005,133.770004,136.429993,1530800,136.429993
"150",137.389999,138.470001,135.389999,137.690002,1044900,137.690002
"151",139,140.139999,138.119995,139.830002,1275400,139.830002
"152",139.5,142.110001,139,141.550003,1383700,141.550003
"153",140.770004,141.490005,139.210007,140.839996,979800,140.839996
"154",140.009995,148.429993,139.649994,147.949997,2222200,147.949997
"155",146.279999,148.669998,143.190002,143.679993,1952400,143.679993
"156",141.979996,147.899994,141.910004,147.389999,1306000,147.389999
"157",148.160004,148.600006,144.449997,147.410004,1761500,147.410004
"158",150.25,157.5,150.220001,156.399994,3725400,156.399994
"159",154.309998,158.710007,149.649994,150.619995,3125600,150.619995
"160",150.889999,153.699997,148.639999,151.860001,1992500,151.860001
"161",151.550003,153.380005,150.690002,151.020004,1122800,151.020004
"162",151.300003,153,147.419998,147.490005,1256700,147.490005
"163",147.770004,154.809998,147,154.580002,1746400,154.580002
"164",155.899994,159.229996,153.449997,156.100006,2025600,156.100006
"165",157.320007,165.899994,157.320007,164.399994,3072300,164.399994
"166",162.190002,163,159.479996,162.169998,1447600,162.169998
"167",159.229996,160.720001,157.160004,157.940002,1405700,157.940002
"168",158.699997,163,158.619995,159.300003,1163300,159.300003
"169",156.360001,158.779999,155.770004,158.479996,1372700,158.479996
"170",159.490005,159.75,154.059998,155.279999,1105300,155.279999
"171",154.970001,158.869995,154.139999,157.470001,941700,157.470001
"172",157.929993,167.399994,156.289993,166.110001,2610300,166.110001
"173",164.889999,172.300003,164.009995,167.75,2347400,167.75
"174",167.75,170.139999,165.270004,166.259995,1055400,166.259995
"175",167.429993,169.320007,166.300003,169,1163800,169
"176",169.889999,171.960007,169,170.800003,1583300,170.800003
"177",174.710007,175.449997,167.389999,168.220001,2026400,168.220001
"178",166,169.910004,163.199997,164.100006,1449400,164.100006
"179",164.889999,167.139999,159.899994,163.020004,1576200,163.020004
"180",164.160004,168.740005,163,164.679993,2622200,164.679993
"181",161.509995,161.509995,155,155.720001,3318300,155.720001
"182",153.770004,155.210007,146.789993,147.389999,3847600,147.389999
"183",148.300003,150.649994,145.009995,147.369995,2461300,147.369995
"184",148.190002,149,144.589996,145.639999,1936000,145.639999
"185",149.009995,150.600006,143.899994,145.910004,2973700,145.910004
"186",146.179993,148.389999,145.220001,146.570007,2060600,146.570007
"187",147.449997,147.699997,141.710007,142.550003,1498600,142.550003
"188",142.300003,143.869995,139.509995,143.169998,1905100,143.169998
"189",143.589996,144.300003,141.029999,142.699997,1421700,142.699997
"190",141,142.190002,138,140.050003,1641900,140.050003
"191",137.539993,141.080002,137.100006,139.740005,1472500,139.740005
"192",146.699997,147.300003,144.100006,146.910004,2978200,146.910004
"193",151.820007,159.619995,150.279999,158.910004,6292000,158.910004
"194",157.580002,158.5,152.300003,155.080002,3057900,155.080002
"195",156.369995,158.5,152.539993,154,1995200,154
"196",154.460007,154.979996,149.509995,149.660004,2159300,149.660004
"197",151.75,152.179993,149.830002,150.179993,1222400,150.179993
"198",151.820007,152.009995,147.690002,149,965500,149
"199",148.820007,150.809998,147.809998,149.850006,968200,149.850006
"200",151.490005,151.960007,149.25,150.179993,703000,150.179993
"201",150.869995,151,147.929993,150.440002,1210100,150.440002
"202",153.020004,156.869995,152.949997,153.279999,1793700,153.279999
"203",153.380005,157.820007,152.25,156.080002,1086300,156.080002
"204",158,158.529999,154.199997,155.389999,1066000,155.389999
"205",155.429993,161.009995,155.429993,160.839996,1729200,160.839996
"206",163,163,156.770004,160.399994,1863700,160.399994
"207",161.380005,161.399994,155.100006,156.259995,954600,156.259995
"208",156.100006,156.779999,151.800003,153.009995,1030700,153.009995
"209",154.380005,154.449997,148.070007,150.600006,1608700,150.600006
"210",147.949997,149.639999,146.600006,148.800003,1396600,148.800003
"211",150.690002,150.690002,145.100006,147.320007,1196600,147.320007
"212",148.210007,148.539993,143.660004,144.399994,1097200,144.399994
"213",144.199997,145.199997,142.289993,143.649994,1062300,143.649994
"214",145.240005,147.199997,143.399994,144.729996,1609200,144.729996
"215",141.570007,142.050003,137.179993,140.899994,2773700,140.899994
"216",141.970001,142.039993,137.309998,137.639999,2283400,137.639999
"217",136.460007,137.779999,133.75,136.940002,1630800,136.940002
"218",137.460007,137.460007,132.169998,134.259995,2362700,134.259995
