"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"1",137.600006,137.770004,131.300003,133.770004,21931000,125.340506
"2",133.330002,136.050003,133,135.639999,9241800,127.092663
"3",137.110001,137.110001,133.399994,133.440002,10951400,125.031299
"4",134.630005,137.399994,133.300003,136.899994,10649300,128.273259
"5",136.059998,138.259995,135.710007,137.059998,7077700,128.42318
"6",136.949997,138.380005,135.220001,137.320007,8104300,128.666806
"7",137.820007,139.720001,137.520004,138.179993,10154900,129.472599
"8",139.649994,140.149994,137.309998,137.740005,8691000,129.060338
"9",137.539993,137.75,134.589996,134.789993,9002200,126.29622
"10",133.899994,136.380005,132.729996,135.070007,8232200,126.558589
"11",134.139999,135.979996,133.110001,134.979996,9967900,126.47425
"12",136.990005,140.899994,135.429993,139.660004,14332300,130.859347
"13",140.380005,140.380005,136.529999,136.660004,9908100,128.048392
"14",134.979996,135.850006,133.169998,133.759995,10338100,125.331127
"15",133.679993,134.300003,131.020004,131.270004,9139800,122.998043
"16",131.690002,133.75,129.5,131.139999,11645300,122.87623
"17",132.110001,132.380005,129.690002,131.080002,6566400,122.820013
"18",133.740005,134.389999,131.070007,132.259995,7820100,123.925649
"19",132.440002,136.130005,132.070007,135.830002,9300400,127.270693
"20",136.919998,137.169998,133.559998,135.460007,9895700,126.924013
"21",135.360001,138.5,134.589996,138.059998,6919900,129.360165
"22",137.610001,138.309998,136.029999,137.25,4728900,128.60121
"23",138.5,141.199997,138.110001,140.25,8983900,131.412165
"24",139.289993,139.589996,137.649994,139.059998,6068500,130.297151
"25",140.020004,146.25,137.820007,145.220001,21621900,136.068982
"26",151.470001,152,146.050003,146.169998,29604600,136.959115
"27",147.669998,147.699997,144.100006,145.679993,10875900,136.499988
"28",142.179993,149.729996,141.550003,148.910004,20571400,139.52646
"29",150.050003,150.970001,146.860001,146.990005,11337000,137.72745
"30",148.880005,149.880005,144.160004,146.550003,13307300,137.315174
"31",146.649994,148.410004,144.570007,147.380005,7306900,138.092874
"32",147.389999,149,145.210007,148.199997,6089000,138.861194
"33",149.089996,149.660004,147,147.229996,7151200,137.952317
"34",147,148.649994,146.779999,147.199997,4845600,137.924209
"35",148.270004,153.149994,147.630005,152.580002,15657700,142.965194
"36",151.350006,153.410004,150.800003,150.820007,8792400,141.316105
"37",152.820007,153.639999,151.610001,152.740005,6523100,143.115115
"38",152.119995,153.960007,151.410004,153.190002,5648500,143.536755
"39",153.619995,157.25,153,156.410004,12283700,146.553848
"40",155.630005,156.220001,154.399994,155.919998,5680200,146.094721
