"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"1",118.019997,119.879997,116.370003,118.660004,3538300,118.660004
"2",117.480003,121.550003,116.599998,120.690002,4099100,120.690002
"3",123.400002,127.959999,122.800003,126.809998,4969000,126.809998
"4",125,125.190002,122.230003,123.5,4530100,123.5
"5",122.800003,126,120.019997,124.669998,4377100,124.669998
"6",125.550003,127.800003,124.400002,125.860001,2658700,125.860001
"7",125.93,127.099998,124.519997,126.419998,2492300,126.419998
"8",126.040001,126.699997,117.400002,118.989998,3725500,118.989998
"9",119.519997,120.400002,114.080002,116.43,3961900,116.43
"10",117.75,119,114.019997,117.769997,2104700,117.769997
"11",116.879997,117.860001,114.610001,115.25,1948100,115.25
"12",115.410004,118.620003,112.5,117.980003,2589900,117.980003
"13",118.669998,119.879997,116.220001,117.610001,1650500,117.610001
"14",115.419998,115.830002,112.07,112.580002,2918500,112.580002
"15",109.989998,113.290001,107.989998,108.650002,3729200,108.650002
"16",108.800003,110.459999,103.269997,109.660004,3251400,109.660004
"17",110.660004,111.440002,106.300003,107.080002,1602600,107.080002
"18",109.400002,111.410004,106.290001,107.269997,2253400,107.269997
"19",108.82,118.5,107.279999,118.489998,4069100,118.489998
"20",120.019997,122.75,115.190002,116.980003,3754700,116.980003
"21",116.18,117.839996,114.279999,117.529999,1818000,117.529999
"22",117.949997,120.5,117.099998,119.379997,1915800,119.379997
"23",121.419998,121.709999,117.849998,120.919998,2511600,120.919998
"24",120.519997,124,119.099998,123,1949100,123
"25",121.669998,122.25,119.239998,121.110001,2185100,121.110001
"26",120.699997,120.980003,117.75,118.389999,2067600,118.389999
"27",117.769997,120.129997,115.150002,118.900002,1891300,118.900002
"28",117.150002,120.900002,114.550003,120.389999,2517700,120.389999
"29",122.050003,123.599998,118.879997,119.650002,4722200,119.650002
"30",109.5,112.470001,101.75,103.559998,13659700,103.559998
"31",104.980003,108.75,102.209999,107.699997,4786800,107.699997
"32",108.510002,108.989998,101.559998,102.790001,4708500,102.790001
"33",105,105.459999,102.529999,104.089996,3242800,104.089996
"34",103.790001,104.360001,99.699997,100.309998,4946700,100.309998
"35",100.519997,101.150002,95.330002,98.019997,5056100,98.019997
"36",99.690002,103.18,98.540001,102.550003,4386400,102.550003
"37",104.019997,105,100.970001,101.879997,3470800,101.879997
"38",101.059998,104.730003,98.730003,104.410004,4305600,104.410004
"39",104.970001,108.5,104.699997,108.129997,3463300,108.129997
"40",107.230003,110.699997,105.5,110.529999,3470900,110.529999
"41",108.690002,118.75,107.879997,118.32,6956200,118.32
"42",118,118.949997,114.610001,116.900002,3060000,116.900002
"43",113.400002,126.480003,113.199997,125.010002,12998200,125.010002
"44",122.019997,128.419998,121.349998,126.470001,10192900,126.470001
"45",124.449997,133.800003,124.019997,133.050003,10279900,133.050003
"46",132.419998,134.369995,130.270004,132.259995,6746400,132.259995
"47",131.639999,137.899994,130.679993,137.220001,6095500,137.220001
"48",139.5,140.899994,132.550003,132.970001,8502700,132.970001
"49",129,130.149994,125.339996,125.699997,8532200,125.699997
"50",123.75,129.770004,123.589996,128.240005,6653700,128.240005
"51",127.68,130.759995,127.510002,129.960007,3460200,129.960007
"52",130.5,132.479996,126.5,126.900002,3838800,126.900002
"53",125.580002,125.650002,121.040001,121.279999,5211200,121.279999
"54",120.010002,124.860001,119.650002,124.25,2864800,124.25
"55",125.889999,127.709999,124.379997,125.839996,4071300,125.839996
"56",126.349998,127.580002,122.879997,126.099998,3019200,126.099998
"57",125.25,125.699997,122.57,123.099998,2663300,123.099998
"58",121.860001,126.949997,121.809998,125.519997,3459900,125.519997
"59",130.869995,136.25,129.110001,134.910004,8324000,134.910004
"60",134.300003,138.580002,132.610001,138,5257200,138
"61",140,142.5,138.050003,138.479996,4971500,138.479996
"62",137.910004,142.949997,137.600006,141.789993,4628600,141.789993
"63",143.589996,147.740005,143.380005,146,5568600,146
"64",148.300003,149.740005,144.800003,145.679993,3994200,145.679993
"65",146.630005,146.869995,144.399994,146.160004,2639300,146.160004
"66",149.410004,149.949997,147,147.940002,3343900,147.940002
"67",147.720001,148.889999,146.100006,146.649994,2916300,146.649994
"68",146.589996,146.589996,142.619995,143.119995,3445200,143.119995
"69",142.75,143.5,140.130005,140.5,4075900,140.5
"70",142.380005,142.449997,140.020004,140.460007,3313000,140.460007
"71",142,144,140.020004,142.889999,5287000,142.889999
"72",143.5,148.600006,143.110001,147.199997,4637200,147.199997
"73",150.080002,156.970001,149.300003,156.929993,8920700,156.929993
"74",158.759995,163.720001,158.419998,160.470001,11713000,160.470001
"75",164.119995,167.119995,161,162.210007,9333000,162.210007
