"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"1",43.360001,43.810001,42.98,43.779999,2788400,43.779999
"2",43.169998,43.970001,43,43.970001,2291500,43.970001
"3",44.27,44.759998,43.810001,43.869999,2600100,43.869999
"4",44.189999,45.110001,44.119999,45.02,2598400,45.02
"5",44.880001,45.290001,44.540001,45.080002,1735800,45.080002
"6",45.099998,45.959999,45.029999,45.740002,4409100,45.740002
"7",45.650002,46.330002,45.580002,46.09,3605100,46.09
"8",46.630001,47,45.970001,46.209999,2907300,46.209999
"9",46.400002,46.849998,45.419998,45.52,2768200,45.52
"10",45.610001,46.07,44.959999,45.52,2146200,45.52
"11",45.330002,45.490002,44.23,44.360001,3278100,44.360001
"12",44.709999,45.240002,44.299999,45.119999,2745100,45.119999
"13",45.23,45.23,44.560001,44.630001,1787900,44.630001
"14",44.189999,44.189999,42.57,42.849998,2797600,42.849998
"15",42.959999,43.369999,42.150002,42.23,2074500,42.23
"16",42.310001,42.990002,41.82,42.790001,3708900,42.790001
"17",42.009998,43.02,41.619999,42.110001,2453000,42.110001
"18",42.959999,44.200001,42.59,43.16,3927100,43.16
"19",43.139999,44.509998,43.139999,44.490002,3157600,44.490002
"20",44.889999,45.459999,44.32,44.700001,3650800,44.700001
"21",44.799999,45.07,44.389999,44.619999,2661300,44.619999
"22",44.549999,45.189999,44.25,45.040001,2703700,45.040001
"23",45.59,46.950001,45.200001,45.68,4873000,45.68
"24",46.029999,46.459999,45.779999,45.98,3633300,45.98
"25",46.040001,47.439999,46.040001,46.630001,4727200,46.630001
"26",46.630001,46.639999,45.209999,45.360001,2596200,45.360001
"27",45.299999,46.560001,45.299999,46.299999,2733100,46.299999
"28",45.880001,46.669998,45.169998,46.52,2739600,46.52
"29",46.73,46.740002,44.990002,45.009998,2862000,45.009998
"30",45.59,46.810001,45.150002,46.619999,3941500,46.619999
"31",46.419998,47.849998,46.369999,47.849998,2761800,47.849998
"32",47.91,48.259998,47.759998,47.900002,2089300,47.900002
"33",48,48.599998,47.459999,48.009998,4314600,48.009998
"34",48,48.389999,47.16,47.330002,3457600,47.330002
"35",53,57.700001,52.75,56.669998,14813900,56.669998
"36",54.509998,55.900002,54.119999,55.02,8147300,55.02
"37",55.830002,56.73,55.580002,55.830002,3426900,55.830002
"38",55.619999,57.279999,55.220001,56.529999,3969500,56.529999
"39",56.540001,58.279999,56.5,58,3903300,58
"40",57.740002,57.82,57.259998,57.669998,2304100,57.669998
"41",56.98,58.400002,56.630001,58.32,4017300,58.32
"42",57.889999,59.040001,57.889999,58.34,2288000,58.34
"43",57.790001,58.25,57.07,57.880001,2370000,57.880001
"44",56.98,56.990002,55.619999,55.84,3002300,55.84
"45",54.610001,56.43,53.610001,56.220001,3827000,56.220001
"46",55.77,57.400002,55.77,56.759998,3548400,56.759998
"47",56.16,57.68,55.790001,56.990002,2486700,56.990002
"48",57.540001,58.91,57.16,58.529999,3911100,58.529999
"49",58.560001,59.150002,57.049999,58.720001,3726000,58.720001
"50",58.799999,59.389999,57.900002,57.939999,4648400,57.939999
"51",57.98,59.529999,57.740002,59.209999,2879000,59.209999
"52",59.509998,60.68,58.240002,58.310001,3075900,58.310001
"53",57.849998,58.779999,57.209999,58.43,3203200,58.43
"54",58.23,58.810001,57.560001,57.889999,2663700,57.889999
"55",58.57,58.959999,58.029999,58.200001,2889300,58.200001
"56",58.34,58.82,57.310001,58.68,2639000,58.68
"57",58.43,59.18,58.060001,58.060001,2144800,58.060001
"58",58.080002,58.490002,57.389999,57.939999,2507600,57.939999
