"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
"1",35.450001,36.110001,35.220001,36.09,3520600,34.652072
"2",35.560001,36.369999,35.560001,36.32,2958600,34.872908
"3",36.43,36.98,36.310001,36.549999,3092300,35.093743
"4",36.700001,37.450001,36.700001,37.439999,3390000,35.948283
"5",37.080002,37.919998,37.060001,37.540001,3889900,36.044301
"6",37.5,37.759998,37.240002,37.73,3130000,36.226729
"7",37.740002,37.880001,37.330002,37.560001,3905600,36.063504
"8",37.66,37.900002,37.02,37.200001,2898200,35.717847
"9",37.200001,37.810001,36.689999,36.77,3182900,35.304979
"10",36.900002,37.060001,36.5,36.740002,2722500,35.276176
"11",36.5,36.700001,35.990002,36.25,2975300,34.805697
"12",36.27,36.73,36.029999,36.349998,6615600,34.901711
"13",36.299999,36.310001,35.830002,36.029999,3782800,34.594461
"14",35.740002,35.740002,34.759998,34.98,5837900,33.586297
"15",34.860001,35.25,34.639999,34.77,3618400,33.384665
"16",34.790001,34.91,34,34.57,5432900,33.192633
"17",34.560001,34.689999,34.060001,34.299999,2873000,32.93339
"18",34.849998,35.040001,34.349998,34.779999,3792600,33.394265
"19",35.049999,36.029999,34.849998,35.970001,4333700,34.536854
"20",36.099998,36.169998,35.549999,35.919998,2980600,34.488843
"21",35.950001,36.389999,35.799999,36.279999,1992100,34.8345
"22",36.209999,36.57,36.09,36.549999,2649500,35.093743
"23",36.799999,37.650002,36.799999,37.459999,3185400,35.967486
"24",37.610001,37.709999,36.91,37.25,3508300,35.765854
"25",37.099998,37.580002,36.91,37.509998,2704300,36.015493
"26",37.470001,37.470001,36.549999,36.610001,3649200,35.151354
"27",36.619999,37.07,36.59,37,2492600,35.525815
"28",36.400002,37.709999,36.330002,37.610001,3464500,36.111511
"29",37.720001,38,37.209999,37.400002,3744800,35.909879
"30",37.709999,38.459999,37.5,37.98,4195800,36.466768
"31",37.779999,38.720001,37.75,38.650002,2870300,37.110076
"32",38.889999,39.380001,38.610001,39.380001,3145100,37.81099
"33",39.360001,39.869999,39.25,39.560001,3005400,37.983818
"34",39.560001,39.939999,39.459999,39.580002,2901800,38.003022
"35",39.580002,40,39.130001,39.580002,3654700,38.003022
"36",39.200001,39.98,39.049999,39.75,3205400,38.166247
"37",39.970001,40.369999,39.75,40.220001,3179000,38.617522
"38",39.970001,40.470001,39.869999,40.279999,2107100,38.675129
"39",40.240002,40.860001,40.220001,40.77,2850500,39.145608
"40",40.349998,40.650002,40.200001,40.43,2061200,38.819154
"41",39.950001,40.740002,39.709999,40.669998,2357500,39.04959
"42",40.700001,40.900002,40.529999,40.639999,1865100,39.020786
"43",40.240002,40.66,39.889999,40.43,2652800,38.819154
"44",39.919998,40.049999,39.139999,39.25,2571700,37.686168
"45",38.599998,38.799999,38.330002,38.610001,3859300,37.071668
"46",38.59,38.93,38.459999,38.560001,2207100,37.023661
"47",38.48,38.52,38.049999,38.400002,3539300,36.870036
"48",38.77,39.52,38.560001,39.299999,3544600,37.734175
"49",39.150002,39.599998,38.650002,39.349998,2328300,37.782183
"50",39.060001,39.360001,38.509998,38.77,3340800,37.225293
"51",41.360001,44.849998,41.349998,44.599998,18975000,42.823008
"52",43.529999,43.73,42.48,42.830002,10914700,41.123533
"53",42.599998,43.220001,41.919998,42.68,7195100,40.979508
"54",42.25,42.650002,41.98,42.599998,5864200,40.902693
"55",42.810001,43.25,42.299999,42.32,5774200,40.633851
