"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"1",125.989998,128.220001,125.800003,127.68,7479700,115.462589
"2",126.730003,128.800003,126.440002,128.449997,5820200,116.158906
"3",128.5,129.970001,128.490005,128.5,6753000,116.204125
"4",128.929993,129.949997,128.369995,129.789993,6652500,117.370681
"5",128.339996,130.679993,128.339996,130.350006,6401000,117.877108
"6",130.070007,131.029999,129.860001,130.979996,5571000,118.446815
"7",131.020004,131.25,130.130005,130.149994,9581400,117.696234
"8",131.419998,131.940002,130.220001,130.649994,6857800,118.14839
"9",130.369995,131.470001,129.070007,129.300003,6030200,116.927577
"10",129.25,131.470001,129.089996,130.110001,6855800,117.660068
"11",129.570007,129.729996,127.699997,128.190002,5565500,115.92379
"12",128.339996,129.100006,127.120003,127.120003,10420400,114.956176
"13",127.650002,129.470001,127.220001,128.979996,6335100,116.638191
"14",127.349998,128.399994,124.120003,125.089996,9376200,113.120416
"15",124.830002,125.220001,123,123.480003,8018000,111.66448
"16",123.550003,124.209999,121.610001,122.57,9742100,110.841553
"17",123.290001,123.290001,120.610001,121.860001,6454500,110.199492
"18",123.580002,124.629997,122.169998,123.459999,6348700,111.64639
"19",123.470001,127.120003,123.470001,127,7090300,114.847656
"20",127.370003,128.149994,126.739998,127.970001,5439300,115.72484
"21",127.900002,128.199997,127.290001,127.959999,3898000,115.715795
"22",127.370003,128.830002,127.160004,128.669998,4206900,116.357856
"23",128.970001,130.979996,128.690002,130.479996,6687700,117.994659
"24",129.320007,131.600006,129.139999,130.720001,6607200,118.211699
"25",129.869995,130.919998,129.550003,130.720001,6186800,118.211699
"26",129.960007,130.149994,127.849998,128.029999,7002900,115.779097
"27",128.669998,130.380005,128.369995,129.789993,8388600,117.370681
"28",122.970001,126.559998,122.93,126.550003,16337400,114.440718
"29",126.440002,126.5,124.620003,125.269997,8615500,113.283193
"30",126.32,127.779999,126.050003,127.470001,6909000,115.272684
"31",127.300003,128.800003,127,128.380005,5078000,116.095611
"32",128.179993,128.429993,127.139999,128.410004,5174900,116.12274
"33",128.779999,129.169998,127.889999,128.630005,4648200,116.32169
"34",128.669998,129.350006,127.879997,128.429993,4248800,116.140816
"35",129.059998,129.5,127.139999,128.020004,8994200,115.770058
"36",127.43,128.979996,127.040001,128.399994,6021000,116.113688
"37",129.25,131.199997,129.25,130.759995,6437500,118.247865
"38",130.029999,131.039993,129.330002,130.369995,5091800,117.895184
"39",130.460007,131.5,129.850006,131.270004,4567500,118.709073
"40",130.729996,131.979996,130.529999,131.830002,4520600,119.215486
"41",130.410004,130.479996,128.759995,130.139999,6136200,118.27034
"42",130.789993,132.339996,130.399994,132,6131700,119.960696
"43",131.179993,132.490005,130.770004,131.839996,5471700,119.815286
"44",130.690002,130.690002,129.460007,129.830002,6316100,117.988617
"45",127.690002,128.779999,127.519997,128.300003,5132200,116.598164
"46",127.959999,128.460007,127.330002,127.870003,4669400,116.207383
"47",127.470001,128.229996,126.959999,127.769997,4009200,116.116498
"48",128.830002,129.850006,127.900002,128.449997,4298300,116.734478
"49",128.869995,130.199997,127.800003,129.389999,4883200,117.588745
"50",128.669998,129.589996,128.020004,128.899994,5402400,117.143432
"51",128.720001,128.979996,126.959999,127.5,6246300,115.871127
"52",127.57,128.029999,126.440002,126.470001,4034400,114.935071
"53",125.209999,126.019997,124.57,124.900002,5621200,113.508266
"54",124.57,125.599998,124,125.269997,5235300,113.844515
"55",125.779999,125.779999,122.779999,122.779999,7746600,111.581622
"56",123.830002,124.800003,122.419998,124.730003,6214200,113.353773
"57",125.080002,125.269997,123.400002,123.400002,3604000,112.145076
"58",123.309998,123.989998,122.279999,123.129997,5624200,111.899698
"59",125.309998,126.309998,124.519997,125.769997,5623100,114.298912
"60",126.029999,126.230003,124.650002,125.040001,5103300,113.635496
"61",126.220001,127.599998,125.900002,127.580002,5142900,115.943832
"62",126.989998,127.360001,125.879997,125.949997,4353300,114.462495
"63",126.019997,126.519997,125.389999,126.080002,4477500,114.580642
"64",127.269997,127.57,126.150002,126.360001,3436700,114.835103
"65",126.989998,128.289993,126.260002,127.989998,4418700,116.316434
