"","COL.Open","COL.High","COL.Low","COL.Close","COL.Volume","COL.Adjusted"
"1",55.509998,56.639999,55.470001,56.57,942700,51.878753
"2",55.970001,57.25,55.91,57.23,972000,52.48402
"3",57.720001,58.02,56.759998,56.939999,1033200,52.218068
"4",57.419998,58.880001,57.310001,58.860001,935400,53.978848
"5",58.5,59.189999,58.290001,58.93,678100,54.043043
"6",59.02,59.139999,57.82,58.27,1431200,53.437775
"7",58.470001,58.810001,58.299999,58.57,963400,53.712896
"8",59.330002,59.59,57.959999,58.34,658200,53.50197
"9",58.299999,59,57.310001,57.41,915500,52.649093
"10",57.32,58.049999,56.490002,57.549999,854000,52.777483
"11",57.450001,57.68,56.540001,56.650002,1006300,51.95212
"12",56.75,56.790001,55.650002,56.240002,2582600,51.576121
"13",56.150002,57.27,55.669998,56.57,1231300,51.878753
"14",55.759998,55.779999,53.240002,53.650002,1472500,49.200905
"15",53.43,54.259998,52.950001,53.130001,1167100,48.724027
"16",53.27,53.27,51.849998,52.68,1115000,48.311344
"17",52.880001,52.959999,52.02,52.48,793500,48.127929
"18",53.119999,53.43,51.959999,52.5,972800,48.146271
"19",52.68,54.240002,52.509998,54.16,916400,49.66861
"20",54.540001,55.25,54.43,55.060001,1111100,50.493976
"21",55.110001,55.240002,54.450001,54.889999,653200,50.338072
"22",54.610001,55.119999,53.849998,54.380001,945800,49.870367
"23",55.529999,56.099998,55.209999,55.799999,976000,51.172607
"24",55.5,56.77,55.290001,56.130001,1216400,51.475242
"25",56.139999,56.52,55.029999,56.060001,1374900,51.411047
"26",54.779999,55.419998,53.540001,54.16,2413000,49.66861
"27",54.349998,54.580002,53.669998,54.25,949000,49.751146
"28",53.349998,54.669998,52.900002,54.599998,916600,50.07212
"29",54.880001,55.290001,53.779999,54.25,1209200,49.751146
"30",54.889999,56.150002,54.779999,55.84,903300,51.209291
"31",55.759998,57,55.75,56.759998,953200,52.052995
"32",56.810001,57.939999,56.810001,57.849998,1013300,53.052603
"33",58.279999,58.380001,57.259998,57.369999,740100,52.612409
"34",57.25,57.509998,56.880001,57.16,690000,52.419825
"35",57.900002,57.900002,56.200001,57.009998,1159200,52.282263
"36",56.27,57.380001,56.07,57.16,1075200,52.419825
"37",58.07,58.5,57.630001,58.360001,733400,53.520312
"38",58.259998,58.59,57.889999,58.060001,596500,53.245191
"39",58.080002,58.82,58.080002,58.759998,735100,53.887139
"40",58.27,58.650002,58.029999,58.639999,751300,53.777091
"41",58.009998,58.560001,57.279999,58.470001,885700,53.62119
"42",58.880001,59,58.509998,58.82,494600,53.942164
"43",57.950001,58.540001,57.57,58.34,908100,53.50197
"44",57.360001,57.400002,55.759998,55.970001,830200,51.328511
"45",54.84,55.630001,54.599998,55.310001,916500,50.941685
