"","BHI.Open","BHI.High","BHI.Low","BHI.Close","BHI.Volume","BHI.Adjusted"
"1",39.970001,42.560001,39.959999,42.419998,10128200,40.074392
"2",41.900002,43.150002,41.75,42.610001,6818800,40.253889
"3",43.459999,43.459999,41.810001,41.939999,5116500,39.620934
"4",42.580002,43.75,42.029999,43.59,4009100,41.179699
"5",43.200001,44.330002,43.110001,43.98,5366200,41.548134
"6",43.830002,44.099998,43.209999,43.860001,5022900,41.43477
"7",43.919998,45.049999,43.57,44.669998,6702000,42.199979
"8",45.25,45.419998,43.66,44.09,5519700,41.652052
"9",44.259998,44.34,41.860001,42.150002,7204200,39.819325
"10",42.299999,42.790001,41.599998,42.52,4337300,40.168865
"11",42.27,42.689999,41.34,41.509998,4374500,39.214711
"12",41.77,42.990002,41.27,42.75,7528000,40.386147
"13",42.860001,43.349998,41.919998,42,3164600,39.677618
"14",41.189999,41.23,40.139999,40.84,6776700,38.58176
"15",40.860001,42.610001,40.790001,41.57,7142500,39.271394
"16",42.529999,42.860001,40.830002,41.73,7907900,39.422547
"17",42.099998,42.880001,41.849998,42.299999,5332900,39.961029
"18",43.169998,45.450001,42.970001,43.93,8171900,41.500899
"19",44.049999,45.189999,43.990002,45.139999,6175600,42.643992
"20",45.959999,46.299999,44.790001,46.189999,3940600,43.635931
"21",46.209999,46.43,45.66,46.259998,3332900,43.70206
"22",46.049999,47,45.09,46.009998,3920700,43.465884
"23",46.509998,47.060001,45.810001,46.689999,5411000,44.108284
"24",46.07,47.459999,45.98,46.950001,3932800,44.353909
"25",46.919998,47.299999,45.720001,47.16,4671000,44.552297
"26",46.700001,46.700001,45.549999,46,6638200,43.456439
"27",46.68,48.279999,46.400002,47.700001,7306300,45.062438
"28",47,49.310001,46.98,49.169998,6670000,46.451152
"29",49.389999,49.880001,47.669998,48.259998,7383900,45.591471
"30",49.02,49.82,48.75,49.41,6502500,46.677883
"31",48.779999,49.16,47.75,49.07,5229000,46.356683
"32",49.48,49.709999,48.919998,49.689999,3709000,46.9424
"33",49.880001,49.98,47.98,48.889999,3850800,46.186636
"34",48.790001,49.330002,48.099998,48.880001,2773500,46.177191
"35",49.259998,49.630001,48.040001,48.380001,3613500,45.845527
"36",47.630001,48.619999,47.41,48.27,3829900,45.741289
"37",49.18,50.5,49.009998,50.23,4731800,47.59861
"38",45.5,45.689999,42.790001,43.66,27055800,41.372791
"39",43.599998,43.599998,41.450001,42.830002,19155800,40.586274
"40",42.540001,43.290001,42.360001,42.48,9275300,40.254607
"41",42.119999,42.200001,41.18,41.73,7935300,39.543898
"42",42.130001,42.25,41.23,41.830002,5112100,39.638661
"43",41.200001,41.450001,40.509998,41.049999,7230000,38.89952
"44",40.09,40.59,39.450001,40.189999,7521200,38.084572
"45",39.439999,40.360001,39.290001,39.939999,5153900,37.847669
"46",39.779999,40.540001,39.75,39.790001,5337500,37.705529
"47",39.599998,40.049999,39.450001,39.93,3059500,37.838195
"48",40.48,41.560001,40.200001,41,5364300,38.85214
"49",40.860001,40.98,40.02,40.689999,3515900,38.558379
"50",40.43,40.57,39.389999,39.75,4518400,37.667624
"51",39.34,39.580002,38.369999,39.009998,5048000,36.966389
"52",38.73,39.450001,38.380001,39.009998,4230900,36.966389
"53",38.459999,39.43,38.110001,38.790001,5544400,36.757916
"54",38.52,39.040001,37.869999,38.939999,5469900,36.900056
"55",39.150002,39.32,37.220001,37.59,6811600,35.62078
"56",37.959999,38.810001,36.759998,38.720001,5305200,36.691583
"57",38.650002,38.700001,38.119999,38.139999,3941500,36.141966
"58",37.790001,38.389999,37.150002,37.580002,5306700,35.611305
"59",38.119999,39.759998,38.119999,39.5,6265700,37.430721
"60",39.380001,39.790001,38.75,39.709999,4804700,37.629718
"61",40,40.450001,39.310001,39.490002,4971500,37.421246
"62",39.009998,39.25,38.540001,38.860001,4358900,36.824249
"63",38.990002,39.939999,38.759998,39.419998,5293600,37.35491
"64",39.889999,40.360001,38.91,39.029999,6330300,36.985341
"65",39.209999,39.610001,39.009998,39.389999,4987300,37.326483
"66",39.970001,40.549999,39.5,40.439999,4610700,38.321476
"67",40.279999,40.849998,39.720001,40.130001,4306500,38.027718
"68",39.75,40.080002,39.16,39.990002,2863500,37.895053
"69",39.830002,40.240002,39.459999,39.869999,3313300,37.781336
"70",39.98,40.02,39.419998,39.880001,3444400,37.790815
"71",40.110001,40.869999,39.52,40.59,3836000,38.463619
"72",40.52,40.799999,40,40.259998,4309600,38.150905
