"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"1",75.779999,77.589996,75.620003,77.43,6204500,68.437275
"2",76.660004,78.389999,76.620003,78.300003,4627700,69.206235
"3",78.989998,79.330002,78.059998,78.139999,3612000,69.064815
"4",79.089996,79.860001,78.739998,79.769997,3233200,70.505504
"5",79.279999,81,78.989998,80.879997,5359800,71.486589
"6",81.339996,81.370003,79.900002,81.029999,3976400,71.619169
"7",80.839996,81.379997,80.379997,81.18,5255800,71.75175
"8",81.959999,83,81.07,81.470001,4064000,72.00807
"9",81.709999,81.870003,79.879997,80.029999,3116800,70.735309
"10",80.230003,80.639999,79.449997,80.120003,3567100,70.81486
"11",79.809998,79.839996,77.870003,78.18,4340100,69.10017
"12",78.529999,79.089996,77.879997,78.900002,4339900,69.73655
"13",78.949997,79.730003,78.290001,78.980003,3094000,69.80726
"14",78.720001,79.040001,76.849998,78.489998,8545400,69.374164
"15",78.209999,80.220001,78.209999,78.989998,6942900,69.816094
"16",79.059998,79.379997,77.830002,78.550003,6811700,69.4272
"17",78.800003,79,77.040001,77.669998,3776900,68.649399
"18",78.449997,79.379997,77.5,78.139999,4012500,69.064815
"19",78.440002,80.580002,77.93,80.519997,4957900,71.168399
"20",81.120003,81.589996,80.089996,81.220001,3975800,71.787105
"21",81.110001,82.25,81.110001,82.160004,2817400,72.617935
"22",81.870003,82.260002,81.360001,82.260002,3206600,72.70632
"23",82.839996,84.57,82.839996,83.550003,5137400,73.8465
"24",83.129997,83.68,82.489998,83.050003,3114300,73.40457
"25",83.169998,83.169998,81.529999,83.059998,4642000,73.413404
"26",82.709999,82.769997,80.699997,80.949997,4302500,71.548459
"27",81.480003,81.550003,80.080002,81.220001,3054200,71.787105
"28",80.480003,82.339996,80.010002,82.190002,3050800,72.64445
"29",82.639999,83.110001,81.339996,82.300003,4992700,72.741675
"30",84.730003,85.139999,83.849998,84.75,7153200,74.907129
"31",84.699997,86.269997,84.349998,86.169998,4559100,76.162209
"32",86.5,87.470001,85.889999,87.32,4834500,77.178649
"33",87.160004,87.389999,86.330002,86.800003,4243800,76.719045
"34",86.440002,87,86.220001,86.690002,2824600,76.62182
"35",87.050003,87.480003,85.720001,86.339996,3344200,76.312463
"36",85.5,86.349998,84.860001,85.540001,4744600,75.605379
"37",86.800003,87.779999,86.720001,87.410004,3639000,77.2582
"38",86.980003,87.550003,86.68,87.209999,2855500,77.081424
"39",87.300003,88.07,87.230003,88,2222600,77.779674
"40",87.309998,87.919998,86.970001,87.720001,2523600,77.532194
"41",86.809998,87.540001,86.019997,87.290001,2701300,77.152134
"42",87.730003,88.379997,87.410004,88.029999,3187400,77.806189
"43",87.410004,87.779999,85.849998,87.110001,3641400,76.993039
"44",85.900002,85.989998,83.529999,84.099998,4505600,74.332619
"45",83.300003,84.629997,83.160004,84.010002,3435300,74.253075
"46",83.900002,84.449997,83.739998,84.010002,2079100,74.253075
"47",83.330002,83.959999,82.330002,83.43,2358400,73.740434
"48",82.940002,84.889999,82.669998,84.089996,4374600,74.323778
"49",83.779999,84,82.410004,83.610001,3198900,74.363806
"50",83.330002,83.440002,81.190002,81.809998,3959300,72.762861
"51",81,81.440002,80.110001,80.660004,4355400,71.740041
"52",81.010002,82.300003,80.900002,81.080002,3243400,72.113593
"53",80.199997,81,79.470001,80.449997,4475900,71.553259
"54",80.010002,81.099998,79.470001,80.75,3577100,71.820085
"55",81.260002,81.330002,79.5,79.779999,3577000,70.957354
"56",80.120003,81.089996,79.199997,81,3445900,72.042438
"57",80.559998,80.68,79.580002,79.650002,2408400,70.841732
"58",79.559998,80.199997,78.400002,78.550003,4956000,69.86338
"59",79.510002,81.099998,79.290001,81.010002,4507000,72.051334
"60",81.440002,81.889999,80.830002,81.870003,2477800,72.81623
"61",82.580002,83.709999,82.559998,83.480003,2939700,74.248185
"62",83.230003,83.379997,82.019997,82.139999,3099200,73.056369
"63",82.209999,83.709999,82.209999,82.75,2787000,73.598911
"64",83.919998,84.080002,82.480003,82.959999,2471700,73.785687
"65",82.870003,84.07,82.650002,83.940002,2166300,74.657314
"66",84.559998,84.970001,84.209999,84.860001,2863500,75.475572
"67",84.68,85,84.019997,84.629997,3319500,75.271005
"68",84.470001,84.75,83.620003,84.580002,2175900,75.226538
"69",84.019997,85,83.940002,84.949997,2431800,75.555616
"70",85.339996,86.169998,85.089996,86.07,5967100,76.551761
"71",86.260002,87.629997,86.059998,87.410004,3657900,77.743578
"72",86.650002,87.620003,86.059998,86.550003,3680200,76.978682
"73",86.57,87.160004,86.129997,86.629997,2473000,77.04983
"74",85.860001,86.75,85.349998,85.529999,1994000,76.071477
"75",86.410004,87.470001,85.790001,86.959999,3420400,77.343338
"76",86.860001,87.110001,86.07,86.190002,2494700,76.658493
