"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"1",61.5,62,61.16,61.889999,33020100,54.208991
"2",61.68,61.919998,61.18,61.860001,21227100,54.182716
"3",62.060001,62.459999,61.32,61.369999,24667800,53.753527
"4",61.889999,62.57,61.490002,62.509998,24532600,54.752044
"5",61.970001,62.619999,61.900002,62.509998,20652700,54.752044
"6",62.419998,62.700001,61.950001,62.599998,23310200,54.830874
"7",62.779999,63.369999,62.400002,63.099998,32747000,55.26882
"8",64.099998,64.5,62.849998,63.130001,24877600,55.295099
"9",63.130001,63.200001,61.790001,61.939999,26147000,54.252785
"10",61.709999,62.259998,60.900002,61.099998,38058900,53.517035
"11",60.82,61.200001,59.869999,60.07,34188500,52.614867
"12",60.150002,60.240002,59.099998,59.099998,118023500,51.76525
"13",59.310001,59.389999,58.470001,58.470001,43013000,51.21344
"14",58,58.09,57,57.290001,52525000,50.179887
"15",57.330002,57.73,56.919998,57.07,43944900,49.987189
"16",56.98,57.27,56.169998,56.610001,47746400,49.584279
"17",56.849998,56.990002,55.939999,56.57,32767900,49.549243
"18",57.169998,57.59,56.77,57.459999,36912100,50.328787
"19",57.369999,58.450001,57.259998,58.43,41797200,51.178404
"20",59.130001,59.200001,58.130001,58.810001,40430300,51.511244
"21",58.759998,59.009998,58.299999,58.779999,25976500,51.484965
"22",58.290001,58.939999,58.200001,58.939999,23515000,51.625107
"23",59.599998,59.720001,59.040001,59.419998,30514200,52.045535
"24",59.220001,59.34,58.619999,59.259998,26061100,51.905393
"25",59.360001,59.490002,58.59,59.27,24737300,51.914154
"26",58.84,59.110001,57.810001,57.959999,35805700,50.766733
"27",58.330002,58.740002,58.099998,58.43,20960000,51.178404
"28",57.68,58.990002,57.669998,58.950001,23807300,51.633868
"29",59.130001,59.130001,57.599998,58.169998,26859700,50.95067
"30",58.709999,59.790001,58.66,59.380001,27051400,52.010502
"31",59.259998,59.810001,58.799999,59.720001,19281400,52.308306
"32",59.700001,60.439999,59.630001,60.389999,20236500,52.895152
"33",60.619999,60.900002,60.389999,60.810001,22400800,53.263029
"34",60.73,61.27,60.73,60.91,23511100,53.350617
"35",61.419998,61.880001,60.290001,60.34,33763000,52.851358
"36",60.150002,60.509998,59.599998,59.68,29354600,52.273269
"37",60.639999,62.040001,60.610001,61.939999,28144000,54.252785
"38",61.98,62.990002,61.880001,62.720001,31075800,54.935984
"39",62.860001,62.889999,62.27,62.720001,21033800,54.935984
"40",62.279999,62.709999,61.849998,62.709999,19985300,54.927223
"41",61.919998,62.5,61.25,61.970001,23097300,54.279064
"42",62.560001,62.669998,62.18,62.450001,14731300,54.699492
"43",61.849998,62.169998,61.450001,61.93,23188500,54.244028
"44",60.549999,60.66,60.200001,60.389999,24281300,53.27365
"45",59.700001,60.560001,59.560001,60.23,16951300,53.132504
"46",59.959999,60.450001,59.799999,59.91,14651300,52.850213
"47",59.599998,60.25,59.25,59.880001,14301100,52.823749
"48",60.490002,61.16,60.139999,60.82,20122200,53.652979
"49",60.669998,60.720001,59.630001,60.150002,20071500,53.061933
"50",59.93,60.060001,58.900002,59.290001,21174500,52.303275
"51",59.02,59.07,58.549999,58.889999,21008800,51.950409
"52",58.970001,60.049999,58.900002,59.5,21337700,52.488528
"53",58.959999,59.450001,58.790001,58.939999,25679100,51.994517
"54",58.689999,59.400002,58.419998,58.91,20944000,51.968053
"55",59.360001,59.5,58.330002,58.48,22320900,51.588724
"56",58.720001,59.959999,58.049999,59.799999,28279500,52.753175
"57",59.560001,59.900002,58.959999,59,16265100,52.047448
"58",58.75,59.540001,58.5,59.110001,26985400,52.144486
"59",60.040001,60.959999,59.720001,60.91,26286200,53.732373
"60",60.490002,61.060001,60.369999,61.060001,18662600,53.864699
"61",61.200001,61.599998,60.75,61.32,21982900,54.094059
"62",60.889999,61.07,60.450001,60.549999,19435700,53.414795
"63",60.66,61.259998,60.630001,60.75,17380600,53.591228
"64",61.5,61.59,60.91,61.049999,16525200,53.855875
"65",61.380001,61.48,60.950001,61.200001,14488400,53.9882
"66",61.389999,61.52,60.540001,61,23141800,53.811768
"67",60.84,61.34,60.75,61.009998,17977500,53.820588
"68",60.759998,61.029999,60.360001,61,18769900,53.811768
"69",60.849998,60.990002,60.450001,60.970001,16432500,53.785304
"70",61.189999,61.299999,60.630001,60.779999,26447200,53.617691
"71",61.040001,61.82,60.950001,61.549999,21788100,54.296955
"72",61.650002,61.900002,61.25,61.540001,20525200,54.288135
"73",61.560001,62,61.41,61.450001,18207700,54.20874
"74",60.990002,61.57,60.900002,61.150002,18097800,53.944093
"75",61.509998,62.130001,61.360001,61.75,25145300,54.473388
"76",61.990002,62.080002,61.68,61.709999,16642800,54.438101
"77",61.630001,62.259998,61.27,62.060001,18806700,54.746859
"78",61.77,62.02,61.27,61.59,21158000,54.332242
"79",61.950001,62.439999,61.470001,61.790001,25460200,54.508675
"80",62.32,62.580002,61.799999,62.540001,24160200,55.170295
"81",62.52,62.73,61.84,62.189999,16902500,54.861537
"82",62.59,63.400002,62.43,63.259998,25185400,55.805448
"83",63.18,63.939999,63.18,63.939999,21645200,56.405317
"84",63.959999,64,63.369999,63.849998,19468400,56.325923
"85",63.810001,64.529999,63.630001,64.379997,22370500,56.793467
"86",64.360001,64.809998,64.309998,64.550003,13848900,56.943439
"87",64.309998,64.889999,63.93,64.699997,20732000,57.075758
"88",64.839996,65.290001,64.57,65.040001,22560500,57.375695
"89",65.050003,65.449997,64.870003,65.300003,17778100,57.605059
"90",65.639999,65.650002,64.82,65.190002,25500700,57.508021
"91",65.190002,66.540001,65.029999,66.279999,22481700,58.469572
"92",65.589996,66.040001,64.589996,65.120003,25367400,57.44627
"93",65.470001,66.389999,65.349998,66.010002,20543900,58.231392
"94",66.290001,66.800003,65.650002,66.32,21291200,58.504859
"95",66.510002,66.550003,66.129997,66.339996,13332800,58.5225
"96",66.68,66.809998,66.160004,66.199997,16516600,58.398998
"97",65.959999,66.57,65.809998,66.529999,17652900,58.690112
"98",65.949997,65.989998,65.089996,65.669998,23358900,57.931454
"99",66.43,66.699997,66.050003,66.220001,20464200,58.416645
"100",66.099998,66.559998,65.989998,66.489998,19265600,58.654825
"101",66.720001,67.209999,66.629997,66.949997,22372700,59.060618
"102",67.32,68.25,67.209999,67.839996,26192200,59.84574
"103",68.230003,68.269997,67.32,67.970001,26545300,59.960425
"104",68.400002,69.599998,68.290001,69.379997,31221400,61.204267
"105",69.440002,70,69.400002,70,26531700,61.751209
"106",69.489998,70.419998,69.459999,70.32,23628000,62.0335
"107",70.290001,71.110001,70.099998,70.629997,33938100,62.699286
"108",70.959999,71.160004,70.150002,71.129997,25482400,63.143143
"109",71,71.900002,70.730003,71.830002,23788900,63.764547
"110",71.379997,71.400002,70.43,70.989998,24598100,63.018864
"111",71.010002,71.220001,70.440002,70.480003,18779600,62.566134
"112",69.620003,69.82,68.559998,68.940002,27543400,61.199052
"113",68.839996,69.379997,68.559998,69.010002,17471800,61.261192
"114",69.650002,70.389999,69.639999,70.309998,18322900,62.415217
"115",70.199997,70.589996,69.360001,70.540001,24116400,62.619395
"116",70.099998,70.300003,68.790001,70.190002,18907900,62.308696
"117",68.800003,69.150002,68.32,68.980003,22672000,61.234562
"118",69.25,70,69.190002,69.879997,19335600,62.0335
"119",69.300003,69.43,68.900002,69.230003,7324600,61.456491
"120",68.860001,69.639999,68.300003,69.449997,20021200,61.651782
"121",68.550003,69.75,68.32,69.559998,27524300,61.749431
"122",70.379997,71.550003,70.379997,71.330002,26590200,63.32069
"123",71.190002,71.660004,70.949997,71.480003,21274800,63.453849
"124",71.010002,71.300003,70.889999,71.190002,19457100,63.196411
"125",71.199997,71.599998,71.059998,71.309998,15985400,63.302932
"126",71.910004,72.18,71.419998,71.459999,23694600,63.436091
"127",71.870003,72.220001,71.480003,71.849998,22654900,63.782299
"128",72.050003,72.139999,71.330002,72,17971600,63.915457
"129",72.18,72.18,71.620003,72.18,17699500,64.075246
"130",72.410004,72.75,72.07,72.360001,21170500,64.235035
"131",72.230003,72.5,71.93,72.18,20625900,64.075246
"132",71.870003,72.309998,71.790001,71.849998,20979000,63.782299
"133",71.919998,72.330002,71.57,72.220001,18513900,64.110756
"134",72.110001,72.389999,71.779999,72.169998,36761300,64.066367
"135",72.239998,72.5,71.879997,72.220001,16045800,64.110756
"136",72.43,72.970001,72.230003,72.720001,21772800,64.554613
"137",72.940002,73,72.650002,72.800003,14606600,64.625632
"138",72.940002,73.199997,72.830002,73.199997,11390900,64.980712
"139",72.809998,73.300003,72.809998,73.010002,9757200,64.812051
"140",73.199997,73.559998,72.959999,73.419998,14423400,65.17601
"141",73.410004,73.690002,73.339996,73.370003,11797700,65.131629
"142",73.290001,73.510002,73.050003,73.360001,10790400,65.12275
"143",73.160004,73.510002,73.019997,73.120003,15273700,64.9097
"144",73.720001,74.790001,73.639999,74.550003,23320700,66.179132
"145",74.709999,74.949997,74.419998,74.900002,20028500,66.489831
"146",74.669998,74.870003,74.139999,74.699997,16550800,66.312284
"147",74.900002,75.43,74.669998,75.18,22525300,66.73839
"148",75.209999,75.900002,75.089996,75.589996,19297700,67.10235
"149",75.129997,75.269997,74.580002,75.129997,20766400,66.694002
"150",75.019997,75.860001,75.019997,75.690002,15805400,67.191127
"151",75.940002,76.620003,75.669998,76.580002,17363000,67.981192
