"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"1",81.350009,83.650006,81.150007,83.490008,5604600,70.183765
"2",82.510001,85.11,82.250002,85.010015,5932900,71.461521
"3",85.740008,87.200003,84.610012,84.709997,6754100,71.209318
"4",85.540007,87.059998,85.180007,86.740002,5170700,72.91579
"5",86.060005,87.779998,85.450007,87.080008,4080500,73.201608
"6",87.380003,87.610007,85.540007,86.620007,4317100,72.81492
"7",86.670003,87.55001,86.18,86.980007,5026700,73.117545
"8",88.120005,88.839997,85.1,85.800006,6661100,72.125606
"9",86.040011,86.349999,83.390007,83.660007,5429800,70.326671
"10",83.190005,84.640006,82.700002,83.810005,4352700,70.452762
"11",83.570007,83.989997,81.080001,81.460003,5411200,68.477293
"12",81.920004,82.690009,80.590006,81.730003,9866500,68.704262
"13",82.160009,82.490007,80.640002,80.91001,3840700,68.014955
"14",80.519999,80.519999,77.840001,78.519997,6217100,66.005851
"15",78.730016,79.490004,77.070004,77.150011,6056500,64.854207
"16",77.370007,78.060004,75.440003,76.750007,6767700,64.517954
"17",76.900013,77.819999,75.710003,76.370006,3777900,64.198515
"18",77.070004,78.410003,76.060002,76.999998,5161400,64.728102
"19",77.41001,79.620007,77.260013,79.580004,5803000,66.896919
"20",80.590006,81.260009,79.880006,80.91001,4618700,68.014955
"21",80.790007,81.480005,80.450001,81.110004,4103400,68.183075
"22",80.810001,81.790001,80.300004,80.91001,2744000,68.014955
"23",81.910011,82.669999,81.630002,82.300006,3783400,69.18342
"24",81.809994,82.690009,81.350009,82.070009,2810300,68.990079
"25",82.610002,82.669999,80.270009,82.100004,3825300,69.015294
"26",81.720002,81.720002,78.879997,79.380002,5695300,66.728792
"27",79.690005,80.440008,78.920001,79.520006,3130700,66.846483
"28",78.500003,81.170001,78.500003,80.950006,3628200,68.048576
"29",81.350009,81.870008,79.480003,80.050005,4748600,67.292014
"30",81.34,82.630003,80.870007,82.120006,4366600,69.032108
"31",81.760006,82.170002,80.690006,82.14,4582800,69.048915
"32",82.180003,83.180012,82.030006,82.919997,4195900,69.7046
"33",83.010005,83.010005,79.380002,79.940004,6065600,67.199544
"34",79.970006,80.500006,78.48001,78.879997,4512000,66.308476
"35",79.490004,79.800015,77.2,77.690003,6228900,65.308138
"36",77.080005,78.39001,76.860009,77.930009,3868500,65.509892
"37",79.599997,80.890008,79.260007,80.19001,4956300,67.409705
"38",79.380002,79.9,78.550008,78.670002,5751700,66.131949
"39",78.550008,79.559994,78.370016,78.789997,5062200,66.23282
"40",78.110001,78.360007,77.019999,77.600003,5780900,65.232481
"41",76.810005,77.359998,75.350003,76.330002,6620300,64.164887
"42",77.099999,77.420003,76.440012,76.950009,4746400,64.68608
"43",75.870001,78.140003,75.849999,77.809998,6528200,65.409008
"44",76.019998,76.999998,75.900004,76.339995,6431300,64.173287
"45",75.510001,77.250004,75.5,76.460006,4144900,64.274171
"46",76.140009,76.800012,75.300006,75.390006,3645200,63.374703
"47",75.14,76.019998,73.900009,75.900004,4909600,63.80342
"48",76.800012,77.150011,75.86,76.830007,3906700,64.585203
"49",76.410009,76.530004,75.120006,75.620011,4839600,63.568051
"50",75.390006,75.700002,74.260009,75.390006,4872900,63.374703
"51",74.760006,75.800003,74.470004,75.060009,5706000,63.097299
"52",75.269996,76.390007,75.109997,75.569998,5137900,63.526009
"53",74.640003,75.260003,73.760005,74.020004,5036900,62.223046
"54",73.679998,73.679998,72.160006,72.9,6623400,61.281543
"55",73.530008,74.120005,72.130004,72.230005,4901900,60.718328
"56",72.709999,75.559997,72.47001,75.420009,6022300,63.399924
"57",75.020005,75.250002,73.760005,73.790008,4110100,62.029705
"58",73.490005,74.250009,72.840003,73.080008,4566000,61.432862
"59",74.42,76.999998,74.42,76.860009,5517800,64.610424
"60",76.750007,77.840001,76.360005,77.840001,3436700,65.434229
"61",78.340005,78.920001,77.480008,78.320003,3230400,65.837731
"62",77.590002,77.600003,75.940007,76.450005,4001200,64.265764
"63",76.019998,77.3,76.019998,77.220009,3683500,65.237312
"64",78.220002,78.789997,77.420003,77.570008,3314200,65.533
"65",77.769994,79.130003,77.769994,78.200001,3537000,66.065232
"66",79.040011,79.260007,78.340005,78.610005,3361700,66.411614
"67",78.620006,79.160006,78.050003,78.370016,2584300,66.208865
"68",77.690003,78.429997,77.500002,78.140003,2761700,66.014545
"69",77.970012,78.250005,76.080012,76.450005,5362700,64.586794
"70",76.770001,77.019999,75.79001,76.200006,7412800,64.375589
"71",76.370006,77.600003,76.230001,77.23001,3510100,65.245761
"72",77.500002,77.510011,75.910005,76.920007,3657900,64.983863
"73",77.010007,77.940009,75.710003,75.940007,4214000,64.155936
"74",75.380005,75.380005,74.039998,74.570005,5653500,62.998525
"75",75.180003,76.440012,74.769999,76.300007,6632900,64.460073
"76",76.090005,76.350004,74.660013,74.809995,6935700,63.201274
"77",75.129999,75.690009,73.860006,75.510001,5371800,63.792656
"78",74.98001,76.950009,74.769999,76.629997,5982500,64.738856
"79",77.260013,78.710006,77.130001,78.300009,7732600,66.149722
"80",79.11001,81.990002,78.900007,80.769998,9173200,68.236427
"81",80.120012,81.720002,80.120012,80.590006,4631100,68.084366
"82",81.24,82.730012,81.07,82.460004,6204800,69.664185
"83",82.300006,83.410009,82.220007,82.930006,4101500,70.061254
"84",83.110006,83.31,81.210005,82.390006,3911000,69.605049
"85",82.669999,83.390007,81.990002,83.180012,2902000,70.272465
"86",83.010005,83.890004,83.000004,83.720005,2683900,70.728664
"87",83.450004,83.999998,82.100004,83.230001,4538500,70.314697
"88",83.880003,84.940009,83.770001,84.290007,4327000,71.210216
"89",84.349997,85.500003,84.140002,84.910014,4333400,71.734013
"90",85.390009,85.480009,84.220009,84.940009,3791000,71.759353
"91",84.780003,85.920001,84.440005,85.450007,3726100,72.190211
"92",83.950009,84.420003,80.059998,81.200004,9876200,68.599707
"93",81.160008,81.449994,79.589997,80.970007,7590100,68.4054
"94",81.440001,81.449994,78.050003,78.800006,9104100,66.572131
"95",79.320004,79.850004,78.650009,79.580004,4501200,67.231092
"96",80.330006,81.000002,80.000001,80.059998,4549300,67.636603
"97",79.530007,79.610006,78.720007,79.040011,6838600,66.774894
"98",78.280008,79.480003,77.780003,79.410012,6938400,67.087479
"99",80.080008,80.120012,78.780004,78.870004,3411500,66.631268
"100",78.640008,79.140012,78.210002,78.629999,3552500,66.428505
"101",79.760012,80.73001,79.54,79.83001,4727000,67.442303
"102",80.440008,82.230008,80.35,81.510008,4773700,68.861605
"103",81.980009,82.420009,80.080008,81.720002,5063600,69.039014
"104",83.080011,84.820007,82.980011,84.490001,6626900,71.379175
"105",84.23001,84.870011,83.500009,84.23001,3823500,71.159529
"106",83.420002,84.490001,83.300007,84.270006,2886800,71.193318
"107",84.270006,85.47,83.560006,84.010006,3575500,70.973664
"108",84.199999,84.739999,82.970002,84.600003,3844100,71.472108
"109",84.040001,88.410006,83.830006,87.769997,9069300,74.150195
"110",87.059998,88.230014,86.520006,87.460002,6122200,73.888303
"111",87.210004,88.600007,86.850003,87.750004,4246800,74.133304
"112",86.66001,86.790006,84.240003,85.169998,6104300,71.953653
"113",85.080006,85.900007,84.630006,85.650008,3451200,72.359177
"114",86.880006,88.419999,86.770004,87.319997,4049900,73.770024
"115",87.26,88.270002,86.750003,88.190011,4367600,74.505032
"116",87.879999,88.90001,86.690005,88.470004,3935500,74.741577
"117",87.110003,88.370003,86.860012,88.080001,4984200,74.412093
"118",88.72001,89.120006,87.950005,88.940006,3607800,75.138646
"119",88.460003,89.120006,87.450001,87.650003,1449800,74.04882
"120",87.400004,89.300006,87.160015,88.980009,3632200,75.172442
"121",88.150007,89.490007,87.480012,88.170001,4792600,74.488127
"122",89.270003,90.730005,88.90001,90.250002,4609100,76.245362
"123",90.330002,91.070003,90.030007,90.739998,6059100,76.659322
"124",90.590009,91.940009,90.450004,91.739999,3387800,77.504147
"125",91.310009,93.430006,91.150011,93.050012,3699200,78.610877
"126",94.040004,94.940012,92.680011,92.720007,5254800,78.332081
"127",92.370015,93.170007,90.360004,90.890003,5015500,77.102036
"128",91.41001,91.630005,90.320001,91.070003,3400700,77.254731
"129",92.610005,93.200009,91.769994,93.040011,4893600,78.925889
"130",94.160015,95.760005,93.550001,93.880006,6323300,79.638457
"131",94.160015,94.900009,93.510005,94.100002,2699100,79.825079
"132",93.620007,94.920003,93.620007,94.800008,4099200,80.418895
"133",94.720001,94.960006,93.420005,94.840003,3725000,80.452823
"134",94.930011,95.670005,94.400004,95.200004,5056600,80.758212
"135",95.43,95.750012,94.450001,95.470004,2289500,80.987253
