"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"127",132.789993,132.789993,131.389999,132.130005,508100,122.864477
"128",132.990005,132.990005,131.759995,132.350006,285100,123.069051
"129",132.570007,133.759995,132.080002,133.669998,230100,124.296479
"130",134.149994,134.789993,133.339996,133.770004,426400,124.389473
"131",134.089996,135.25,133.820007,134.830002,356600,125.375139
"132",134.429993,136.259995,134.320007,135.380005,554300,125.886573
"133",135.240005,136.919998,134.649994,136.800003,349300,127.206995
"134",136.839996,136.839996,136.080002,136.190002,605400,126.63977
"135",136.520004,137.850006,136.410004,137.300003,274200,127.671933
"136",137.720001,138.5,137.529999,138.5,273200,128.787781
"137",138.589996,138.589996,137.710007,138.009995,237200,128.332136
"138",137.990005,138.300003,137.770004,138.070007,133100,128.387941
"139",138,138.860001,137.410004,138.649994,127800,128.927256
"140",138.869995,139.070007,137.509995,138.009995,206600,128.332136
"141",138.419998,139.080002,137.940002,137.949997,239900,128.276346
"142",137.669998,138.619995,137.410004,138.289993,143600,128.5925
"143",138.199997,139.089996,137.910004,138.110001,181500,128.42513
"144",139.179993,140.169998,138.75,139.539993,402500,129.754845
"145",140,140,137.399994,139.229996,637700,129.466586
"146",138.660004,139.850006,138.039993,138.679993,402800,128.955151
"147",137.5,137.5,133.410004,133.660004,1855500,124.287186
"148",134.110001,134.610001,132.130005,132.600006,750400,123.30152
"149",132.229996,133.860001,132.100006,132.660004,663100,123.35731
"150",133.210007,134.160004,132.889999,133.539993,414700,124.175591
"151",134.339996,135.020004,134.100006,134.460007,523500,125.031089
"152",134.759995,135.369995,134.330002,134.779999,387300,125.328642
"153",134.490005,136.009995,134.289993,135.899994,556800,126.370098
"154",136.149994,137.460007,135.520004,137.199997,653700,127.578939
"155",137.210007,137.440002,135.779999,136.080002,739900,126.537483
"156",136.100006,136.309998,134.240005,135.199997,557800,125.719188
"157",136.229996,136.600006,134.910004,135.309998,422700,125.821475
"158",135.550003,139.360001,135.210007,139.160004,884100,129.401502
"159",136.039993,137.360001,131.740005,132.559998,1624400,123.264317
"160",131.889999,132.440002,129.919998,132.179993,931300,122.910959
"161",132.119995,134.520004,132.110001,133.990005,828200,124.594046
"162",134.149994,134.360001,129.639999,130.210007,717700,121.079117
"163",130.820007,132.190002,130.380005,131.470001,642400,122.250756
"164",132.429993,132.600006,131.320007,132.320007,507000,123.041156
"165",132.059998,132.509995,131.139999,131.729996,499300,122.492518
"166",131.320007,133.070007,131.080002,132.360001,380900,123.078344
"167",132.25,133.539993,131.970001,133.449997,512800,124.091906
"168",133.630005,135.279999,133.410004,134.660004,542800,125.217061
"169",134.509995,135.669998,134.360001,135.440002,435300,125.942363
"170",134.990005,136.130005,134.990005,135.279999,438100,125.79358
"171",133.990005,136.509995,133.990005,135.869995,380200,126.848544
"172",135.149994,136.089996,134.529999,135.729996,406600,126.717841
"173",135.839996,135.839996,134.309998,134.479996,392000,125.550838
"174",134.139999,134.320007,133.369995,134,315700,125.102713
"175",134.350006,135.160004,133.619995,134.220001,317500,125.308106
"176",133.910004,134.440002,133.25,134,327800,125.102713
"177",134.210007,135.850006,134.070007,135.660004,557100,126.652496
"178",134.25,135.210007,132.610001,133.009995,462200,124.178441
"179",132.919998,133.339996,129.009995,130.529999,617000,121.863111
"180",130.240005,131.389999,129.389999,130.070007,544500,121.433662
