"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"206",97.879997,99.980003,97.760002,98.900002,4611600,22.75919
"207",99.25,99.5,98.349998,98.629997,2520400,22.697056
"208",98.889999,99.709999,98.059998,99.059998,2612400,22.796009
"209",99.370003,99.5,97.959999,98.269997,2428400,22.614211
"210",98.550003,99,97.489998,98.459999,2235600,22.657935
"211",99,99.029999,96.660004,97.269997,2315600,22.384088
"212",97.449997,99.889999,97.440002,99.290001,3570000,22.848938
"213",98.610001,99.989998,98.43,99.349998,4494000,22.862745
"214",99.449997,100.220001,99.07,100.029999,3034400,23.019229
"215",99.639999,101.220001,99.360001,100.25,4266400,23.069856
"216",100.279999,101.660004,100.220001,100.949997,4068000,23.230942
"217",99.870003,99.870003,98.459999,99.139999,4019600,22.814419
"218",99.489998,100.910004,99.25,100.739998,3599600,23.182616
"219",101.959999,105.099998,101.910004,103.57,5266400,23.833865
"220",103.650002,103.959999,102.68,103.5,2708000,23.817757
"221",104.209999,106.150002,103.709999,103.910004,4513200,23.912108
"222",103.419998,105.07,103.419998,105.010002,3757600,24.165243
"223",105.019997,107.75,105,107.510002,4506000,24.740551
"224",107.580002,108.870003,106.559998,108.660004,5844400,25.005193
"225",103.980003,104.239998,100.209999,100.559998,10593200,23.141194
"226",102.07,102.07,99.730003,100.019997,4797600,23.016927
"227",99.739998,100.959999,98.269997,98.949997,5090800,22.770695
"228",98.790001,99.599998,97.709999,98.919998,4121600,22.763792
"229",98.580002,100.980003,97.940002,100.540001,5769600,23.136592
"230",100.940002,101.449997,99.550003,99.730003,4036800,22.950193
"231",100,100.660004,99.690002,99.900002,2577600,22.989313
"232",99.900002,100.860001,99.790001,100.5,2139200,23.127387
"233",100.660004,100.769997,99.300003,99.889999,2374400,22.987011
"234",100.040001,102.5,99.419998,102.349998,3752000,23.553114
"235",102.279999,102.559998,100.75,101.019997,2154400,23.24705
"236",100.849998,101.459999,100.550003,100.660004,1915200,23.164207
"237",100.459999,101.099998,99.370003,100.230003,2267600,23.065254
"238",100.639999,101.639999,99.879997,101.599998,1502000,23.380522
"239",101.620003,102.330002,101.050003,102.190002,2013600,23.516296
"240",101.339996,101.599998,96.769997,97.440002,7171600,22.42321
"241",96.599998,98.040001,96.389999,97.510002,3603600,22.439319
"242",97.699997,98.379997,97.220001,97.559998,2262000,22.450824
"243",95.080002,96,94.309998,95.540001,4588800,21.985976
"244",95.900002,98.290001,95.510002,97.989998,3456000,22.549777
"245",98.230003,99.080002,98.099998,98.82,2585200,22.74078
"246",99.709999,99.949997,98.949997,99.669998,3619200,22.936384
"247",99.739998,100.459999,97.080002,97.209999,3436800,22.370281
"248",96.790001,97.68,95.580002,95.870003,2174000,22.061917
"249",95.040001,96.699997,94.790001,95.010002,2234400,21.864011
"250",94.699997,95.260002,93.82,93.900002,2537200,21.608574
"251",94.309998,95.129997,93.800003,93.879997,3720000,21.60397
"252",92.959999,93.080002,91.599998,91.769997,3765600,21.261086
"253",92.209999,93.980003,92.010002,93.199997,4603200,21.592386
"254",92.970001,93.720001,91.620003,91.800003,4783200,21.268038
"255",103.040001,104.5,100.349998,101.010002,16839200,23.401792
"256",102.599998,102.989998,100.860001,101.790001,5150400,23.5825
"257",101.059998,101.699997,100.269997,100.839996,4676000,23.362405
"258",100.760002,101.18,99.190002,100.959999,5879200,23.390207
"259",101.860001,104.360001,101.860001,102.800003,6610800,23.816495
"260",102.330002,105.540001,102.25,104.910004,4381200,24.305336
"261",104.870003,106.93,104.870003,105.540001,4168400,24.451293
"262",105.449997,106.169998,104.43,104.519997,2948800,24.21498
"263",103.470001,104.650002,102.5,104.470001,3100400,24.203397
"264",104.839996,105.650002,103.940002,105.139999,5350800,24.358621
"265",105,106.25,104.589996,105.040001,3088400,24.335454
"266",105.489998,106.93,105.410004,106.910004,2618800,24.768692
"267",107.279999,108.190002,106.279999,107.620003,2950000,24.933183
"268",107.760002,109.730003,107.400002,108.559998,3280400,25.150959
"269",108.120003,111.57,108.120003,111.410004,3175600,25.811243
"270",111.32,111.970001,110.190002,111.099998,2302000,25.739421
"271",110.400002,111.690002,109.949997,111.220001,1859600,25.767223
"272",111.959999,113.769997,111.919998,113.580002,3884000,26.313984
"273",112.129997,113.330002,111.809998,113.32,2582400,26.253747
"274",112.089996,114.510002,111.870003,113.599998,5114000,26.318616
"275",113.68,116.860001,112.919998,115.059998,5988000,26.656866
"276",115.760002,117.089996,114.440002,115,7395200,26.642966
"277",115.519997,115.519997,112.669998,113.849998,6188400,26.376536
"278",114.129997,114.129997,111.620003,111.849998,6393200,25.91318
"279",111.959999,113.93,111.800003,112.849998,8936400,26.144858
"280",113.639999,115.459999,113.480003,115.410004,5482800,26.737955
"281",115.709999,115.959999,113.650002,114.440002,4158800,26.513227
"282",119.75,131.300003,118.660004,121.050003,10374000,28.044618
"283",120.860001,121.220001,119.730003,120.5,4208400,27.917195
"284",119.589996,120.25,118.389999,119.07,3662000,27.585895
