"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"1",78.959999,80.050003,78.919998,79.839996,826600,76.999167
"2",79.269997,80.07,79.169998,80.07,709600,77.220987
"3",80.07,80.720001,79.709999,79.800003,875600,76.960597
"4",80.050003,80.75,79.919998,80.739998,739100,77.867145
"5",80.190002,81.480003,80.010002,81.190002,730800,78.301138
"6",81.120003,81.370003,80.900002,81.209999,495100,78.320423
"7",81.059998,81.330002,80.150002,80.300003,796700,77.442806
"8",80.779999,81.410004,80.779999,81.019997,688900,78.137181
"9",81.190002,82.529999,80.57,80.620003,761900,77.75142
"10",80.559998,80.709999,79.120003,79.599998,663400,76.767709
"11",79.199997,79.650002,78.68,78.830002,418000,76.02511
"12",78.790001,79,78.269997,78.5,1273700,75.70685
"13",79.050003,79.529999,78.190002,79.199997,576200,76.38194
"14",78.529999,78.68,77.589996,77.970001,511900,75.195709
"15",77.739998,78.650002,77.459999,77.529999,520700,74.771363
"16",77.400002,77.629997,75.160004,76.290001,1341200,73.575486
"17",76.290001,77.019997,76.099998,76.480003,729500,73.758728
"18",76.949997,77.610001,76.360001,77.139999,652300,74.39524
"19",77.080002,77.919998,76.410004,77.860001,729600,75.089623
"20",79.709999,79.709999,78.519997,78.879997,1187700,76.073326
"21",78.730003,79.43,78.650002,79.099998,581800,76.2855
"22",78.75,79.099998,78.360001,78.690002,355000,75.890092
"23",79.040001,80,79,79.660004,655200,76.825579
"24",79.519997,79.660004,78.779999,79.32,530100,76.497673
"25",79.139999,79.629997,78.379997,78.82,832000,76.015464
"26",78.800003,78.949997,77.43,77.580002,794400,74.819587
"27",77.669998,78.029999,77.019997,77.199997,747500,74.453103
"28",76.580002,77.989998,76.160004,77.910004,853400,75.137847
"29",77.739998,77.769997,76.019997,76.18,1159800,73.469399
"30",76.779999,77.599998,76.309998,77.349998,1243400,74.774448
"31",79.879997,80.849998,77.959999,78.720001,1479000,76.098833
"32",78.739998,79.290001,78.059998,78.550003,861900,75.934495
"33",78.879997,79.019997,77.919998,78.919998,661300,76.292171
"34",78.739998,78.839996,77.690002,78.449997,835700,75.837819
"35",78.660004,78.660004,77.040001,77.800003,824400,75.209468
"36",77.190002,78.68,76.900002,78.529999,791900,75.915157
"37",79.720001,80.690002,79.370003,80.230003,744600,77.558556
"38",80.25,81.029999,80.110001,80.550003,656200,77.867901
"39",80.529999,81.300003,80.239998,81.150002,613400,78.447921
