"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"1",50.84,51.509998,50.349998,51.439999,6108400,25.719999
"2",50.669998,51.880001,50.580002,51.790001,2964200,25.895
"3",52.16,53.389999,52.07,52.130001,6113800,26.065001
"4",52.200001,53.830002,52.18,53.77,6900200,26.885
"5",53.349998,54.200001,53.16,53.990002,6839200,26.995001
"6",54.25,54.25,53.220001,53.68,5875200,26.84
"7",53.669998,54.560001,53.360001,53.57,7400800,26.785
"8",54.310001,54.810001,53,53.34,6338200,26.67
"9",53.540001,53.73,52.18,52.380001,6742200,26.190001
"10",52.529999,52.779999,51.77,52.200001,5507400,26.1
"11",51.880001,52.299999,51.43,51.700001,5571600,25.85
"12",52.139999,53.650002,51.75,52.580002,15751200,26.290001
"13",52.689999,53.34,52.349998,52.869999,8232400,26.434999
"14",51.560001,52.07,50.029999,50.549999,7080200,25.275
"15",50.369999,51.310001,49.830002,50.060001,8827200,25.030001
"16",49.959999,50.57,49.259998,50.330002,11059200,25.165001
"17",50.900002,50.900002,49.099998,49.380001,7159000,24.690001
"18",49.98,50.349998,48.98,49.57,7322800,24.785
"19",49.849998,51.790001,49.549999,51.700001,8107200,25.85
"20",52.209999,53.360001,52.099998,52.740002,8835000,26.370001
"21",52.650002,53.509998,52.57,53.459999,4818600,26.73
"22",53.279999,53.939999,52.939999,53.240002,5244000,26.620001
"23",52.450001,54.689999,52.439999,53.830002,12217400,26.915001
"24",54.169998,54.220001,53.5,53.790001,6073200,26.895
"25",53.73,54.25,53.25,54.16,6791600,27.08
"26",53.779999,54.400002,52.48,52.630001,7680400,26.315001
"27",52.77,54,52.77,53.849998,4848800,26.924999
"28",52.740002,54.490002,52.5,54.459999,6303000,27.23
"29",54.77,54.77,52.849998,53.07,6759400,26.535
"30",53.560001,54.290001,53.27,54.099998,6804200,27.049999
"31",53.84,55.380001,53.57,55.34,8706000,27.67
"32",55.439999,55.669998,54.849998,55.310001,5142600,27.655001
"33",55.689999,56.080002,54.41,54.73,5871800,27.365
"34",54.52,54.959999,54.099998,54.330002,3328200,27.165001
"35",54.73,55.240002,53.16,53.939999,6236400,26.969999
"36",53.16,54.939999,53.16,54.560001,5518000,27.280001
"37",55.509998,55.91,54.689999,55.419998,8139600,27.709999
"38",61.860001,63.939999,59.849998,60.619999,22193400,30.309999
"39",60.59,61.75,60.470001,61.57,6842600,30.785
"40",60.5,61.27,60.32,61,6819200,30.5
"41",60.060001,61,59.540001,60.93,6656800,30.465
"42",61.060001,61.490002,60.599998,61.27,5618800,30.635
"43",60.389999,61.5,60.130001,61.18,4996800,30.59
"44",59.810001,60,58.810001,59.290001,5516400,29.645
"45",58.200001,59.220001,57.599998,58.939999,6211600,29.469999
"46",58.509998,58.880001,58.119999,58.279999,4125800,29.139999
"47",57.98,58.759998,57.549999,58.490002,3293400,29.245001
"48",58.799999,60.330002,58.630001,59.860001,5732400,29.93
