"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"1",79.139999,80.339996,78.650002,80.260002,2725300,77.920671
"2",79.529999,80.739998,78.82,80.629997,2406100,78.279882
"3",81.18,82.5,80.75,81.470001,3507100,79.095402
"4",82.099998,83.150002,81.629997,83.010002,3561500,80.709397
"5",81.400002,82.050003,77.919998,78.07,15058000,75.906306
"6",78.5,78.519997,77.129997,78.110001,7910200,75.945198
"7",78.470001,78.82,77.910004,78.699997,3733300,76.518843
"8",79.690002,80.089996,78.019997,78.580002,3346100,76.402174
"9",78.519997,78.959999,75.879997,76.199997,4665900,74.08813
"10",76.43,77.220001,75.440002,76.589996,4015900,74.467321
"11",76.220001,77.330002,75.690002,75.959999,4112700,73.854784
"12",76.120003,76.239998,74.419998,75.959999,8014300,73.854784
"13",75.800003,76.550003,74.93,75.129997,3176200,73.047785
"14",74.010002,74.269997,70.940002,71.510002,5349400,69.528118
"15",71.470001,71.900002,69.980003,70.110001,4570400,68.166917
"16",70.709999,72.190002,69.779999,72,6562400,70.004535
"17",72.389999,72.599998,71.019997,71.410004,4719000,69.43089
"18",72.230003,72.709999,70.059998,70.699997,5745100,68.740561
"19",71,72.910004,70.57,72.889999,4839800,70.869868
"20",73.489998,74.440002,72.629997,73.68,3219300,71.637975
"21",73.870003,74.360001,72.519997,74.220001,3500500,72.16301
"22",75.209999,75.400002,73.580002,74.160004,2902600,72.104675
"23",75.160004,77.68,75.110001,77.290001,5278600,75.147925
"24",77.010002,79.120003,76.910004,78.730003,5260100,76.548018
"25",78.75,78.800003,76.239998,77.220001,3884300,75.079865
"26",76.800003,76.989998,74.370003,74.610001,3024200,72.5422
"27",74.910004,75.220001,73.699997,74.989998,2248000,72.911666
"28",74.099998,76.040001,73.260002,75.910004,2303800,73.806174
"29",76.529999,76.57,73.349998,74.029999,3010300,71.978273
"30",75.709999,78.739998,75.709999,78.529999,4490400,76.353556
"31",78.489998,79,77.57,78.959999,2800400,76.771639
"32",82.260002,83.639999,82,83.389999,7247800,81.078863
"33",84,84.239998,81.809998,82.370003,3282600,80.087136
"34",81.75,83.050003,81.410004,82.839996,2931000,80.544103
"35",83.470001,83.68,81.150002,82.07,2335400,79.795447
"36",81.230003,82.989998,80.669998,82.550003,2453600,80.262147
"37",83.900002,84.669998,83.059998,84.599998,2471300,82.255327
"38",84.459999,84.459999,82.75,83.629997,2350200,81.31221
"39",84.019997,86.089996,83.75,85.959999,3289500,83.577636
"40",85.18,86.050003,84.849998,85.75,2478000,83.373457
"41",84.559998,85.790001,84.080002,85.32,1845600,82.955374
"42",85.559998,87.739998,85.519997,87.290001,2915400,84.870777
"43",86.440002,87.470001,85.769997,87.099998,2778100,84.68604
"44",85.419998,85.480003,82.470001,83.129997,3736600,80.826067
"45",81.75,82.190002,80.889999,81.940002,3022500,79.669053
"46",81.779999,82.199997,80.779999,80.800003,1967600,78.560648
"47",80.18,81.5,79.879997,80.980003,1942900,78.73566
"48",81.949997,84.470001,81.739998,83.760002,2780600,81.438611
"49",83.540001,84.550003,82.739998,84.040001,2518900,81.71085
"50",83.5,83.919998,80.940002,81.580002,2700000,79.319029
"51",81.059998,81.660004,79.980003,81.230003,2572500,78.978731
"52",82.269997,83.269997,81.330002,81.440002,2622000,79.18291
"53",80.260002,80.690002,78.129997,79.089996,3030200,76.898034
"54",78.110001,79.139999,77.25,78.75,2707300,76.56746
"55",78.470001,80.110001,78.470001,78.760002,2316800,76.577185
"56",79.510002,80.57,77.889999,80.459999,1940900,78.230067
"57",79.669998,80.870003,78.75,78.779999,1511700,76.596628
"58",78.510002,79.400002,77.339996,78.050003,2733500,75.886864
"59",79.309998,81.690002,79.040001,81.370003,3479400,79.11485
"60",81.510002,82.150002,81.010002,81.720001,2455400,79.455149
"61",82.790001,84.120003,82.480003,82.75,2585000,80.456601
"62",82.239998,82.760002,81.330002,81.980003,1666700,79.707945
"63",82.029999,84.610001,82.029999,83.809998,2311000,81.606678
"64",85.120003,85.860001,84.129997,84.279999,1961400,82.064323
"65",84.699997,85,83.959999,84.160004,1166600,81.947482
"66",85.25,86.349998,84.279999,84.620003,2095000,82.395388
"67",84.839996,85.589996,84.059998,85.089996,2184500,82.853026
"68",84.860001,86.309998,84.599998,85.940002,2022100,83.680686
"69",83.410004,84,81.800003,82.720001,8247600,80.545337
"70",82.849998,82.849998,81.809998,82.279999,3893600,80.116902
"71",82.57,83.669998,82.089996,82.910004,2491700,80.730344
"72",83.220001,83.75,82.410004,83.629997,3959000,81.43141
"73",83.610001,85.080002,83.309998,84.300003,3618600,82.083801
"74",83.559998,84.419998,82.370003,82.660004,2464200,80.486917
"75",83.879997,84.800003,83.669998,84.230003,2383500,82.015642
"76",84.610001,84.870003,83.949997,84.07,2253600,81.859845
"77",84.059998,84.860001,82.760002,84.709999,2880500,82.483019
"78",84.510002,86.57,84.010002,86.370003,5037300,84.099382
"79",87,88.459999,85.43,85.5,5114000,83.252251
"80",86.410004,87.419998,85.230003,85.639999,3260800,83.38857
"81",85.529999,86.639999,84.739998,85.43,3371200,83.184091
"82",86.230003,88.449997,86.120003,87.830002,3840200,85.520998
"83",87.589996,88,86.730003,87.379997,2108400,85.082824
"84",87.650002,87.68,85.93,86.739998,1930500,84.45965
"85",86.93,88.93,86.339996,88.690002,3697800,86.35839
"86",88.959999,88.959999,88.099998,88.400002,1684500,86.076013
"87",87.959999,88.379997,86.550003,87.980003,2255200,85.667056
"88",88.559998,90.629997,88.260002,89.75,2829700,87.390521
"89",89.730003,89.75,88.839996,89.389999,1577300,87.039984
"90",90.050003,90.5,88.650002,89.620003,2172800,87.263941
"91",89.449997,89.900002,88.889999,89.470001,1953100,87.117883
"92",88.190002,88.709999,86.43,87.139999,2844400,84.849136
"93",87.57,89.25,87.5,88.919998,2506100,86.582339
"94",88.919998,89.870003,87.800003,88.57,1826200,86.241542
"95",88.660004,88.860001,87.900002,88.860001,954600,86.523919
"96",89.389999,90.199997,88.919998,89.559998,2716300,87.205513
"97",88.970001,90.300003,88.25,89.639999,1763300,87.283412
"98",88.629997,88.75,86.699997,88.129997,2352800,85.813107
"99",88.699997,89.18,87.57,88.830002,2335900,86.494709
"100",88.720001,89.129997,87.669998,87.720001,2062700,85.413889
"101",87.690002,88.769997,86.040001,86.419998,2610300,84.148063
"102",87.099998,87.690002,86.230003,87.029999,2040700,84.742027
"103",87,88.379997,85.839996,87.440002,2932400,85.141252
"104",88.379997,89.139999,87.93,88.800003,3501400,86.465499
"105",88.730003,90.550003,88.730003,90,2527100,87.633948
"106",89.18,90.459999,89.050003,90.309998,1995900,87.935796
"107",90.419998,90.650002,87.790001,88.120003,2330600,85.803375
"108",88.330002,88.75,87.25,88.480003,1468600,86.153912
"109",87.480003,88.449997,87.349998,87.980003,1831400,85.667056
"110",87.389999,87.75,86.769997,87.32,1533900,85.024404
"111",87.68,88.25,86.230003,86.389999,2144000,84.118853
"112",85.879997,86.230003,84.489998,85.870003,2382900,83.612526
"113",86.120003,86.730003,85.349998,85.629997,1745000,83.378831
"114",86.760002,87.589996,86.139999,87.089996,2153600,84.91945
"115",87.349998,87.970001,86.550003,86.790001,1929600,84.626931
"116",86.5,87.5,85.879997,87.339996,2326000,85.163219
"117",86.32,86.900002,85.809998,86.139999,1614300,83.99313
"118",86.860001,88.599998,86.589996,88.470001,1936900,86.265061
"119",87.57,87.989998,87.440002,87.5,642600,85.319235
"120",89,91.980003,88.470001,91.589996,5127600,89.307296
"121",91.209999,93.029999,91,91.120003,4810800,88.849016
"122",93.239998,95,93.099998,93.989998,3220300,91.647483
"123",94.349998,96.230003,94.099998,95.209999,2399300,92.837078
"124",94.510002,95.480003,94.360001,95,1833900,92.632312
"125",94.529999,94.669998,93.040001,93.290001,2323700,90.964932
"126",94.18,94.599998,92.639999,92.660004,3025500,90.350636
"127",92.43,93.279999,92.099998,92.809998,1401700,90.496892
"128",93.669998,94.279999,93.300003,94.089996,2650400,91.744989
"129",94.099998,94.099998,92.629997,93.980003,1752800,91.637737
"130",94.900002,95.190002,94.260002,94.309998,2186900,91.959507
