"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"1",79.18,79.739998,79.150002,79.470001,3870200,35.268429
"2",78.93,79.199997,78.269997,79.150002,3579400,35.126415
"3",79.269997,79.900002,79.269997,79.32,3712200,35.201859
"4",79.739998,80.860001,79.68,80.809998,4172200,35.863113
"5",80.18,80.75,80.18,80.629997,2863400,35.78323
"6",80.82,80.940002,80.169998,80.900002,3043600,35.903057
"7",80.959999,81.220001,80.519997,80.589996,5187800,35.765478
"8",81.150002,81.550003,80.839996,81.160004,5114400,36.018445
"9",81.169998,81.949997,80.839996,80.940002,5446200,35.920809
"10",80.709999,81.080002,80.050003,80.330002,4431200,35.650094
"11",80.300003,81,79.940002,80.32,4429800,35.645655
"12",80.5,80.589996,79,79.029999,9237400,35.073158
"13",79.120003,79.57,78.559998,79.239998,3760200,35.166355
"14",78.699997,78.839996,77.419998,78,6413600,34.616049
"15",78.010002,79.25,77.730003,78.760002,7761200,34.953335
"16",78.620003,78.980003,77.599998,78.839996,7912800,34.988836
"17",79.339996,79.339996,78.389999,78.720001,3917800,34.935582
"18",79.199997,79.339996,78.169998,78.769997,4166000,34.95777
"19",79.139999,80.989998,78.669998,80.980003,5472000,35.938561
"20",81.269997,82.07,81.120003,81.959999,4827200,36.373479
"21",81.760002,82.449997,81.690002,82.150002,4259400,36.457801
"22",81.860001,82.980003,81.769997,82.839996,6071000,36.764018
"23",83.300003,83.489998,82.849998,83.150002,4135800,36.901597
"24",82.970001,83.360001,82.480003,83.309998,2638200,36.972602
"25",83.150002,83.459999,82.510002,83.089996,3370600,36.874967
"26",82.879997,83.230003,82.199997,82.830002,4734600,36.759582
"27",83.150002,83.589996,82.769997,83.110001,3807400,36.883844
"28",82.629997,84.010002,82.57,83.970001,3872000,37.265509
"29",84.110001,84.199997,82.68,83.029999,4568800,36.84834
"30",83.089996,83.360001,82.339996,82.57,5431600,36.879607
"31",82.550003,83.5,82.269997,83.470001,3247400,37.28159
"32",83.389999,83.980003,83.18,83.739998,2953800,37.402183
"33",83.849998,84.709999,83.300003,84.589996,4770200,37.781832
"34",84.589996,84.669998,83.529999,83.860001,5583400,37.455782
"35",79,79.620003,76.660004,78.120003,32939000,34.892031
"36",77.82,79.480003,77.809998,78.980003,17946000,35.276148
"37",79.57,79.57,78.099998,78.25,11233600,34.950094
"38",77.900002,78.339996,77.629997,78.139999,7014800,34.900963
"39",78.099998,78.550003,78,78.059998,4265200,34.86523
"40",78.050003,78.18,76.949997,77.129997,6605600,34.449849
"41",76.620003,76.970001,76.040001,76.5,7069600,34.168463
"42",76.849998,76.949997,75.830002,76.269997,6702600,34.065732
"43",75.809998,78.589996,75.800003,77.970001,10654000,34.825034
"44",77.199997,77.360001,76.470001,76.470001,5965000,34.155064
"45",76.07,77.300003,75.900002,77.019997,5652800,34.400717
"46",76.739998,77.169998,76.300003,76.389999,4805400,34.119331
"47",75.910004,76.309998,75.510002,76.169998,4632400,34.021069
"48",76.440002,76.779999,76,76.449997,3880600,34.146129
"49",76.290001,77.089996,76.120003,76.800003,3802200,34.302458
"50",76.650002,76.93,76.129997,76.75,5859000,34.280124
"51",76.419998,76.739998,75.889999,76.029999,5389200,33.958538
"52",76.18,76.580002,75.440002,75.519997,4743600,33.730748
"53",74.650002,75.940002,74.650002,75.470001,4310400,33.708417
"54",75.029999,75.57,74.919998,75.279999,4848600,33.623553
"55",75.610001,75.699997,73.919998,73.989998,7080400,33.047379
"56",74.18,74.470001,73.120003,74.25,6941600,33.163508
"57",74.120003,74.620003,73.860001,73.860001,4520800,32.989316
"58",73.769997,74.830002,73.699997,73.839996,7446600,32.980381
"59",74.739998,75.309998,74.400002,74.919998,5829800,33.46276
"60",74.879997,75.099998,74.510002,74.830002,5507000,33.422564
"61",75.010002,75.239998,74.120003,74.849998,7356800,33.431495
"62",74.699997,75.75,74.510002,74.760002,7220000,33.391299
"63",74.970001,75,74.169998,74.589996,5151400,33.315366
"64",75.050003,75.209999,74.389999,74.559998,4286000,33.301967
"65",74.739998,75.400002,74.690002,75.18,7164200,33.578889
"66",75.5,75.589996,74.900002,75.050003,4388000,33.520827
"67",75.029999,75.790001,75.029999,75.43,5886600,33.690551
"68",75.440002,76.550003,75.129997,76.269997,5240800,34.065732
"69",76.32,76.580002,75.75,76.580002,5804200,34.204195
"70",76.68,77.43,76.68,77.370003,9000400,34.557046
"71",77.18,78.449997,77.150002,78.25,6515400,34.950094
"72",78.150002,79,77.879997,78.550003,8600200,35.08409
"73",78.5,78.860001,78.360001,78.449997,5327400,35.039422
"74",77.940002,78.43,77.639999,78.059998,5026800,34.86523
"75",78.639999,78.989998,78.129997,78.519997,5762800,35.070687
"76",78.25,79.190002,78.139999,78.93,4768000,35.253814
"77",79.160004,79.190002,78.330002,78.809998,6266000,35.200215
"78",78.739998,79,78.139999,78.309998,4592400,34.976892
"79",76.800003,77.889999,76.349998,76.860001,11758800,34.329256
"80",77.110001,77.379997,76.440002,76.57,9056800,34.199728
"81",76.459999,77.239998,76.25,76.419998,5963200,34.13273
"82",75.900002,76.099998,74.400002,74.919998,15187600,33.46276
"83",74.730003,75.040001,73.75,73.959999,9862400,33.03398
"84",74.440002,74.5,73.669998,73.75,7566800,32.940185
"85",73.769997,75.040001,73.620003,74.900002,6490400,33.453829
"86",75.150002,75.730003,74.550003,74.849998,4662600,33.431495
"87",74.940002,75.339996,74.580002,74.940002,6356200,33.471695
"88",75.349998,76.010002,75.129997,75.730003,5276600,33.824546
"89",75.709999,76.459999,75.550003,75.839996,4183200,33.873674
"90",76.150002,76.379997,75.589996,75.889999,5683000,33.896008
"91",76.199997,76.940002,76.099998,76.730003,5691400,34.271193
"92",76.300003,76.889999,75.949997,76.25,4975000,34.056801
"93",76.470001,77.519997,76.300003,77.18,6251600,34.472182
"94",77.330002,77.550003,76.309998,76.699997,4943600,34.494667
"95",76.940002,77.5,76.599998,76.839996,2964000,34.55763
"96",77.139999,77.290001,76.599998,76.870003,3994800,34.571125
"97",76.540001,76.540001,75.690002,76.449997,7292600,34.382234
"98",75.919998,76.120003,75.169998,75.5,5880600,33.954987
"99",75.900002,76,74.389999,74.919998,15811800,33.69414
