"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"1",38.400002,39.150002,38.130001,39.07,2253000,35.196083
"2",38.639999,39.529999,38.619999,39.470001,1666100,35.556423
"3",39.779999,40.450001,39.439999,39.48,2278600,35.56543
"4",39.900002,40.630001,39.650002,40.549999,1855600,36.529336
"5",40.240002,41.060001,40.029999,40.740002,2184300,36.700499
"6",40.959999,40.959999,39.41,39.93,1924800,35.970812
"7",40.09,40.09,39.549999,39.759998,1916200,35.817666
"8",40.360001,40.720001,39.580002,39.75,1576600,35.808659
"9",39.740002,40.279999,39.049999,39.110001,1766400,35.232118
"10",39.240002,39.349998,38.450001,38.650002,1592200,34.817729
"11",38.41,38.560001,37.650002,37.759998,1732900,34.015973
"12",38.16,38.720001,37.490002,38.490002,2959100,34.673594
"13",38.580002,38.639999,37.939999,38.049999,1177100,34.277219
"14",38.02,38.02,35.849998,35.990002,5362100,32.421477
"15",36.099998,36.869999,36.029999,36.130001,3811500,32.547595
"16",36.049999,36.380001,34.68,35.830002,3313900,32.277342
"17",36.169998,36.529999,35.700001,36.18,3733400,32.592637
"18",36.889999,37.419998,36.049999,36.470001,2830500,32.853883
"19",36.66,38.16,36.619999,38.139999,3152000,34.358296
"20",38.689999,39.330002,37.720001,38.220001,2770300,34.430365
"21",38.23,39.09,37.939999,39,1448100,35.133024
"22",38.849998,38.849998,38.139999,38.610001,1544600,34.781695
"23",39.060001,39.740002,39.02,39.580002,2036200,35.655517
"24",39.310001,39.619999,38.880001,39.419998,2066000,35.511378
"25",39.459999,39.650002,38.48,39.200001,2311700,35.313194
"26",38.669998,38.919998,37.41,37.549999,3344700,33.826796
"27",37.66,37.810001,36.959999,37.700001,1754600,33.961924
"28",36.900002,38.41,36.810001,38.380001,2031500,34.5745
"29",39.009998,39.009998,37.169998,37.310001,2422500,33.610595
"30",37.830002,39,37.759998,38.830002,2247600,34.979882
"31",38.650002,39.099998,38.25,38.650002,2528400,34.817729
"32",38.689999,38.759998,38.150002,38.5,4472100,34.682601
"33",38.860001,39.099998,38.360001,38.740002,3247100,34.898806
"34",38.48,38.810001,38.169998,38.279999,2536800,34.484414
"35",42.66,43.82,41.119999,42.98,8814300,38.718394
"36",42.279999,42.799999,42.049999,42.389999,4416600,38.186894
"37",43.169998,43.639999,42.619999,43.610001,3261500,39.285929
"38",43.509998,43.540001,42.560001,42.82,2987000,38.574259
"39",42.799999,43.279999,42.470001,43.23,1816800,39.108
"40",42.889999,43.450001,42.57,43.400002,1719500,39.261792
"41",42.790001,43.220001,42.259998,42.950001,2476000,38.854699
"42",43.349998,44.110001,43.09,43.919998,1963000,39.732207
"43",43.509998,44.470001,42.900002,44.220001,2916200,40.003604
"44",43.360001,43.709999,43,43.049999,5374000,38.945163
