"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"1",156.179993,158.520004,153.960007,156.979996,580800,136.858024
"2",154.110001,159.259995,154.110001,159.139999,328900,138.741155
"3",158.960007,161.199997,157.949997,158.770004,421400,138.418586
"4",159.990005,163.289993,158.839996,163.279999,342900,142.350482
"5",161.309998,163.419998,160.309998,161.520004,331800,140.816087
"6",162.259995,162.389999,157.690002,159.369995,341500,138.941669
"7",158.850006,160.449997,158.399994,158.770004,329100,138.418586
"8",160.779999,161.850006,157.020004,157.919998,406600,137.677536
"9",156.899994,158.809998,155.830002,155.839996,246100,135.864152
"10",155.460007,156.600006,153.949997,155.050003,296600,135.175421
"11",154.580002,154.789993,150.550003,150.740005,301200,131.417887
"12",150.660004,155.669998,150.279999,152.339996,676800,132.812788
"13",152.800003,153.839996,151.529999,152.139999,243400,132.638427
"14",149.470001,149.929993,145.199997,145.600006,470000,126.936742
"15",144.860001,147.050003,143.009995,143.399994,311400,125.018731
"16",145.350006,145.350006,138.419998,140.320007,639800,122.333542
"17",140.440002,144.020004,139.279999,142.789993,533600,124.486921
"18",144.179993,147.610001,143.350006,145.210007,473100,126.596733
"19",145.199997,148.610001,144.619995,148.479996,332600,129.447569
"20",149.910004,152.25,148.880005,152.25,462800,132.734328
"21",151.940002,155.259995,150.550003,154.970001,373300,135.105674
"22",153.919998,155.690002,152.940002,154.149994,194300,134.390777
"23",155.240005,158.449997,155.100006,156.899994,366900,136.788277
"24",156.679993,156.759995,153.110001,155.25,267000,135.349782
"25",154.770004,155.380005,151.020004,153.990005,278700,134.251296
"26",152.949997,152.970001,148.960007,149.139999,360400,130.022972
"27",150,150.210007,146.839996,148.130005,201900,129.142441
"28",146.360001,149.470001,145.199997,149.360001,443100,130.214774
"29",150.25,150.990005,141.009995,143.330002,1127600,124.957711
"30",144.649994,152.199997,144,151.210007,587200,131.827643
"31",150.279999,155.589996,150.009995,154.490005,466000,134.687205
"32",155.25,159.889999,155.009995,159.649994,439300,139.185777
"33",160.289993,162.639999,157.190002,157.580002,388500,137.381121
"34",158.199997,159.990005,155.429993,157,308600,136.875464
"35",158,159.960007,155.710007,158.240005,438100,137.956524
"36",156.600006,159.240005,156,157.490005,313700,137.30266
"37",160,163.509995,160,162.850006,369200,141.975606
"38",162.850006,162.940002,160.350006,160.839996,345300,140.223243
"39",160.639999,161.25,157.190002,160.429993,489400,139.865795
"40",159.5,161.570007,159.059998,160.520004,222000,139.944268
"41",159.830002,159.830002,154.240005,157.160004,542700,137.014958
"42",158.309998,160.360001,157.610001,159.649994,294200,139.185777
"43",158.889999,161.009995,157.5,159.410004,329600,138.97655
"44",154.779999,156.289993,152.729996,152.949997,336700,133.344598
"45",151.75,151.75,149.339996,149.5,423300,130.336828
"46",149,153.910004,148.990005,151.580002,295200,132.150211
"47",150.350006,151.25,148.990005,150.820007,303100,131.487634
"48",152.25,153.399994,151.369995,151.899994,203300,132.429186
"49",151.710007,152.740005,149.509995,150.479996,227500,131.191206
"50",149.949997,151.429993,147,147.330002,411100,128.444984
"51",147,147.5,144.5,145.399994,536800,126.762367
"52",145.710007,146,142.639999,143.149994,433800,124.800776
"53",141.470001,142.199997,140.080002,141.389999,434900,123.266381
"54",140.020004,141.639999,139.360001,141.199997,428400,123.100733
"55",141.770004,142.25,139.440002,139.440002,265500,121.566338
"56",140.419998,141.729996,139.160004,141.149994,302900,123.05714
"57",141.339996,143.300003,140.880005,142.169998,337700,123.946398
"58",141.330002,142.179993,140.25,141.949997,360800,124.631237
"59",144.630005,147.119995,143.210007,146.570007,318600,128.687578
"60",145.5,149.610001,145.5,149.300003,317300,131.084498
"61",150.199997,151.589996,150.089996,151.550003,300400,133.059984
"62",150.899994,151.830002,150.339996,150.779999,220600,132.383925
"63",150.25,152.830002,150.25,151.940002,367300,133.402402
"64",154.050003,156,148.539993,150.740005,463300,132.348812
"65",150.779999,151.570007,149.75,151.160004,292600,132.717567
"66",152.710007,154,149.979996,150.690002,385900,132.304909
"67",150.929993,160.5,149.949997,159.550003,1011900,140.083936
"68",158.309998,165.809998,158.309998,164.899994,735900,144.781196
"69",163.369995,164.389999,160.539993,162.539993,429600,142.709129
"70",163.240005,165.449997,161.059998,165.050003,544100,144.912903
"71",165.779999,172.190002,165.779999,171.679993,749500,150.733993
"72",172.669998,172.869995,166.679993,167.75,764700,147.283484
"73",168.210007,169.399994,164.759995,165.740005,469400,145.518721
"74",165.740005,165.740005,160.860001,161.669998,676200,141.945279
"75",164.210007,167.399994,164,167.229996,299300,146.826923
"76",163.580002,167.25,163.410004,165.899994,377200,145.65919
"77",167,168.789993,164.789993,168.669998,394600,148.091236
"78",167.610001,170.259995,167.610001,168.759995,561300,148.170253
"79",169.990005,172,169.5,170.25,728700,149.478469
"80",171.800003,171.800003,169.350006,171.339996,416400,150.435479
"81",171.559998,171.559998,169.059998,170.910004,453400,150.057948
"82",167,172.470001,166.169998,171.309998,846400,150.40914
"83",170.059998,171.369995,169.589996,171.350006,439900,150.444267
"84",171.600006,172.860001,170.800003,170.949997,306000,150.093062
"85",172,174.839996,170.919998,174.5,406600,153.209943
"86",175.720001,177.800003,175.199997,177.240005,566900,155.615651
"87",176.220001,178.75,174.630005,178.610001,454000,156.818498
"88",179.399994,181,178.020004,179.240005,401600,157.371639
"89",178.610001,180.130005,177.279999,177.75,724500,156.063423
"90",176.5,177.850006,175,175.740005,339600,154.29866
"91",175.119995,177.330002,175.119995,176.5,447500,154.965931
"92",174.75,176,173,174.630005,380800,153.324086
"93",174.479996,174.929993,168.070007,169.509995,1435400,148.828748
"94",169.979996,170.070007,165.169998,166.259995,923300,145.975268
"95",167.350006,170.039993,166.919998,167.559998,593300,147.116663
"96",167.710007,169.630005,167.710007,168.389999,765300,147.845399
"97",167.850006,169.240005,167,168.619995,329600,148.047334
"98",167.720001,168.690002,166.210007,168.5,314300,147.941979
"99",169.149994,169.850006,167.699997,168.130005,319600,147.617126
"100",168.580002,171.25,168.25,170.990005,578400,150.128189
"101",171.740005,174.470001,170.160004,171.850006,302900,150.883264
"102",173.830002,174.350006,172.600006,173.039993,211500,151.928066
"103",166.479996,168.899994,164.009995,165.660004,1959200,145.44848
"104",167.490005,169.960007,166.710007,169.009995,2337800,148.389751
"105",169.089996,173.960007,169.029999,173.149994,1184600,152.024646
"106",171.990005,172.279999,168.889999,169.089996,2274300,148.459992
"107",165.610001,167.5,164.339996,164.509995,16343600,144.438778
"108",165.630005,168.949997,165.110001,168.479996,5091100,147.924415
"109",168,172.410004,166.039993,171.199997,3135500,150.31256
"110",170.320007,173.080002,167.5,173.070007,3350200,151.954418
"111",173.720001,173.75,170.919998,173.080002,1715400,151.963193
"112",170.860001,172.350006,165.779999,167.279999,2319400,146.870825
"113",168.25,170.009995,167.039993,168.929993,1929800,148.31951
