"","ORLY.Open","ORLY.High","ORLY.Low","ORLY.Close","ORLY.Volume","ORLY.Adjusted"
"1",49.380001,49.709999,48.509998,49.48,1553700,49.48
"2",48.82,50.07,48.810001,49.810001,1067400,49.810001
"3",50.509998,50.970001,50.27,50.32,1137100,50.32
"4",50.669998,51.16,50.209999,51.130001,1077200,51.130001
"5",51.07,51.119999,50.529999,50.619999,1096400,50.619999
"6",50.869999,50.93,50.150002,50.380001,1320400,50.380001
"7",50.34,50.799999,49.700001,49.93,2370400,49.93
"8",50.060001,50.439999,49.389999,49.66,839300,49.66
"9",49.66,50.43,48.939999,49.07,1066500,49.07
"10",49.25,50.18,49.25,49.900002,1115500,49.900002
"11",49.68,49.889999,48.529999,48.869999,1022100,48.869999
"12",48.84,49.459999,48.509998,49.150002,1000800,49.150002
"13",49.119999,49.150002,48.41,48.610001,740900,48.610001
"14",48.330002,48.419998,47.23,47.830002,1340500,47.830002
"15",47.639999,48.470001,47.299999,47.560001,1068300,47.560001
"16",47.450001,48.150002,46.860001,48,1508600,48
"17",48.02,48.119999,47.619999,47.68,893300,47.68
"18",48.099998,48.43,46.310001,46.75,1927000,46.75
"19",46.700001,47.150002,46.060001,46.799999,2231600,46.799999
"20",46.869999,47,45.66,46.349998,2451700,46.349998
"21",46.419998,46.529999,45.790001,46.07,1418100,46.07
"22",46.09,46.32,45.650002,46.189999,900600,46.189999
"23",46.490002,47.810001,46.369999,47.599998,1623600,47.599998
"24",47.52,47.830002,47.150002,47.52,1411900,47.52
"25",47.400002,48.419998,47.349998,48.32,1173500,48.32
"26",48.389999,48.389999,47.029999,47.09,1151700,47.09
"27",47.09,48.400002,47.009998,47.91,958200,47.91
"28",47.349998,48.790001,47.130001,48.740002,897400,48.740002
"29",48.779999,48.91,46.799999,47.029999,1628200,47.029999
"30",47.540001,48.34,47.540001,48,907100,48
"31",47.759998,49.119999,47.759998,49.040001,846500,49.040001
"32",49.279999,49.959999,48.700001,49.939999,1623500,49.939999
"33",50,50.169998,48.880001,48.98,1162300,48.98
"34",49.029999,49.790001,48.849998,49.389999,1443500,49.389999
"35",49.389999,49.650002,48.23,48.990002,2289600,48.990002
"36",48.860001,49.369999,48.619999,49.279999,1909900,49.279999
"37",49.880001,49.900002,49.02,49.080002,1698500,49.080002
"38",48.279999,48.91,48,48.16,1408200,48.16
"39",48.099998,48.25,47.299999,47.75,1637300,47.75
"40",47.450001,48,47.09,47.849998,1165400,47.849998
"41",48.009998,48.009998,46.779999,47.139999,2088500,47.139999
"42",47.91,47.91,46.91,47.27,2187000,47.27
"43",46.880001,47.139999,46.57,46.830002,1127400,46.830002
"44",46.419998,46.549999,45.75,46.27,1313900,46.27
"45",45.75,47.220001,45.740002,46.970001,2169200,46.970001
"46",46.639999,47,46.25,46.84,1113100,46.84
"47",46.59,47.18,46.52,47.130001,1413500,47.130001
"48",47.41,48.009998,47.200001,47.799999,2414500,47.799999
"49",47.849998,48.450001,47.509998,48.080002,1629400,48.080002
"50",47.75,48.040001,47.150002,47.470001,1117800,47.470001
"51",47.459999,47.84,46.950001,47.82,1165000,47.82
"52",47.810001,48.02,47.060001,47.099998,1085800,47.099998
"53",46.77,47.48,46.09,47.169998,1138300,47.169998
"54",47,47.5,46.84,47.330002,984600,47.330002
"55",47.450001,47.599998,47.18,47.209999,697400,47.209999
"56",47.43,47.779999,46.889999,47.610001,614300,47.610001
"57",47.450001,47.57,46.93,46.93,573700,46.93
"58",46.82,47.369999,46.560001,47.27,1538200,47.27
"59",47.5,49,47.5,48.869999,1594500,48.869999
"60",48.57,49.650002,48.57,49.650002,1362000,49.650002
"61",49.830002,50.439999,49.529999,50.130001,1028500,50.130001
"62",50.290001,50.310001,49.48,49.580002,1053500,49.580002
"63",49.669998,50.290001,49.549999,50.259998,954600,50.259998
"64",50.599998,50.939999,49.799999,50.16,1092100,50.16
"65",50.080002,50.540001,49.98,50.119999,699500,50.119999
"66",50.27,51.240002,50.169998,51.18,865500,51.18
"67",51.040001,51.599998,51.040001,51.080002,940700,51.080002
"68",50.869999,51.52,50.799999,51.52,567900,51.52
"69",51.32,51.759998,51.09,51.66,669600,51.66
"70",51.84,52,51.369999,51.950001,1309300,51.950001
"71",51.970001,52.740002,51.869999,52.66,825100,52.66
"72",52.57,52.66,51.709999,52.389999,892200,52.389999
"73",52.349998,53.369999,52.310001,53.34,1499600,53.34
"74",52.889999,53.5,52.59,52.73,915800,52.73
"75",53.299999,53.540001,52.900002,53.470001,1032800,53.470001
"76",53.310001,53.330002,52.709999,52.990002,862700,52.990002
"77",53.380001,54,52.740002,53.900002,1365600,53.900002
"78",53.639999,54.189999,53.630001,54.07,690100,54.07
"79",53.880001,53.889999,52.619999,53.200001,1539700,53.200001
"80",53.669998,54.349998,53.139999,53.360001,1450600,53.360001
"81",53.27,53.77,52.880001,53.389999,1055300,53.389999
"82",53.779999,54.419998,53.57,54.060001,950000,54.060001
"83",53.830002,54.18,53.52,53.650002,1104900,53.650002
"84",53.919998,54,53.34,53.799999,712900,53.799999
"85",53.77,54.049999,53.200001,53.490002,908900,53.490002
"86",53.369999,53.450001,52.709999,52.849998,1157000,52.849998
"87",52.73,53.450001,52.400002,53.360001,723100,53.360001
"88",53.439999,53.529999,52.75,52.84,1061000,52.84
"89",52.790001,53.419998,52.459999,53.259998,1488500,53.259998
"90",53.59,53.790001,53.02,53.689999,1331800,53.689999
"91",53.529999,53.709999,52.990002,53.119999,715600,53.119999
"92",52.799999,53.330002,52.610001,53.009998,1210900,53.009998
"93",53.169998,53.990002,52.970001,53.73,900200,53.73
"94",53.490002,53.959999,53.040001,53.639999,917600,53.639999
"95",53.630001,54.060001,53.310001,54.02,826700,54.02
"96",54.25,54.84,54.209999,54.599998,1097400,54.599998
"97",54.43,54.82,53.93,54.349998,1029600,54.349998
"98",53.91,54.43,53.419998,54.400002,1026700,54.400002
"99",55,57.59,54.790001,57.119999,2617500,57.119999
"100",57.099998,58.599998,56.869999,58.5,1769200,58.5
"101",58.650002,58.82,57.369999,57.650002,1567700,57.650002
"102",57.630001,57.860001,57.040001,57.169998,1505300,57.169998
"103",57.119999,57.75,56.93,57.509998,1234000,57.509998
"104",58.09,58.419998,57.540001,58.200001,1222500,58.200001
"105",58.209999,58.790001,58.130001,58.43,676400,58.43
"106",58.330002,59.040001,58.209999,58.709999,531300,58.709999
"107",58.880001,58.919998,57.869999,58.290001,580700,58.290001
"108",58.380001,59.150002,58.099998,59.150002,739800,59.150002
"109",59,60.82,58.639999,60.360001,2043700,60.360001
"110",59.880001,60.25,59.009998,59.630001,1102300,59.630001
