"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"1",58.84,60.73,58.84,60.580002,3891900,54.400751
"2",59.669998,61.330002,59.630001,61.25,3648300,55.002409
"3",61.669998,61.689999,60.119999,60.200001,3723000,54.059511
"4",60.84,62.009998,60.200001,61.959999,4289200,55.639987
"5",61.509998,62.830002,61.459999,62.349998,3366300,55.990206
"6",62.380001,62.490002,61.310001,62.189999,2891900,55.846526
"7",62.450001,62.950001,61.93,62.779999,4931000,56.376345
"8",63.689999,63.810001,61.529999,61.869999,3327300,55.559167
"9",62.009998,62.110001,60.52,60.630001,3664800,54.445651
"10",60.630001,61.43,60.279999,60.709999,3348300,54.517489
"11",60.110001,60.41,58.889999,59.07,3909400,53.044772
"12",59.880001,61.220001,59.490002,61.029999,4655600,54.804848
"13",61.23,61.299999,59.740002,59.830002,3066500,53.727253
"14",58.970001,59.59,57.259998,57.580002,5042000,51.706756
"15",57.400002,58.220001,56.299999,56.5,3691300,50.736916
"16",56.5,57.389999,54.529999,56.32,5283900,50.575276
"17",56.700001,56.959999,55.279999,55.669998,3034100,49.991576
"18",56.689999,57.369999,55.990002,56.740002,4127900,50.952437
"19",57.310001,61.23,57.029999,61.150002,8428900,54.91261
"20",61.349998,61.599998,60.060001,61.139999,4902900,54.903628
"21",61.040001,62.049999,60.759998,61.889999,3836500,55.577127
"22",61.639999,61.919998,60.639999,61.490002,2238800,55.307292
"23",62.380001,62.990002,61.990002,62.740002,3465000,56.431607
"24",62.220001,62.220001,60.299999,61.290001,5863100,55.127401
"25",61.360001,61.529999,59.240002,60.880001,3487300,54.758626
"26",59.970001,60.419998,57.889999,58.23,5482800,52.375077
"27",58.43,58.549999,56.709999,57.970001,4397700,52.141221
"28",57.16,59.029999,56.709999,58.939999,5042000,53.013687
"29",60,60.080002,58.060001,58.540001,5534700,52.653909
"30",59.84,61.099998,59.5,59.779999,6205100,53.769227
"31",59.459999,61.5,59.02,61.02,3771400,54.884549
"32",61.169998,62.27,60.5,61.849998,2995400,55.631092
"33",62,62.740002,61.27,61.299999,3473100,55.136394
"34",60.91,61.450001,58.93,59.630001,5685300,53.634311
"35",60.720001,60.939999,58.91,59.599998,3289200,53.607325
"36",58.98,59.84,58.669998,59.389999,2326600,53.418441
"37",60.209999,61,59.470001,60.959999,3153000,54.83058
"38",60.689999,60.82,59.950001,60.349998,2688600,54.281914
"39",60.450001,60.5,59.77,60.330002,3008500,54.263928
"40",59.849998,60.360001,59.5,60.169998,2984600,54.120013
"41",59.189999,59.48,57.68,58.830002,3957700,52.914751
"42",59.18,59.209999,57.639999,58.02,4955000,52.186193
"43",57.279999,59.200001,57.279999,58.709999,4110600,52.806814
"44",57.610001,58.150002,56.639999,56.75,5081600,51.043889
"45",55.740002,56.93,55.740002,56.09,4220000,50.450251
"46",56.150002,56.450001,55.02,55.09,4700500,49.550799
"47",54.810001,55.779999,54.709999,55.639999,2822900,50.045497
"48",56.240002,56.360001,55.279999,55.419998,5436900,49.847617
"49",55.540001,56.360001,55.02,56.259998,4148700,50.603156
"50",55.93,56.330002,54.259998,54.290001,4463000,48.831239
"51",54.27,54.349998,52.48,52.73,7096800,47.428093
"52",53.299999,53.5,52.130001,52.150002,4843800,46.906412
"53",51.48,51.73,50.490002,50.560001,7631000,45.476284
"54",50.240002,50.740002,49.43,50.540001,6213900,45.458294
"55",50.650002,51.880001,50.490002,50.529999,8426600,45.449298
"56",50.82,52.060001,50.200001,51.970001,4797400,46.744511
"57",51.560001,51.669998,50.310001,50.360001,2738100,45.296393
"58",50.389999,51.48,50.099998,50.990002,3758400,45.863048
"59",51.880001,53.439999,51.41,53.189999,6432000,47.84184
"60",53.09,54.16,53,54.110001,3942000,48.669337
"61",54.68,55.169998,54.16,54.93,3447400,49.406887
"62",54.43,54.43,52.849998,52.98,3543900,47.652956
"63",52.93,54.299999,52.68,53.939999,2807700,48.516428
"64",54.77,55.27,54,54.700001,3554200,49.200014
"65",54.73,55.34,54.400002,54.759998,2487400,49.253979
"66",55.740002,57.380001,55.740002,56.34,4368500,50.675114
"67",56.060001,56.150002,54.82,55.279999,3986700,49.721694
"68",54.860001,54.970001,53.66,54.830002,4044000,49.316943
"69",54.759998,54.919998,53.84,54.470001,2378100,48.99314
"70",54.759998,55.110001,53.790001,54.349998,3378600,48.885204
"71",54.560001,54.619999,53.830002,53.98,5667300,48.552407
"72",54.290001,54.630001,52.540001,52.549999,8350700,47.266191
"73",52.330002,52.580002,50.790001,51.27,11254300,46.114894
"74",50.849998,52.5,50.75,51.43,8654800,46.258806
"75",52.240002,53.119999,51.5,53.080002,6342900,47.742903
"76",52.939999,52.950001,51.41,51.470001,4718200,46.294785
