"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"1",59.630001,60.970001,59.630001,60.849998,1422600,55.612168
"2",60.07,61.380001,59.830002,61.060001,1410300,55.804094
"3",61.990002,62.540001,60.689999,60.889999,1392800,55.648725
"4",61.82,63.549999,61.540001,63.470001,1527600,58.006646
"5",62.880001,63.200001,61.310001,61.740002,2264000,56.425561
"6",62.200001,62.52,60.68,61.5,1669400,56.206218
"7",61.66,61.84,60.669998,60.860001,2057800,55.621309
"8",61.860001,62.18,60.650002,61.029999,2246700,55.776674
"9",60.98,61.209999,58.43,58.529999,3064600,53.491868
"10",58.610001,59.369999,57.630001,58.639999,1495200,53.5924
"11",58.299999,58.619999,56.599998,56.639999,2328800,51.764556
"12",56.5,58.259998,56.220001,58.209999,3453600,53.199413
"13",58.310001,58.880001,57.57,57.990002,1909500,52.998353
"14",56.84,56.93,55.18,56.16,3138400,51.325873
"15",55.919998,56.98,55.34,55.459999,2290600,50.686127
"16",55.700001,55.93,54.259998,55.23,1725700,50.475925
"17",55.439999,55.779999,54.599998,55.02,1495900,50.284003
"18",55.790001,56.419998,54.400002,54.799999,1894100,50.082939
"19",55.139999,56.959999,54.889999,56.869999,3077000,51.974757
"20",57.400002,57.639999,56.290001,57.27,2260300,52.340328
"21",57.34,57.610001,56.75,57.32,2469100,52.386023
"22",56.970001,57.220001,56.099998,56.439999,1536100,51.581771
"23",57.360001,58.630001,57.119999,58.27,2530500,53.25425
"24",57.91,57.939999,56.950001,57.400002,2234700,52.459139
"25",57.450001,58.18,57.049999,58.080002,2172700,53.080606
"26",57.610001,57.73,56.110001,56.259998,1650600,51.417264
"27",56.52,56.98,56.09,56.880001,1417400,51.983899
"28",55.779999,58.09,55.630001,57.970001,1692600,52.980074
"29",58.66,59.799999,57.84,58.290001,2271000,53.272529
"30",59.349998,60.709999,59.209999,60.599998,2012200,55.383687
"31",60.330002,62.209999,60.119999,62.189999,1786100,56.836823
"32",62.130001,62.66,61.560001,62.360001,2132800,56.992192
"33",62.919998,62.93,60.740002,61.09,2112100,55.83151
"34",60.98,61.990002,60.950001,61.810001,2410900,56.489536
"35",62.389999,63.290001,60.91,61.560001,1717500,56.261055
"36",61.099998,62.389999,60.200001,62.119999,1931500,56.772849
"37",63.360001,64.309998,62.68,63.849998,2127500,58.353934
"38",64.139999,64.68,62.32,64.18,3248900,58.65553
"39",63.669998,64.889999,63.02,64.440002,1626600,58.893152
"40",63.98,65.489998,63.790001,65.389999,1606300,59.761375
"41",64.360001,65.669998,64.360001,65.480003,1789800,59.843632
"42",65.830002,65.919998,64.669998,65.309998,1930200,59.68826
"43",64,65.139999,63.84,65.040001,1795700,59.441504
"44",62.75,63.810001,62.099998,62.349998,1873100,56.983051
"45",61.099998,62.919998,61.060001,62.830002,2016300,57.421737
"46",62.669998,63.810001,62.48,63.52,1906900,58.052342
"47",62.990002,63.470001,62.060001,63.400002,1820700,57.942672
"48",63.950001,65.989998,63.93,65.510002,2161000,59.871049
"49",65.419998,66.25,64.910004,65.870003,1850800,60.200061
"50",64.75,64.900002,63.41,63.799999,3335500,58.548228
"51",63.23,63.849998,62.610001,63.23,1955100,58.025149
"52",63.689999,64.410004,61.91,61.98,1835100,56.878044
"53",60.84,61.150002,60.259998,60.299999,2633100,55.336335
"54",59.560001,60.18,58.709999,59.66,2909400,54.749018
"55",59.970001,60.619999,59.459999,59.849998,2978200,54.923376
"56",60.52,60.93,59.290001,60.689999,1879200,55.694231
"57",60.59,60.93,59.34,59.360001,950100,54.473713
"58",58.900002,59.849998,58.720001,59.16,1718400,54.290176
"59",60.189999,62.310001,60.189999,62.200001,1813700,57.079936
"60",62.529999,63.779999,62.299999,63.700001,2028600,58.456461
"61",64.839996,65.480003,64.010002,64.970001,1352700,59.62192
"62",64.290001,64.699997,64.010002,64.150002,1001000,58.86942
"63",64.32,65.589996,64.25,65.040001,979900,59.686158
"64",66.029999,66.029999,64.620003,64.959999,769600,59.612741
"65",65.300003,65.800003,64.949997,65.050003,1168200,59.695337
"66",66.099998,67.889999,65.959999,67.75,2122500,62.17308
"67",67.639999,67.690002,66.970001,66.980003,1328300,61.466467
"68",66.639999,67.339996,66.209999,67.209999,979000,61.67753
"69",66.980003,67.349998,66.699997,67.220001,951100,61.686709
"70",67.760002,68.830002,67.089996,68.529999,1644100,62.888872
"71",68.769997,70,68.230003,69.839996,1054300,64.091036
"72",69.550003,70.300003,69.239998,69.459999,1574200,63.742319
"73",69.459999,70.099998,69.040001,69.379997,1723200,63.668902
"74",68.57,68.699997,67.550003,67.760002,1446400,62.182259
"75",69.059998,70.209999,68.830002,69.879997,1202000,64.127744
"76",69.68,69.940002,69.300003,69.419998,824800,63.70561
"77",69.629997,70.339996,68.57,70.110001,871900,64.338815
"78",69.639999,71.129997,69.529999,70.449997,2499000,64.650824
"79",70.800003,72.120003,69.790001,70.059998,1518600,64.292928
"80",70.559998,70.910004,69.330002,70.410004,1518100,64.614123
"81",69.980003,70.370003,67.519997,68.279999,2231100,62.659451
"82",69.230003,71.650002,69.029999,71.019997,1771400,65.173903
"83",70.720001,71.269997,69.639999,70.190002,1595800,64.412231
"84",70.57,70.879997,69.959999,70.709999,1333500,64.889423
"85",70.730003,71.5,69.959999,71.18,887900,65.320736
"86",70.650002,71.400002,69.910004,70.940002,777500,65.100494
"87",70.889999,70.919998,69.360001,70.529999,1578900,64.72424
"88",71.139999,72.410004,70.879997,71.790001,1204700,65.880524
"89",71.459999,71.760002,70.75,71.169998,979800,65.311557
"90",72.019997,72.019997,70.449997,71.029999,1252200,65.183082
"91",71.209999,72.639999,71.110001,72.419998,1942400,66.458662
"92",78.260002,78.709999,74.230003,75.080002,5879600,68.899704
"93",75.559998,76.410004,75.019997,75.489998,2616200,69.275951
"94",76.050003,77.25,74.769997,75.949997,1906600,69.698085
