"","stock_data$NWSA.Open","stock_data$NWSA.High","stock_data$NWSA.Low","stock_data$NWSA.Close","stock_data$NWSA.Volume","stock_data$NWSA.Adjusted"
"1",15.28,16.370001,14.85,15.25,101301100,15.25
"2",14.79,16.209999,14.39,15.93,276353500,15.93
"3",15.94,16.469999,15.49,15.7,129286500,15.7
"4",15.89,17.26,15.69,16.059999,97208500,16.059999
"5",16.049999,17.77,15.51,17.6,158567700,17.6
"6",17.620001,17.969999,16.719999,17.959999,86457200,17.959999
"7",17.92,18.09,16.540001,18.02,65926200,18.02
"8",18.049999,18.17,15.95,15.96,79722500,15.96
"9",16,18.4,15.44,18.33,79473800,18.33
"10",18.190001,18.530001,16.99,17.219999,54487200,17.219999
"11",17.34,17.540001,16.32,17.02,46989500,17.02
"12",17.209999,18.18,16.66,17.059999,58106800,17.059999
"13",17.1,18.120001,16.92,17.940001,78328600,17.940001
"14",18.02,18.41,16.719999,17.65,62503800,17.65
"15",17.629999,17.879999,16.33,17.629999,76215300,17.629999
"16",17.65,17.799999,16.33,16.35,60045800,16.35
"17",16.27,16.34,14.28,15.48,114708200,15.48
"18",15.77,15.91,14.68,15.52,103972100,15.52
"19",15.67,15.93,14.59,15.69,76827200,15.69
"20",15.82,15.91,14.68,14.89,60601700,14.89
"21",14.94,17.549999,14.71,17.27,62613700,17.27
"22",17.33,17.52,15.98,16.01,58477400,16.01
"23",16.030001,16.389999,15.41,15.78,56409100,15.78
"24",15.9,16.27,14.82,15.15,76687400,15.15
"25",15.2,15.47,14.54,14.65,16603400,14.65
