"","stock_data$AMGN.Open","stock_data$AMGN.High","stock_data$AMGN.Low","stock_data$AMGN.Close","stock_data$AMGN.Volume","stock_data$AMGN.Adjusted"
"1",53.610001,58.32,52.599998,52.599998,128123700,48.694989
"2",52.59,55.060001,50.560001,54.529999,128291300,50.481706
"3",55.25,56.130001,50.259998,51.040001,109208600,47.250805
"4",51.610001,56.84,51.279999,55.110001,110030600,51.018649
"5",55.57,58.740002,54.16,57.189999,128032300,52.944229
"6",57.02,57.950001,52.189999,52.689999,122791300,48.778307
"7",53.32,57.98,52.98,54.900002,159481100,50.82424
"8",55.200001,58.189999,54.849998,55.080002,120211100,50.990877
"9",55.23,55.880001,50.610001,51.330002,122824700,47.519276
"10",52.169998,54.700001,51.34,53.450001,144456600,49.481887
"11",53.939999,57.290001,52.759998,56.849998,162997100,52.62947
"12",56.98,61.529999,56.669998,60.540001,127535000,56.045528
"13",60.549999,60.790001,56.73,58.349998,113874400,54.01811
"14",58.439999,58.439999,53.049999,54.700001,109669200,50.639087
"15",55.02,55.610001,47.66,55.400002,204584100,51.566943
"16",55.830002,57.84,52.5,54.959999,125409800,51.157384
"17",54.66,59.049999,52.849998,57.27,118046700,53.307559
"18",56.419998,58.610001,54.59,57.91,177258600,54.167834
"19",57.700001,65,56,64.209999,219879200,60.060725
"20",64.949997,69.629997,63.299999,67.93,139168700,63.540338
"21",68.459999,70,66.349998,68.010002,115069400,63.956983
"22",68.209999,68.93,65.800003,67.970001,90869500,63.919366
"23",67.57,72,65.370003,71.110001,80200200,66.872239
"24",70.830002,71.25,67.989998,69.519997,92579700,65.71121
"25",69.010002,73.75,67.610001,72.910004,108261500,68.915489
"26",73.029999,84.389999,72.949997,82.599998,104905000,78.074599
"27",83.419998,85.279999,80.339996,83.919998,81132400,79.671076
"28",83.800003,85.279999,80.599998,84.290001,91635700,80.022345
"29",84.5,89.949997,83.980003,86.489998,83711200,82.110955
"30",86.970001,89.080002,82.919998,88.800003,89029600,84.660384
"31",88.919998,90.809998,84.559998,86.199997,73217900,82.181583
"32",87.360001,89.580002,81.559998,85.459999,146228200,81.476082
"33",86.169998,93.419998,82.919998,91.550003,113010700,87.757534
"34",91.160004,102.620003,90.349998,102.510002,85096100,98.263514
"35",102.620003,114.949997,101.699997,104.209999,101868500,99.893089
"36",105.050003,109.559998,100.389999,100.529999,70309000,96.79113
"37",100.610001,102.290001,94.150002,98.660004,74154400,94.990683
"38",100.199997,111.300003,95.050003,108.290001,67224200,104.262526
"39",109.599998,116.25,103.309998,108.940002,74887900,105.347405
"40",110.529999,117.910004,109.989998,111.919998,62882800,108.229127
"41",111.989998,118.959999,105.760002,116.139999,68493200,112.309962
"42",117.07,119.699997,110.650002,114.080002,63440000,110.77796
"43",114.290001,115.949997,109.709999,114.080002,58493700,110.77796
"44",114.360001,124.459999,113.120003,118.949997,75029900,115.506993
"45",119.68,126.949997,114.57,124.019997,63283800,121.044013
"46",122.889999,128.960007,118.559998,123.339996,74142800,120.38033
"47",123.669998,127.25,108.199997,111.75,100098000,109.068448
"48",111.379997,116.57,109.410004,115.989998,66180100,113.828161
"49",116.720001,121,115.300003,118.370003,54503800,116.163807
"50",119.389999,131.240005,114.93,127.389999,70786600,125.015688
"51",126.169998,139.729996,124.760002,139.380005,67116800,137.440706
"52",139.619995,144.460007,135.630005,140.460007,62112600,138.505681
"53",140.389999,164.649994,127.669998,162.179993,124319200,159.923461
"54",162.080002,167.350006,156.619995,165.309998,63212400,163.632798
"55",165.119995,173.139999,154.360001,159.289993,76999300,157.673872
"56",160.160004,162.759995,151.529999,152.259995,73076900,150.715198
"57",153.410004,159.399994,147.419998,157.720001,68392500,156.94634
"58",159.289993,172.360001,152.289993,159.850006,74078100,159.065897
"59",159.369995,173.600006,154.600006,157.910004,71938600,157.13541
"60",159.5,165.589996,155.580002,156.259995,63300000,156.259995
"61",157.589996,159.399994,150.850006,155.550003,25575300,155.550003
