"","stock_data$IRM.Open","stock_data$IRM.High","stock_data$IRM.Low","stock_data$IRM.Close","stock_data$IRM.Volume","stock_data$IRM.Adjusted"
"1",23.630003,25.09,22.439999,22.459995,23746700,15.024055
"2",22.420003,25.809995,21.960001,23.670005,26944700,15.833461
"3",23.929999,24.409996,20.090003,20.280003,36493500,13.565804
"4",20.500005,22.539998,20.149999,22.34,107913800,14.988715
"5",22.470002,22.999998,19.929997,21.789998,83025500,14.619699
"6",21.83,23.250005,21.390004,22.209998,33538000,14.901492
"7",22.499996,25.42,22.489998,25.009997,37843500,16.906641
"8",25.159994,25.749998,24.280005,24.39,30924600,16.487527
"9",24.530001,27.159996,24.449998,25.999995,37914600,17.575875
"10",26.089995,31.53,24.980004,31.230005,76546100,21.246646
"11",31.230005,35.499997,31.180006,31.850001,98017800,21.668446
"12",31.879994,34.310005,31.399998,34.009997,42059600,23.137952
"13",33.830007,34.169994,31.829995,34.090001,37229200,23.367601
"14",34.049999,35.789995,31.02,31.629999,44850800,21.681349
"15",31.879994,32.900007,27.680006,32.540004,67066200,22.305128
"16",32.469997,34.770007,30.379995,31.62,36049400,21.83605
"17",31.349997,33.700005,28.829998,30.929999,53872000,21.359551
"18",29.999999,30.630002,28.340004,30.369998,46749200,20.972827
"19",30.41,31.159998,29.030007,30.799995,38059700,21.442921
"20",31.2,32.239998,30.670004,30.820001,21631100,21.456849
"21",31.060001,32.199997,28.990005,31.050002,30416300,21.616975
"22",31.079997,31.44,28.350003,28.799995,41809600,20.223668
"23",28.739998,30.749997,28.490001,30.369998,37800800,21.326141
"24",30.360002,31.819998,28.010006,28.350003,44446400,19.907678
"25",27.999997,33.499997,27.099999,32.960004,58344200,23.334643
"26",32.900007,33.050004,30.910004,32.210004,27383700,22.803666
"27",32.299994,33.810001,31.53,32.799997,25324400,23.221363
"28",32.730003,34.180001,32.060006,34.109996,24730800,24.34326
"29",34.139999,37.699997,33.179996,34.600001,33941000,27.682261
"30",34.469999,35.480003,31.389999,31.600004,37256400,25.282068
"31",31.779997,31.980003,30.5,31.050002,33448500,25.058608
"32",31.449997,34.65,31.449997,34.209996,26276700,27.60885
"33",34.320002,35.160002,33.359998,34.500004,25990100,27.842899
"34",34.37,36.669999,34.230002,36.310007,22542000,29.523363
"35",36.249997,37.870001,35.630001,37.860004,19975700,30.783653
"36",37.789997,39.709996,35.819998,35.839996,22732500,29.141201
"37",35.860002,35.889996,25.910005,26.610005,67649800,21.85036
"38",26.639999,29.080005,26.589999,27.799999,28922000,22.827503
"39",27.460002,28.540002,25.719995,25.799999,29002900,21.185237
"40",25.949996,29.119997,25.529996,27.019996,40144300,22.397877
"41",27.000002,27.959995,25.030003,26.54,38239100,21.999991
"42",26.509995,30.699998,25.519999,28.120002,44269500,23.309713
"43",28.120002,30.799995,27.550004,30.350003,30612600,25.38596
"44",30.260002,30.480005,26.309999,26.409998,60541500,22.090382
"45",26.480003,29.190001,25.749998,27.199998,35802700,22.75117
"46",26.900003,28.559996,26.620003,27.57,30430800,23.286332
"47",27.669997,28.78,25.949996,28.440003,36803700,24.021159
"48",28.430004,31.150001,26.700007,31.140005,41170300,26.30165
"49",31.140005,36.000003,29.62,35.45,55922200,30.211732
"50",35.409997,35.58,33.49,33.509996,36056000,28.558392
"51",33.560005,36.330001,32.600001,35.979997,27197900,30.663414
"52",36.029993,37.099994,31.17,32.650002,51788000,31.157581
"53",32.560001,36.330002,31.110001,36.07,46374900,34.421252
"54",36.049999,38.5,35.880001,38.009998,58101900,36.518015
"55",37.880001,40.41,36.43,38.66,41795100,37.601411
"56",38.950001,41.119999,38.59,39.84,28561400,38.749101
"57",39.849998,41.529999,35.84,36.75,26815400,35.743711
"58",36.669998,38.91,35.599998,36.48,35103600,35.937651
"59",36.5,38.490002,34.290001,34.490002,34440500,33.977239
"60",34.5,37.73,33.880001,36.470001,33009800,35.927801
"61",36.490002,37.02,31.379999,31.85,19135300,31.85
