"","stock_data$PSA.Open","stock_data$PSA.High","stock_data$PSA.Low","stock_data$PSA.Close","stock_data$PSA.Volume","stock_data$PSA.Adjusted"
"1",88.989998,95,87.589996,87.910004,24252200,74.832274
"2",88.830002,100.400002,85.040001,98.120003,26540300,83.523406
"3",99.300003,102.43,95.260002,98.019997,21310700,83.438277
"4",99.220001,104.349998,96.57,97.040001,25145800,83.256039
"5",97.75,104,96.120003,99.220001,21224200,85.126383
"6",100,106.120003,94.599998,96.599998,20894000,82.878536
"7",97.959999,102.349998,96.709999,101.419998,18392700,87.712788
"8",102.190002,109.029999,99.959999,108.980003,13819900,94.251036
"9",109.519997,113.050003,108.129997,112.25,14807100,97.079083
"10",112.809998,113.360001,105.870003,110.910004,17877500,96.620085
"11",111.559998,118.879997,107.209999,117.309998,12830600,102.195487
"12",117.699997,120,112.779999,118.339996,14657700,103.092779
"13",117.980003,117.980003,107.839996,114.010002,17554000,100.168651
"14",114.199997,123.68,113.949997,119.629997,13707400,105.106352
"15",120.620003,124.260002,101.769997,123.730003,31839300,108.708598
"16",123.879997,124.809998,111.190002,111.349998,23025100,98.607958
"17",110.199997,132.199997,103.419998,129.050003,22967200,114.28251
"18",126.760002,132.059998,121.389999,131.899994,21183400,116.80637
"19",131.429993,136.669998,124.660004,134.460007,15681800,119.948836
"20",136.699997,138.979996,130.639999,138.860001,16062900,123.873974
"21",139.570007,141.479996,133.779999,134.070007,15744000,119.600926
"22",134,138.880005,129.039993,138.169998,22070300,124.304455
"23",137.800003,144.509995,134.119995,143.259995,12491400,128.883663
"24",143.240005,146.490005,129.770004,133.470001,16519300,120.076109
"25",131.309998,144.419998,131.259995,144.410004,13700100,130.95678
"26",144.270004,150.350006,142.509995,148.949997,14404800,135.073828
"27",149.350006,152.679993,141.029999,145.559998,12905400,131.999641
"28",145.160004,149.839996,137.860001,139.169998,14099400,127.157626
"29",139.75,141.039993,135.070007,138.630005,10771000,126.664242
"30",139.210007,148.169998,138.649994,140.639999,18039900,128.500745
"31",141.089996,146.75,138.649994,144.960007,13169100,133.479541
"32",146.580002,154.419998,144.350006,153.929993,12938000,141.739127
"33",154.199997,157.949997,149.789993,151.210007,14669400,139.234557
"34",150.940002,154.619995,146.119995,152.320007,13735200,141.431559
"35",152.179993,165.330002,151.110001,165,11413100,153.205135
"36",163.809998,168.660004,151.580002,151.800003,15281700,140.948727
"37",152.229996,155.899994,145.039993,153.330002,16208300,143.536091
"38",153.630005,163.740005,149.460007,159.220001,11586500,149.049868
"39",159.830002,164.259995,151.179993,152.669998,12289700,142.918245
"40",153.919998,168.300003,150.460007,160.550003,11831900,151.494437
"41",160.990005,174.259995,160.25,166.970001,12318600,157.552326
"42",168.009995,176.679993,152.399994,152.699997,13590600,144.087198
"43",152.960007,155.899994,147.139999,150.520004,15825900,143.327247
"44",150.490005,158.729996,148.039993,157.589996,14267800,150.059392
"45",157.350006,169.600006,155,169,15157200,160.924156
"46",168.199997,172.110001,164.649994,168.490005,15699900,161.788293
"47",168.690002,176.720001,167.410004,175.509995,12642200,168.529061
"48",175.270004,176.490005,168.289993,172.380005,14279300,165.523567
"49",172.210007,175,167.800003,171.350006,12238500,165.887936
"50",171.850006,175.860001,169.529999,171.610001,10411700,166.139643
"51",171.820007,178.259995,170.839996,175.179993,9786000,169.595836
"52",175.5,177.130005,162.339996,165.839996,13068400,161.866501
"53",165.729996,184.460007,165.050003,184.339996,16022300,179.923244
"54",184.320007,190.190002,183.199997,187.630005,11202700,183.134425
"55",186.970001,190,178.419998,184.850006,12614900,181.791862
"56",185.350006,206.919998,185.050003,200.839996,12318000,197.517315
"57",201.009995,206.809998,195.380005,197.220001,13251800,193.957208
"58",195.949997,202.809998,185.199997,197.139999,15475400,195.350017
"59",197.399994,199.929993,186.399994,187.910004,11172800,186.203827
"60",188.360001,200.600006,186.270004,193.539993,14851200,191.782698
"61",193.460007,196.669998,185.669998,187.229996,5313800,185.529993
