"","stock_data$EXPE.Open","stock_data$EXPE.High","stock_data$EXPE.Low","stock_data$EXPE.Close","stock_data$EXPE.Volume","stock_data$EXPE.Adjusted"
"1",20.129999,21.809999,18.690001,18.780001,41127800,26.330415
"2",18.74,23.08,18.299999,22.68,64525100,31.798392
"3",22.93,24.969999,22.299999,22.860001,60914200,32.146353
"4",23.469999,29.85,23.299999,28.23,54763200,39.697791
"5",28.65,29.5,26.52,28.950001,51873600,40.710276
"6",28.98,29.25,25.030001,26.33,50145200,37.126614
"7",27.16,27.6,24.84,25.09,39454100,35.378153
"8",25.15,27.91,23.76,25.16,58615600,35.476856
"9",25.32,26.059999,19.84,19.860001,80048100,28.003592
"10",20.02,22.84,19.610001,22.66,90376100,32.055614
"11",22.74,25.75,22,25.02,85894400,35.394152
"12",25.6,28.15,24.26,28.01,56824300,39.725546
"13",27.690001,29.139999,26.67,28.99,52398900,41.115443
"14",28.959999,32.889999,28.6,31.690001,48746000,44.944754
"15",31.690001,31.85,26.209999,30.309999,67976200,43.096694
"16",30.389999,30.940001,25.74,25.75,56476300,36.612996
"17",25.6,29.4,23.85,26.26,53326800,37.338147
"18",25.620001,28.940001,25.440001,27.82,40587500,39.654757
"19",27.98,30.42,26.879999,29.02,52273500,28.135264
"20",29.75,32.439999,28.02,32.369999,77258200,31.383131
"21",32.43,34.75,31.860001,34.049999,73767400,33.011913
"22",33.959999,35.57,31.43,33.439999,85303100,32.509469
"23",33.25,43.919998,30.969999,42.650002,94493900,41.463187
"24",40.849998,46.490002,39.950001,45.889999,98172800,44.701935
"25",45.169998,50.66,43.91,48.07,81929300,46.825496
"26",48.220001,58.400002,43.439999,56.990002,84641400,55.514565
"27",57.349998,59.5,50.470001,51.360001,67306700,50.154702
"28",51.360001,60.290001,51.049999,57.84,48765900,56.482631
"29",57.869999,60.040001,50.709999,59.150002,69058900,57.761889
"30",59.110001,62.799999,54.959999,61.860001,40377600,60.545921
"31",61.93,61.970001,57.34,61.439999,43174000,60.134841
"32",62.610001,66.860001,61.220001,65.25,36095100,63.863907
"33",65.949997,68.089996,61.490002,63.900002,57106900,62.542587
"34",63.5,66.830002,59.5,60.02,38465800,58.862825
"35",60.490002,65.389999,55.57,55.84,59016500,54.763414
"36",55.970001,61.509998,54.650002,57.509998,73351000,56.525677
"37",57.52,61.080002,54.389999,60.150002,46444800,59.120495
"38",60.32,66.139999,45.75,47.130001,96845400,46.32334
"39",47.599998,52.169998,45.689999,46.759998,86273000,46.101261
"40",47.400002,54.029999,47.009998,51.810001,69053200,51.080122
"41",51.689999,59.889999,47.259998,58.970001,101162000,58.139254
"42",58.98,64.199997,58.099998,63.689999,48099300,62.94742
"43",63.599998,69.760002,61.919998,69.660004,33555700,68.847819
"44",69.080002,72.190002,64.190002,64.980003,47471600,64.222384
"45",65.07,81.779999,62.759998,78.529999,50666000,77.614397
"46",76.449997,78,69.93,72.5,45348600,71.79691
"47",72.68,76.730003,66.93,70.989998,53068100,70.301551
"48",71.300003,74.349998,67.389999,73.300003,50355500,72.737479
"49",73.690002,80.489998,72.220001,78.760002,35410500,78.155576
"50",80,82.360001,77.139999,79.419998,33430800,78.810507
"51",82.18,88.279999,81.860001,85.900002,43521000,85.417018
"52",86.43,89.260002,82.849998,87.620003,33743900,87.127348
"53",87.330002,88.099998,70.910004,84.970001,72245900,84.492247
"54",84.739998,88.739998,82.449997,87.110001,32577900,86.799925
"55",87.25,92.080002,85.260002,85.360001,40537000,85.056154
"56",85.580002,88.760002,81.970001,85.93,36733000,85.624125
"57",86.279999,95,76.339996,91.75,67166600,91.423408
"58",90.330002,96.449997,88.709999,94.129997,30947100,93.980054
"59",93.809998,100.510002,92.599998,94.230003,29059100,94.079901
"60",100.099998,115,97.650002,107.260002,40562700,107.260002
"61",107.419998,109.559998,103.459999,108.169998,12009700,108.169998
