"","stock_data$QCOM.Open","stock_data$QCOM.High","stock_data$QCOM.Low","stock_data$QCOM.Close","stock_data$QCOM.Volume","stock_data$QCOM.Adjusted"
"1",35.16,36.360001,32.73,32.84,286716000,29.911192
"2",32.790001,39.66,31.629999,38.080002,464414400,34.683869
"3",38.330002,40,37.450001,38.299999,351828600,35.059359
"4",38.959999,45.75,38.919998,45.130001,389606700,41.311461
"5",45.509998,45.630001,42.450001,45.16,311684400,41.338921
"6",45.52,49.450001,44.619999,46.82,382881200,43.028929
"7",47.32,50.310001,47.299999,49.490002,226519300,45.482738
"8",49.889999,55,49.59,54.130001,358451100,49.747031
"9",54.299999,59.799999,53.810001,59.580002,281260100,54.934956
"10",59.84,59.84,50.099998,54.830002,423496600,50.555281
"11",55.07,58.459999,51.450001,57.09,294357800,52.639083
"12",57.439999,58.59,55.419998,58.59,244854300,54.229192
"13",58.43,58.950001,52.130001,56.790001,285193300,52.563166
"14",56.790001,59.48,54.060001,54.779999,310773300,50.702767
"15",55.34,55.439999,45.98,51.459999,459187100,47.843908
"16",51.919998,54.299999,47.599998,48.630001,355294800,45.212774
"17",48.209999,55.029999,46.400002,51.599998,332568800,47.97407
"18",49.919998,57.970001,49.779999,54.799999,368909400,51.146735
"19",54.700001,55.73,51.759998,54.700001,231717500,51.053403
"20",55.880001,59.5,54.560001,58.82,260814400,54.89874
"21",59.48,63.810001,58.790001,62.18,267610000,58.234499
"22",62.209999,68.870003,60.93,68.059998,248342900,63.741393
"23",68.25,68.830002,61.259998,63.830002,309262200,59.779803
"24",63.82,64.720001,55.720001,57.310001,287894400,53.90431
"25",55.970001,59.689999,53.41,55.68,302112200,52.371173
"26",55.650002,60.189999,53.09,59.68,253532600,56.13347
"27",60.09,63.34,58.16,61.459999,192029200,57.807691
"28",61.200001,65.449997,60.279999,62.470001,214726500,59.00023
"29",62.73,63.75,57.290001,58.610001,231781400,55.354625
"30",58.709999,63.810001,58.110001,63.619999,266322600,60.086353
"31",63.91,64.720001,59.439999,61.860001,249965500,58.655147
"32",63.580002,67.440002,62.330002,66.019997,267972300,62.599621
"33",66.400002,67.449997,64.32,65.639999,209187100,62.239311
"34",65.339996,68.5,63.400002,66.940002,218642700,63.70628
"35",66.699997,67.650002,61.25,61.599998,327015000,58.62424
"36",61.43,66.669998,61.43,63.48,255376600,60.413422
"37",63.369999,64.040001,59.459999,61.09,301951000,58.461209
"38",61.490002,65.190002,59.02,64.559998,314058800,61.781887
"39",64.779999,67.449997,64.309998,66.279999,221520500,63.762407
"40",66.919998,70.370003,66.519997,67.32,237329200,64.762904
"41",67.400002,69.980003,65.470001,69.489998,189057500,66.850476
"42",69.529999,73.889999,66.25,73.580002,263683800,71.123118
"43",73.529999,74.32,71.68,74.25,173783100,71.770745
"44",73.610001,75.900002,70.980003,74.220001,226240200,71.741748
"45",73.669998,76.75,72.029999,75.290001,174516600,72.77602
"46",74.620003,79.720001,73.040001,78.860001,216723600,76.582825
"47",79.419998,81.660004,76.769997,78.709999,211047700,76.437155
"48",78.529999,80.989998,78.43,80.449997,155682300,78.126908
"49",80.660004,80.790001,77.910004,79.199997,165763200,77.316646
"50",79.349998,81.970001,73.650002,73.720001,218582300,71.966962
"51",73.669998,77.309998,71.82,76.099998,174443900,74.70135
"52",75.919998,77,74.110001,74.769997,169942600,73.395792
"53",74.639999,78.529999,69.360001,78.510002,202993800,77.06706
"54",78.309998,78.529999,67.669998,72.900002,276342500,71.978472
"55",72.459999,75.720001,69.589996,74.330002,200584300,73.390395
"56",74.510002,75.300003,62.389999,62.459999,275051800,61.670441
"57",62.490002,72.57,62.259998,72.510002,243709900,71.593402
"58",71.800003,74.089996,65.68,69.339996,278695100,68.862339
"59",68.470001,71.900002,66.18,68,265601600,67.531573
"60",68.309998,71.32,67.5,69.68,216503600,69.200001
"61",69.510002,70.050003,66.769997,67.309998,73783300,67.309998
