"","stock_data$WYN.Open","stock_data$WYN.High","stock_data$WYN.Low","stock_data$WYN.Close","stock_data$WYN.Volume","stock_data$WYN.Adjusted"
"1",22.82,25,19.98,20.139999,33567900,18.338773
"2",20.110001,25.860001,19.440001,25.530001,68032800,23.246718
"3",26.049999,26.48,22.719999,23.190001,54466600,21.221752
"4",23.59,28.620001,23.4,27.469999,58674400,25.138487
"5",27.719999,30.42,27.09,28.75,56172400,26.309848
"6",29.030001,30.83,27.540001,28.75,50561600,26.419472
"7",29.280001,31.41,29.27,29.959999,38397600,27.531386
"8",30.25,30.799999,28.049999,28.129999,45224100,25.84973
"9",28.379999,32.360001,28.33,31.280001,61719900,28.744386
"10",31.389999,32.189999,29.440001,31.809999,63598500,29.371643
"11",32.119999,34.82,30.5,34.610001,38309700,31.957013
"12",34.91,35.5,33.16,34.810001,36940200,32.284961
"13",34.650002,34.740002,30.389999,33.650002,41237200,31.209105
"14",33.68,36,32.610001,34.59,39558700,32.080918
"15",34.939999,35.099998,24.76,32.48,95539900,30.289125
"16",32.389999,33,28.469999,28.51,65663800,26.586914
"17",28.15,35.450001,26.18,33.669998,55886900,31.398855
"18",32.240002,35.650002,32.16,35.450001,50523300,33.205633
"19",35.41,38.349998,34.060001,37.830002,37462200,35.434954
"20",38.860001,41.209999,36.259998,39.759998,41266200,37.242761
"21",40.16,44.66,40.009998,43.990002,40213600,41.204959
"22",44.259998,46.990002,42.959999,46.509998,35545100,43.789976
"23",46.5,50.82,44.490002,50.34,38436000,47.39599
"24",50.330002,52.169998,46.610001,49.799999,59948300,47.110659
"25",48.889999,52.990002,46.57,52.740002,38106800,49.891893
"26",52.869999,53.560001,47.740002,52.049999,35281700,49.239152
"27",52.57,53.290001,50.27,52.139999,25776500,49.545349
"28",51.950001,54.950001,50.900002,52.48,23538200,49.86843
"29",52.650002,55.41,50.07,50.400002,21606100,47.891939
"30",50.57,52.259998,47.950001,49.09,32727400,46.867613
"31",49.599998,53.610001,49.119999,53.209999,25901900,50.801092
"32",54.27,57.349998,53.939999,55.790001,22288700,53.264293
"33",56.099998,60.509998,55.259998,60.240002,30366300,57.512835
"34",59.799999,64.800003,59.490002,64.480003,23464800,61.845889
"35",64.5,65.300003,59.799999,60.080002,31921600,57.625634
"36",59.830002,65,58.099998,58.119999,35655800,56.013354
"37",58.380001,60.040001,52.84,57.23,32726400,55.155614
"38",57.630001,62.73,56.369999,62.299999,22837400,60.041844
"39",62.830002,64.18,58,59.360001,17786800,57.489889
"40",60.119999,63.889999,59.32,60.970001,13707800,59.049167
"41",60.799999,67.519997,58.529999,66.400002,25022500,64.308098
"42",66.699997,72.379997,65.529999,71.709999,20972400,69.739109
"43",71.68,74.18,69.870003,73.690002,20871100,71.664693
"44",73.389999,75.25,70.489998,70.940002,22413000,68.990275
"45",71.199997,73.349998,66.32,72.879997,31793200,70.87695
"46",71.940002,76.629997,70.360001,73.230003,27378400,71.551916
"47",73.730003,75,69.120003,71.339996,27643600,69.705219
"48",71.339996,74.019997,69.900002,73.93,19150900,72.58697
"49",73.980003,75.989998,72,75.720001,29873800,74.344453
"50",75.800003,78.980003,75.150002,75.550003,19501700,74.177543
"51",75.660004,81.279999,74.779999,80.940002,18047000,79.82024
"52",81.199997,82.940002,79.919998,81.260002,15973500,80.135813
"53",81.230003,81.230003,69.860001,77.669998,33645400,76.595474
"54",77.650002,84.059998,75.959999,83.360001,18921500,82.557858
"55",83,87.120003,81.370003,85.760002,19693300,84.934765
"56",86.260002,88.410004,82.209999,83.790001,16905900,82.98372
"57",83.389999,92.610001,79.550003,91.480003,26077500,90.599725
"58",91.809998,94.349998,87.919998,90.470001,19718800,90.023076
"59",90.040001,92.129997,84.830002,85.400002,20175300,84.978123
"60",85.760002,88.300003,84.510002,84.910004,16910800,84.910004
"61",85.07,86.120003,83.57,85.019997,7548100,85.019997
