"","stock_data$GLW.Open","stock_data$GLW.High","stock_data$GLW.Low","stock_data$GLW.Close","stock_data$GLW.Volume","stock_data$GLW.Adjusted"
"1",17.74,18.75,16.07,16.15,275193800,14.588741
"2",16.059999,18.33,15.68,18.120001,336385200,16.368298
"3",18.73,19.389999,15.45,15.68,389708500,14.208084
"4",16.030001,18.77,15.86,18.280001,320452500,16.564017
"5",18.370001,18.959999,17.73,18.280001,201466600,16.564017
"6",18.610001,19.25,17.15,17.66,269275300,16.045891
"7",18,19.690001,17.790001,19.32,242904500,17.554168
"8",19.43,22.290001,18.93,22.209999,324526300,20.180024
"9",22.33,23.43,21.73,23.059999,318586700,20.999251
"10",23.1,23.219999,20.08,20.629999,308608100,18.786407
"11",20.98,22.049999,19.059999,20.940001,323806200,19.068705
"12",21.08,21.15,19.32,20.15,232988000,18.396279
"13",20.15,20.15,17.200001,18.15,296719600,16.570346
"14",18.33,18.719999,15.66,15.91,340190200,14.525301
"15",16.07,16.15,13.15,15.03,517450100,13.769801
"16",15.07,15.28,11.9,12.36,478205500,11.323669
"17",12.24,15.62,11.51,14.29,455092200,13.091847
"18",13.93,15.75,12.64,13.27,483320700,12.217694
"19",13.17,14.08,12.41,12.98,384634000,11.95069
"20",13.26,14.62,12.52,12.87,422575100,11.849414
"21",12.99,14,12.87,13.04,389908600,12.071779
"22",13.09,14.54,12.7,14.08,425593400,13.034558
"23",14.02,14.53,13.03,14.35,297445600,13.284511
"24",14.28,14.58,12.48,12.99,307999600,12.095761
"25",12.74,13.39,12.17,12.93,279418500,12.039892
"26",12.92,13.14,11.05,11.41,257676100,10.624529
"27",11.43,12.17,10.62,11.99,274982200,11.236755
"28",12.02,13.4,11.75,13.15,257750000,12.32388
"29",13.23,13.96,11.7,11.75,334363000,11.011833
"30",11.8,12.41,10.71,12.23,308381300,11.554862
"31",12.31,13.09,12.1,12.62,248600200,11.923333
"32",12.93,13,11.87,12,381594400,11.337559
"33",12.05,12.99,11.75,12.61,282790700,12.001344
"34",12.47,13.35,12.29,13.33,242758000,12.686591
"35",13.35,14.55,12.64,14.5,334335200,13.800118
"36",14.45,16.43,14.25,15.37,278520200,14.721536
"37",15.42,15.79,13.86,14.23,242411900,13.629632
"38",14.36,15.45,14.1,15.19,225002500,14.54913
"39",15.32,15.51,13.94,14.04,203255700,13.542887
"40",14.06,15.11,13.84,14.59,229662000,14.073414
"41",14.6,18.07,13.82,17.09,415657000,16.484896
"42",17.09,17.34,16.219999,17.08,222141900,16.57432
"43",17.08,17.889999,16.629999,17.82,199688600,17.29241
"44",17.74,19.120001,16.549999,17.209999,273765100,16.70047
"45",17.290001,19.440001,16.9,19.27,236134300,18.796977
"46",18.99,20.99,18.799999,20.82,262554600,20.308928
"47",20.9,21.77,20.17,20.91,244109300,20.396719
"48",20.91,21.68,20.6,21.299999,200966000,20.874507
"49",21.290001,22.200001,20.91,21.950001,154977600,21.511524
"50",22.059999,22.370001,19.57,19.65,173679900,19.257468
"51",19.620001,21.040001,19.559999,20.860001,141932400,20.542345
"52",20.879999,21.42,19.23,19.34,142835600,19.045491
"53",19.27,20.51,17.030001,20.43,224374500,20.118893
"54",20.41,21.110001,20.18,21.02,136434200,20.799859
"55",20.9,23.52,20.379999,22.93,184999300,22.689855
"56",23.030001,25.16,21.889999,23.77,177545300,23.521058
"57",23.870001,25.049999,23.23,24.4,139602700,24.261951
"58",24.32,24.889999,22.25,22.68,177692800,22.551683
"59",22.620001,22.98,20.700001,20.93,210843100,20.811584
"60",21.02,22.049999,20.59,20.92,179421000,20.92
"61",20.98,21.200001,20.309999,21.02,83674800,21.02
