"","stock_data$PCLN.Open","stock_data$PCLN.High","stock_data$PCLN.Low","stock_data$PCLN.Close","stock_data$PCLN.Volume","stock_data$PCLN.Adjusted"
"1",178.899994,199.5,175.660004,176.539993,18537800,176.539993
"2",176.660004,234.449997,173.75,224.399994,27271900,224.399994
"3",226.899994,309.459991,225.339996,291.480011,37198500,291.480011
"4",297.570007,358.23999,294.019989,348.339996,22376600,348.339996
"5",351.600006,383.109985,325,376.809998,24366000,376.809998
"6",381.100006,428.100006,371,394.049988,25271900,394.049988
"7",402.429993,425.980011,392.899994,399.549988,18037600,399.549988
"8",402.25,443.190002,402.25,428.519989,21132400,428.519989
"9",432,469.399994,416,453.880005,23703100,453.880005
"10",450,509,440.809998,506.440002,27839300,506.440002
"11",508.179993,556.27002,500.470001,547.01001,18746900,547.01001
"12",551.820007,561.880005,487.700012,515.190002,26365700,515.190002
"13",514.179993,519.390015,451.75,511.929993,22666800,511.929993
"14",513.390015,552.150024,510,537.650024,16811200,537.650024
"15",547.22998,547.880005,441.549988,537.26001,39675100,537.26001
"16",537.26001,554,449.329987,449.459991,28652600,449.459991
"17",454.350006,526.75,411.26001,507.720001,28040100,507.720001
"18",492.079987,553.330017,456.269989,485.890015,28801200,485.890015
"19",483.869995,498.820007,438.76001,467.709991,18083400,467.709991
"20",475,537.559998,469.279999,529.48999,13670500,529.48999
"21",533.409973,637.880005,522.369995,627.02002,20708300,627.02002
"22",626.030029,736.919983,626,717.5,21290000,717.5
"23",717.26001,774.960022,678.039978,760.820007,28160700,760.820007
"24",760.820007,766.890015,616.909973,625.48999,29153900,625.48999
"25",608.030029,683.369995,603.48999,664.52002,18404600,664.52002
"26",665.47998,695.150024,618.570007,661.73999,20523900,661.73999
"27",666.940002,682.969971,553.419983,604.570007,31119000,604.570007
"28",604.25,649.299988,594.450012,619.070007,16640600,619.070007
"29",620.73999,643.880005,553.969971,573.77002,20102600,573.77002
"30",574.900024,672.440002,568.619995,663.190002,16392500,663.190002
"31",670,679.22998,597.150024,620.390015,11761900,620.390015
"32",637.830017,721.960022,627.669983,685.469971,12607100,685.469971
"33",693.119995,712.5,665.049988,689.109985,13503300,689.109985
"34",689.049988,728.700012,679.710022,688.159973,11082200,688.159973
"35",689.080017,745.23999,677.719971,695.98999,12685800,695.98999
"36",696.559998,847.330017,691.099976,803.929993,19429300,803.929993
"37",805.150024,839.669983,787,826.669983,12583700,826.669983
"38",832,926.400024,831.109985,875.669983,13577700,875.669983
"39",885.73999,994.97998,883.280029,938.530029,15945200,938.530029
"40",949.400024,1019.950012,937.210022,1010.950012,8964200,1010.950012
"41",1008.02002,1098.699951,972.400024,1053.829956,15003300,1053.829956
"42",1056,1198.75,1020.690002,1192.329956,13933100,1192.329956
"43",1196.099976,1198.5,1145,1162.400024,10537200,1162.400024
"44",1159.969971,1214.969971,1113.01001,1144.890015,14193400,1144.890015
"45",1143.829956,1375.410034,1103.900024,1348.839966,18733800,1348.839966
"46",1330.939941,1378.959961,1156.410034,1191.890015,18095500,1191.890015
"47",1203.209961,1276.73999,1107.27002,1157.75,24306600,1157.75
"48",1163.920044,1292.660034,1087.26001,1278.630005,18490400,1278.630005
"49",1281,1286,1183,1203,14883300,1203
"50",1217.699951,1264.5,1197.01001,1242.449951,14899700,1242.449951
"51",1247,1329.900024,1236.660034,1244.310059,16064700,1244.310059
"52",1247.699951,1262.949951,1139.27002,1158.579956,16923200,1158.579956
"53",1154.290039,1206.829956,1017.280029,1206.209961,21213900,1206.209961
"54",1211.689941,1229,1081.390015,1160.189941,16405200,1160.189941
"55",1158.140015,1169.609985,1043.02002,1140.209961,15326500,1140.209961
"56",1144,1149.439941,990.690002,1009.47998,17532600,1009.47998
"57",1012,1264,993.5,1237.47998,18087300,1237.47998
"58",1237.75,1262,1130.859985,1164.150024,13654800,1164.150024
"59",1164,1262.23999,1146.189941,1237.810059,10381300,1237.810059
"60",1249.150024,1280.969971,1166.27002,1172.040039,14225900,1172.040039
"61",1174,1201.439941,1157.140015,1179.939941,4880100,1179.939941
