"","stock_data$WAT.Open","stock_data$WAT.High","stock_data$WAT.Low","stock_data$WAT.Close","stock_data$WAT.Volume","stock_data$WAT.Adjusted"
"1",67.82,72.989998,64.599998,64.699997,15312600,64.699997
"2",64.720001,67.5,61.990002,64.160004,20834900,64.160004
"3",64.800003,67.010002,60.009998,60.52,18823700,60.52
"4",61.380001,72.260002,61.139999,70.779999,14768200,70.779999
"5",71.389999,74.620003,69.589996,74.129997,13434600,74.129997
"6",74.610001,78.910004,74.239998,76.870003,14306900,76.870003
"7",78.059998,81,77.519997,77.709999,13283200,77.709999
"8",78.300003,79.290001,74.269997,76.389999,14915200,76.389999
"9",76.959999,83.790001,74.150002,83.050003,16821000,83.050003
"10",83.32,87.57,79.160004,86.900002,16309700,86.900002
"11",87.690002,100,85.300003,98,12668500,98
"12",98.620003,99.940002,94.860001,98.559998,13697400,98.559998
"13",98.169998,98.349998,90.589996,95.739998,13945400,95.739998
"14",95.980003,99.370003,85.82,87.889999,17915000,87.889999
"15",88.639999,88.650002,71.120003,79.870003,32640500,79.870003
"16",80.080002,84.510002,73.07,75.489998,24258500,75.489998
"17",75,83.68,72.43,80.120003,26521600,80.120003
"18",77.720001,81.589996,72.059998,80,14404500,80
"19",79.669998,81.989998,70.879997,74.050003,14285800,74.050003
"20",76.059998,88.540001,72.980003,86.57,25611800,86.57
"21",87.099998,91.089996,86.730003,89.599998,13799700,89.599998
"22",89.580002,94.419998,87.029999,92.660004,13759700,92.660004
"23",92.690002,94.470001,78,84.110001,17591400,84.110001
"24",83.940002,85.279999,79.440002,79.779999,20391600,79.779999
"25",78.330002,83.110001,75.230003,79.470001,19409400,79.470001
"26",79.470001,80.339996,74.120003,77.480003,16660600,77.480003
"27",77.809998,80.650002,74.360001,80.190002,16601300,80.190002
"28",80.059998,85.919998,78.800003,83.330002,11106500,83.330002
"29",83.650002,85.18,78.330002,81.809998,9963800,81.809998
"30",82,86,80.040001,84.550003,9419600,84.550003
"31",84.730003,89.510002,83.589996,87.120003,9552300,87.120003
"32",88.959999,93.75,85.010002,91.57,11638500,91.57
"33",92.5,93.669998,89.739998,92.720001,7675400,92.720001
"34",92.32,95.410004,91.559998,93.910004,6635400,93.910004
"35",93.849998,96.25,87.849998,92.400002,11832100,92.400002
"36",92.290001,99.660004,92.040001,96.709999,11251500,96.709999
"37",97.089996,102.690002,95.449997,100.050003,9505600,100.050003
"38",100.550003,106,97.849998,100.940002,11584900,100.940002
"39",101.93,103.949997,97.529999,98.849998,8051600,98.849998
"40",100.209999,108.889999,99.410004,106.209999,7597200,106.209999
"41",106.580002,107.129997,98.540001,100.919998,12846700,100.919998
"42",100.849998,102.349998,98.339996,99.529999,6627500,99.529999
"43",99.57,100.849998,94.5,100,10052200,100
"44",100,111,97.900002,108.269997,15139500,108.269997
"45",108.449997,115.059998,104.410004,111.400002,10303100,111.400002
"46",110.699997,114.589996,106.769997,108.410004,9454400,108.410004
"47",108.860001,114.360001,97.900002,98.540001,13761900,98.540001
"48",98.18,105.669998,97.860001,100.160004,16323200,100.160004
"49",100.230003,107.400002,100.110001,104.440002,10180100,104.440002
"50",104.93,108.889999,99.160004,103.440002,10705000,103.440002
"51",103.209999,105.129997,102.080002,103.43,7564800,103.43
"52",103.480003,104.599998,99.080002,99.120003,9711000,99.120003
"53",99.300003,112.400002,93.559998,110.800003,17185600,110.800003
"54",111,117.709999,110.699997,115.900002,8390700,115.900002
"55",115.449997,117.57,110.849998,112.720001,8961100,112.720001
"56",113.57,122.800003,111.769997,119.050003,9724500,119.050003
"57",119,122.25,117.160004,120.379997,6333600,120.379997
"58",120.169998,125.860001,116.830002,124.32,8706600,124.32
"59",124.019997,129.410004,120.790001,125.190002,8704300,125.190002
"60",125.989998,135.899994,125.339996,133.619995,10306300,133.619995
"61",134.039993,135.020004,132.320007,134.820007,3221500,134.820007
