"","stock_data$CTSH.Open","stock_data$CTSH.High","stock_data$CTSH.Low","stock_data$CTSH.Close","stock_data$CTSH.Volume","stock_data$CTSH.Adjusted"
"1",50.84,54.810001,49.830002,50.060001,106252200,25.030001
"2",49.959999,56.080002,48.98,54.560001,144826800,27.280001
"3",55.509998,63.939999,54.689999,57.610001,138122200,28.805
"4",58.639999,65.75,58.57,64.470001,122246200,32.235001
"5",65.269997,68.870003,62.669998,65.190002,113800000,32.595001
"6",66.889999,66.900002,61.259998,64.980003,118758600,32.490002
"7",65.650002,74.790001,65.650002,73.290001,89199000,36.645
"8",74.139999,76.449997,70.650002,72.949997,90624200,36.474998
"9",73.360001,77.739998,73.25,76.870003,94836400,38.435001
"10",77.050003,81.849998,70.529999,81.400002,105667000,40.700001
"11",81.830002,83.230003,76.769997,82.900002,81631800,41.450001
"12",83.449997,83.480003,71.690002,76.040001,130665200,38.02
"13",75.779999,76.360001,64.400002,73.339996,151259000,36.669998
"14",73.480003,77.709999,68.379997,69.870003,85826200,34.935001
"15",70.5,74.489998,53.540001,63.450001,219406400,31.725
"16",64.470001,68.519997,58.150002,62.700001,146124600,31.35
"17",62.299999,77.440002,59.950001,72.75,123778800,36.375
"18",71.720001,71.970001,61.52,67.349998,126553200,33.674999
"19",67.080002,70.839996,62.5,64.309998,96584200,32.154999
"20",66.639999,72.480003,64.919998,71.75,91023000,35.875
"21",72.68,74.190002,69.599998,70.949997,92233800,35.474998
"22",71.449997,78,70.160004,76.949997,81032200,38.474998
"23",76.720001,77.849998,69.970001,73.330002,91272600,36.665001
"24",73.309998,74.169998,55.700001,58.25,243350600,29.125
"25",56.869999,60.91,55.25,60,111224200,30
"26",60.299999,60.549999,53.919998,56.77,99110600,28.385
"27",57.110001,65.650002,55.529999,64.279999,113978000,32.139999
"28",64.309998,71.449997,63.369999,69.889999,102331800,34.945
"29",70.309998,72.730003,65.940002,66.650002,94055400,33.325001
"30",66.879997,68.809998,64.199997,67.230003,106642600,33.615002
"31",67.529999,74.870003,66.32,73.879997,90863200,36.939999
"32",75.459999,79.540001,74.110001,78.18,88120200,39.09
"33",78.959999,79.230003,75.129997,76.769997,75388800,38.384998
"34",76.449997,81.080002,74.029999,76.620003,73514600,38.310001
"35",76.540001,77.889999,61.290001,64.800003,199217600,32.400002
"36",64.459999,68.730003,61.889999,64.650002,214506000,32.325001
"37",64.860001,66.660004,60.919998,62.639999,125786200,31.32
"38",63.400002,74.919998,63.139999,72.389999,115547800,36.195
"39",72.730003,76.080002,70,73.300003,97083000,36.650002
"40",74,84.169998,73.580002,82.120003,90859400,41.060001
"41",81.779999,90.010002,81.239998,86.93,95538400,43.465
"42",87.290001,95.75,86.139999,93.889999,72921200,46.945
"43",93.139999,101.129997,92.589996,100.980003,59057800,50.490002
"44",100.25,101.620003,95.43,96.910004,88516000,48.455002
"45",97.139999,105.300003,89.910004,104.059998,78096000,52.029999
"46",103,108,47.419998,50.599998,83985900,50.599998
"47",50.779999,53.400002,47.27,47.91,71847800,47.91
"48",47.959999,49.669998,45.73,48.610001,79026300,48.610001
"49",48.610001,50.310001,46.779999,48.91,72371000,48.91
"50",49.25,51.380001,48.540001,49.049999,71887300,49.049999
"51",49.119999,50.619999,41.509998,45.73,147005000,45.73
"52",45.990002,46.5,44.009998,44.77,114880500,44.77
"53",44.75,49.110001,42.939999,48.849998,116668000,48.849998
"54",48.98,54.549999,48.400002,53.990002,84919200,53.990002
"55",53.889999,54.889999,50.169998,52.66,82861400,52.66
"56",52.889999,56.619999,50.709999,54.130001,83951400,54.130001
"57",54.41,63.150002,53.330002,62.490002,83946900,62.490002
"58",62.560001,64.690002,60.290001,62.389999,75604800,62.389999
"59",62.450001,63.23,58.380001,58.540001,64057300,58.540001
"60",58.650002,65.580002,58.349998,64.720001,70309300,64.720001
"61",65.050003,65.959999,62.630001,64.849998,19316500,64.849998
