"","stock_data$CPB.Open","stock_data$CPB.High","stock_data$CPB.Low","stock_data$CPB.Close","stock_data$CPB.Volume","stock_data$CPB.Adjusted"
"1",36.91,37.5,35.650002,35.830002,39668600,30.445506
"2",35.639999,36.759998,35.150002,35.900002,54497800,30.740925
"3",36.189999,37.59,35.759998,37.259998,48958500,31.905481
"4",37.450001,37.5,35.32,35.75,61144600,30.61248
"5",35.91,36.849998,35.360001,36.25,43797300,31.279035
"6",36.290001,36.990002,33.439999,33.900002,54092000,29.251292
"7",34.16,35.400002,33.639999,34.75,48865000,30.236338
"8",34.860001,35.5,34.080002,34.139999,39589200,29.70557
"9",34.209999,35,32.66,33.66,46863600,29.287918
"10",33.790001,34.5,33.029999,33.110001,46580500,28.809358
"11",33.25,34.02,32.709999,33.59,39130700,29.481462
"12",33.619999,35.66,33.310001,34.75,53760200,30.499577
"13",34.669998,35.099998,32.950001,34.549999,47592100,30.324039
"14",34.48,35.02,32.799999,33.049999,44366800,29.252765
"15",33.18,33.220001,29.690001,31.870001,89544500,28.208341
"16",31.84,32.880001,29.93,32.369999,51080800,28.650893
"17",32.110001,34,32.060001,33.25,51448100,29.692068
"18",32.860001,34.119999,31.219999,32.599998,52456500,29.11162
"19",32.509998,33.580002,32.080002,33.240002,31836800,29.943203
"20",33.5,33.689999,31.219999,31.700001,47302600,28.555942
"21",31.84,34,31.34,33.32,44090700,30.015267
"22",33.330002,34.040001,32.599998,33.849998,36708000,30.4927
"23",33.75,34.040001,32.939999,33.830002,39346900,30.737088
"24",33.779999,34.580002,31.700001,31.700001,46653300,28.801822
"25",31.48,33.389999,31.32,33.380001,48466900,30.328228
"26",33.299999,33.580002,32.139999,33.110001,42266500,30.346159
"27",33.18,35.599998,32.240002,35.139999,43338100,32.206705
"28",36.220001,36.279999,34.279999,34.82,44924200,31.913417
"29",34.810001,35.560001,34.459999,35.27,32634000,32.593162
"30",35.27,37.16,34.799999,36.75,46194200,33.960836
"31",36.860001,36.93,34.299999,34.889999,37123600,32.763631
"32",35.189999,36.860001,34.84,36.709999,32815200,34.472711
"33",36.860001,41.529999,36.490002,41.16,46107900,38.651507
"34",41.18,45.400002,41.07,45.360001,38702000,42.595539
"35",45.34,46.849998,44.610001,46.41,40488600,43.581546
"36",46.41,48.830002,42.799999,42.810001,41575400,40.200949
"37",42.860001,45.950001,42.32,44.790001,31744000,42.060278
"38",44.919998,47.52,44.099998,46.799999,21418900,44.232895
"39",47.16,48.080002,42.650002,43.18,23240800,40.811462
"40",43.299999,43.389999,40.509998,40.709999,39380200,38.476947
"41",40.560001,43.380001,39.869999,42.57,36378800,40.544438
"42",42.490002,42.919998,38.299999,38.73,42055300,36.887152
"43",38.66,43.700001,38.369999,43.279999,77789600,41.220654
"44",43.080002,43.23,40.540001,41.209999,42644300,39.535746
"45",41.380001,44.439999,39.599998,43.310001,40326100,41.55043
"46",42.93,44.990002,42.849998,44.880001,26226800,43.056645
"47",43.93,46.02,43.880001,45.490002,20177400,43.947448
"48",45.389999,46.060001,41.919998,45.900002,25571900,44.343544
"49",45.860001,46.669998,45.009998,45.810001,19464900,44.256596
"50",45.84,46.23,41.509998,41.59,26226300,40.452942
"51",41.52,44.84,41.389999,44.82,16630800,43.594634
"52",44.75,45.119999,42.209999,42.73,19638500,41.561774
"53",42.509998,44.52,41.150002,44.169998,23224600,43.281568
"54",44.009998,45.709999,43.560001,45.279999,28105000,44.369242
"55",44.990002,45.290001,42.700001,44,38974800,43.114989
"56",44.099998,47.450001,42.900002,45.740002,34128300,45.133336
"57",45.68,48.310001,45.130001,46.59,37425700,45.972061
"58",46.59,47.02,44.450001,46.549999,35830200,45.932591
"59",46.52,47.09,44.599998,44.709999,23823900,44.416756
"60",44.849998,48.400002,44.759998,48.34,30436400,48.022949
"61",48.330002,48.380001,46.080002,46.84,13971100,46.532787
