"","stock_data$CAH.Open","stock_data$CAH.High","stock_data$CAH.Low","stock_data$CAH.Close","stock_data$CAH.Volume","stock_data$CAH.Adjusted"
"1",34.330002,36.27,33.52,33.610001,56519800,30.294619
"2",33.639999,36.040001,31.42,32.27,99911300,29.0868
"3",32.630001,33.509998,29.690001,29.959999,70671900,27.004664
"4",30.299999,33.549999,30.299999,33.040001,52095000,29.956796
"5",33.279999,34.91,31.83,34.689999,70021200,31.452821
"6",34.939999,36.790001,34.099998,35.580002,57388500,32.259771
"7",36,39.290001,35.990002,38.310001,59252700,34.910694
"8",38.639999,42.200001,38.279999,41.509998,63726700,37.82675
"9",41.950001,43,40.130001,41.639999,46405700,37.945216
"10",41.689999,42.93,38.919998,41.130001,58327900,37.657031
"11",41.279999,44.610001,40.310001,43.689999,52341600,40.000865
"12",43.799999,45.73,43.790001,45.419998,51270200,41.584785
"13",45.330002,45.48,43,45.419998,52700100,41.784333
"14",45.5,47.060001,42.869999,43.759998,59362200,40.257209
"15",44.060001,44.130001,37.529999,42.5,94963600,39.098068
"16",42.450001,44.599998,39.299999,41.880001,71020500,38.716623
"17",41.560001,46.23,38.560001,44.27,65518000,40.926095
"18",42.919998,44.939999,39.810001,42.459999,48686800,39.252811
"19",42.470001,42.939999,40.009998,40.610001,49129100,37.741091
"20",41.23,44.490002,40.619999,43.029999,45235300,39.990128
"21",43.23,44.02,40.93,41.549999,51581100,38.614683
"22",41.549999,43.389999,40.549999,43.110001,52572100,40.264358
"23",43.080002,43.299999,40.439999,42.27,5.3e+07,39.479806
"24",42.139999,43.52,40.610001,41.380001,48892700,38.648554
"25",40.990002,42.990002,40.189999,42,43521500,39.458538
"26",42,43.830002,41.619999,43.09,57519900,40.482581
"27",43.34,43.380001,38.849998,39.549999,64909400,37.15679
"28",39.599998,39.880001,36.91,38.970001,78740800,36.835647
"29",39.080002,42.130001,39.029999,41.130001,56535000,38.877346
"30",41.02,41.68,38.759998,40.450001,52902400,38.234588
"31",40.610001,42.740002,40.220001,41.18,39596500,39.18521
"32",41.509998,45.23,41.060001,43.810001,53399500,41.687812
"33",44.130001,46.869999,43.52,46.209999,54970400,43.971552
"34",46.169998,47.23,41.419998,41.619999,90699800,39.863793
"35",41.689999,45.919998,41.650002,44.220001,75511400,42.354085
"36",44.220001,48.400002,43.900002,46.959999,64821800,44.978465
"37",47.07,48.990002,45.59,47.200001,56808100,45.494996
"38",47.540001,51.09,46.52,50.09,41071700,48.2806
"39",50.73,52.490002,49.860001,50.279999,39708400,48.463736
"40",50.82,53.919998,49.650002,52.150002,37566200,50.558992
"41",52.290001,59.099998,52.049999,58.66,71840100,56.870381
"42",58.34,65.449997,58.220001,64.599998,69363000,62.62916
"43",64.360001,67.75,62.549999,66.809998,54828600,65.06537
"44",66.449997,69.510002,65.110001,68.019997,56091100,66.243772
"45",67.959999,72.57,64.779999,71.529999,46348100,69.662116
"46",71.07,74.400002,68.949997,69.980003,42165000,68.452584
"47",70.300003,72.150002,65.529999,69.510002,43482800,67.992842
"48",66.769997,71.269997,63.060001,70.629997,50876900,69.088391
"49",70.709999,71.540001,67.269997,68.559998,42766700,67.397496
"50",68.790001,73.75,68.790001,71.650002,40737700,70.435106
"51",71.629997,73.769997,68.540001,73.699997,37840200,72.450342
"52",73.720001,77.739998,73.309998,74.919998,36122900,73.984973
"53",75.019997,79.129997,71.720001,78.480003,55271600,77.500548
"54",78.660004,82.68,77.980003,82.190002,33283300,81.164245
"55",81.809998,83.400002,79.029999,80.730003,31752500,80.060863
"56",81.18,87.330002,78.410004,83.190002,38753000,82.500472
"57",81.370003,89.43,81.32,87.989998,33850700,87.260682
"58",87.989998,91.589996,85.940002,90.269997,38462300,89.863924
"59",90.209999,91.910004,83.849998,84.339996,37482200,83.960599
"60",84.529999,89.629997,84.089996,88.169998,41203600,87.773372
"61",88.330002,88.989998,86.169998,88.769997,14968600,88.370672
