"","stock_data$BBBY.Open","stock_data$BBBY.High","stock_data$BBBY.Low","stock_data$BBBY.Close","stock_data$BBBY.Volume","stock_data$BBBY.Adjusted"
"1",43.68,45.959999,36.900002,37.080002,77672400,37.080002
"2",37.220001,39.810001,35.73,37.880001,75619300,37.880001
"3",38.669998,39.5,35.549999,35.970001,70858300,35.970001
"4",36.509998,44.169998,36.189999,43.41,75804300,43.41
"5",43.889999,44.73,42.400002,43.900002,46607000,43.900002
"6",44.119999,45.740002,42.310001,43.740002,46686300,43.740002
"7",44.439999,50.950001,44.220001,49.150002,56357400,49.150002
"8",49.549999,50.869999,47.52,48,50558700,48
"9",48.32,50.950001,46.779999,48.150002,40585800,48.150002
"10",48.220001,49.200001,44.790001,48.27,68789600,48.27
"11",48.450001,57.900002,47.77,56.130001,78533400,56.130001
"12",56.099998,56.830002,53.049999,53.889999,41010500,53.889999
"13",53.549999,58.619999,51.25,58.369999,79022500,58.369999
"14",58.48,60.549999,56.830002,58.490002,39274800,58.490002
"15",58.849998,58.970001,48.75,56.860001,73008100,56.860001
"16",57.220001,60.91,54.779999,57.310001,72394700,57.310001
"17",56.84,63.299999,53.150002,61.84,56312500,61.84
"18",60.599998,63.830002,57.889999,60.509998,42740900,60.509998
"19",60.27,63.380001,56.720001,57.970001,51529000,57.970001
"20",58.75,63.599998,57.900002,60.700001,51348100,60.700001
"21",61.27,63.23,57.580002,59.740002,64793200,59.740002
"22",59.790001,68.199997,59.790001,65.769997,56769300,65.769997
"23",66.209999,72.75,65.879997,70.389999,53707900,70.389999
"24",70.540001,74.669998,66.690002,72.25,57694500,72.25
"25",71.449997,75.839996,58.77,61.799999,81884600,61.799999
"26",62.189999,63.900002,59.759998,60.950001,42991100,60.950001
"27",61.549999,67.739998,59.41,67.169998,41449800,67.169998
"28",66.919998,71.610001,61.200001,63,70526900,63
"29",63.32,63.849998,56.810001,57.68,61838500,57.68
"30",57.720001,60.240002,55.580002,58.720001,46166600,58.720001
"31",58.990002,60.790001,54.330002,55.91,67561600,55.91
"32",56.509998,59.950001,54.619999,58.700001,57250700,58.700001
"33",58.82,60.32,56.560001,56.75,49352700,56.75
"34",56.639999,65.379997,56.369999,64.419998,53238100,64.419998
"35",63.93,69.330002,62.950001,68.800003,58714300,68.800003
"36",68.860001,70.400002,67.239998,68.25,43562800,68.25
"37",68.699997,72.360001,66.190002,70.949997,46638800,70.949997
"38",71.860001,77.260002,71,76.470001,31581600,76.470001
"39",77.029999,78.25,73.07,73.739998,29139400,73.739998
"40",74.419998,78.879997,71.470001,77.360001,40283400,77.360001
"41",77.279999,78.360001,74.839996,77.32,26528300,77.32
"42",77.550003,78.940002,75.040001,78.029999,25991700,78.029999
"43",78.230003,80.540001,76.099998,80.300003,29084000,80.300003
"44",80.18,80.82,63.259998,63.849998,83506500,63.849998
"45",64.410004,68.440002,62.119999,67.82,54476000,67.82
"46",67.370003,69.709999,66.989998,68.800003,47872300,68.800003
"47",69,70.980003,61.700001,62.130001,68575200,62.130001
"48",62.369999,63.029999,60.290001,60.849998,56976300,60.849998
"49",61.099998,62.790001,54.959999,57.380001,81411800,57.380001
"50",57.549999,64.129997,57.450001,63.290001,82907000,63.290001
"51",62.290001,64.699997,61.029999,64.260002,42499000,64.260002
"52",64.360001,67.57,62.48,65.830002,66427200,65.830002
"53",65.400002,67.809998,62.16,67.339996,62649100,67.339996
"54",67.25,74.080002,67.07,73.370003,40801600,73.370003
"55",72.989998,77.459999,71,76.169998,46652500,76.169998
"56",78.43,79.639999,71.349998,74.769997,71702900,74.769997
"57",74.940002,79.360001,72.949997,74.660004,37964900,74.660004
"58",74.830002,77.800003,73.300003,76.779999,33909200,76.779999
"59",76.43,78.099998,70.080002,70.459999,51752000,70.459999
"60",70.529999,74.209999,68.75,71.32,48279300,71.32
"61",71.559998,72.940002,68.849998,69.769997,12521300,69.769997
