"","stock_data$VMC.Open","stock_data$VMC.High","stock_data$VMC.Low","stock_data$VMC.Close","stock_data$VMC.Volume","stock_data$VMC.Adjusted"
"1",46.68,49.709999,43.599998,43.830002,20564500,42.062952
"2",43.860001,48.040001,42.549999,45.240002,23128700,43.416106
"3",45.779999,47.23,36.360001,36.759998,43192900,35.50971
"4",37.25,39.75,35.610001,36.919998,36464100,35.664268
"5",37.279999,38.209999,35.400002,36.509998,29397900,35.268213
"6",36.669998,43.5,35.650002,40.119999,31964900,39.024938
"7",40.950001,48.259998,40.630001,44.360001,29595100,43.149211
"8",44.91,45.220001,39.77,42.560001,28929600,41.398342
"9",43.09,47.18,39.939999,45.849998,26831600,44.852172
"10",45.919998,45.990002,41,45.599998,21782100,44.607613
"11",46,46.799999,42.150002,45.200001,18399800,44.21632
"12",45.419998,45.889999,38.25,40.490002,26547000,39.859638
"13",40.220001,40.279999,36.509998,38.529999,29245100,37.930149
"14",38.650002,39.990002,33.27,34.290001,29539500,33.756161
"15",34.73,36.080002,28.889999,35.029999,80207300,34.757031
"16",35.150002,36.700001,27.440001,27.559999,42447600,27.345241
"17",27.58,34.91,25.059999,31.290001,33934500,31.046176
"18",29.940001,32.75,28.809999,32.439999,33536600,32.197217
"19",32.279999,45,31.870001,39.349998,45055500,39.055502
"20",40.259998,44.189999,38.779999,43.860001,18182200,43.531752
"21",44.09,48.09,43.59,44.560001,18940000,44.236104
"22",44.509998,46.310001,41.5,42.73,14111300,42.419404
"23",42.5,43.299999,40.27,42.810001,10980200,42.498825
"24",42.700001,43.91,33.689999,34.650002,19474700,34.398138
"25",33.75,40.040001,32.310001,39.709999,12227400,39.433185
"26",39.860001,44.709999,36.759998,38.740002,14826000,38.46995
"27",38.939999,41.389999,35.689999,38.919998,10786000,38.658279
"28",38.91,49.990002,37.25,47.299999,18386200,46.981929
"29",47.299999,49.880001,45.349998,45.970001,9459300,45.660874
"30",45.27,53.099998,44.189999,52.84,14860800,52.49556
"31",53.400002,53.849998,50.68,52.049999,17542700,51.710709
"32",53.299999,59.48,52.68,56.560001,14764600,56.191313
"33",57.23,57.27,49.349998,50.93,14595400,50.607686
"34",50.549999,55.369999,49.950001,51.700001,9873000,51.372813
"35",51.700001,51.700001,45.419998,49.880001,15887200,49.564331
"36",49.580002,55.740002,48,53.580002,14024000,53.250797
"37",53.77,54.709999,47.66,48.41,12098800,48.112561
"38",48.860001,50.990002,46.209999,47.18,11882400,46.890119
"39",47.950001,50.779999,46.779999,47.799999,15026000,47.51616
"40",48.389999,54.369999,48,51.810001,12400100,51.502351
"41",51.880001,55,50.32,53.549999,11263900,53.232016
"42",53.700001,60.139999,52.759998,56.369999,16887900,56.045327
"43",56.560001,59.700001,53.549999,59.419998,12796700,59.077759
"44",59.34,63.049999,57.549999,61.73,24194400,61.374456
"45",61.68,68.589996,58.68,67.93,22431800,67.590804
"46",67.540001,69.5,63.830002,66.449997,15973700,66.118191
"47",66.870003,68.290001,61.380001,64.529999,21762000,64.20778
"48",64.559998,66.139999,58.880001,60.970001,21844300,60.716865
"49",60.93,66.169998,60.470001,63.75,14811800,63.485321
"50",64.239998,66.550003,62.82,63.130001,16584800,62.867897
"51",63,64.260002,60.779999,63.380001,17442700,63.177344
"52",63.639999,64.150002,60.200001,60.23,17822300,60.037415
"53",60.310001,62.029999,54.099998,61.709999,33029000,61.512682
"54",61.639999,69.099998,61.220001,66.099998,22612900,65.946316
"55",65.980003,67.709999,61.450001,65.730003,21029800,65.577181
"56",66.389999,71.75,64.279999,70.510002,21360500,70.346066
"57",71.169998,83.489998,70.099998,83,25646900,82.909724
"58",83.519997,86.25,82.269997,84.300003,23793100,84.208313
"59",84.360001,86.230003,80.580002,85.519997,20138400,85.426979
"60",86.120003,93.07,84.720001,89.93,21343900,89.93
"61",90,90.75,87.639999,89.620003,7276300,89.620003
