"","stock_data$PDCO.Open","stock_data$PDCO.High","stock_data$PDCO.Low","stock_data$PDCO.Close","stock_data$PDCO.Volume","stock_data$PDCO.Adjusted"
"1",29.629999,31.120001,28.48,28.530001,11548500,26.28413
"2",28.52,29.299999,25.610001,26.68,21523400,24.666923
"3",26.92,27.950001,24.879999,25.27,23652300,23.363311
"4",25.530001,29.02,25.450001,28.65,20056500,26.48828
"5",28.950001,28.950001,27.219999,27.65,17587300,25.653337
"6",27.84,30.48,27.540001,29.73,19076500,27.583136
"7",30.02,31.209999,29.459999,30.629999,21404400,28.418144
"8",30.879999,33.290001,30.76,33.060001,15353700,30.771582
"9",33.150002,34.400002,30.42,33.380001,23426800,31.069431
"10",33.610001,33.799999,30.879999,32.189999,19742000,29.961801
"11",32.43,34.799999,32.27,34.709999,11468100,32.42421
"12",34.810001,36.93,34.029999,34.59,15858400,32.312114
"13",34.549999,34.610001,31.530001,32.889999,20512500,30.724065
"14",32.830002,34.09,30.43,30.84,11631200,28.911621
"15",31.07,31.07,26.190001,29.219999,36611600,27.392917
"16",29.25,30.18,26.68,28.629999,25803100,26.839809
"17",28.59,32.66,26.809999,31.469999,20886900,29.627193
"18",30.200001,31,27.48,30.17,22550400,28.403318
"19",30.209999,30.950001,28.16,29.52,15395200,27.791381
"20",29.959999,32.490002,29,32.189999,15361300,30.428472
"21",32.5,33.509998,31.48,31.92,11379000,30.173249
"22",31.940001,33.5,30.450001,33.400002,16991100,31.57226
"23",33.41,34.220001,32.18,34.09,12256900,32.361751
"24",33.98,34.630001,30.82,33.240002,15387700,31.554844
"25",32.66,34.700001,32.16,34.470001,13091200,32.722487
"26",35,35.66,33.16,34.099998,11017600,32.501772
"27",34.330002,36.419998,33.119999,33.970001,12981700,32.377868
"28",33.869999,35.27,33.639999,34.240002,11955500,32.635214
"29",34.400002,35.689999,32.68,33.400002,13522600,31.960057
"30",33.459999,36.060001,31.360001,34.099998,16686400,32.629876
"31",34.279999,34.450001,33,34.23,11788600,32.89136
"32",34.68,36.959999,34.34,36.130001,11500200,34.717058
"33",36.459999,37.66,35.009998,36.34,11902900,34.918844
"34",36.25,38.240002,35.91,38.040001,11787100,36.552363
"35",38.119999,38.25,36.029999,37.950001,15147400,36.626041
"36",37.990002,39.900002,37.52,39.080002,13985200,37.71662
"37",39.049999,39.48,36.880001,37.599998,14316500,36.288249
"38",37.77,41.25,37.509998,40.889999,12120600,39.628936
"39",41.139999,42.689999,39.360001,39.880001,12611600,38.650086
"40",40.419998,41.5,39.549999,40.189999,9724100,38.950523
"41",36.59,42.639999,36.59,42.509998,14178700,41.366153
"42",42.52,44.389999,40.490002,41.490002,15712600,40.373602
"43",41.459999,42.07,39.700001,41.200001,12313200,40.091404
"44",41.09,41.810001,39.540001,39.959999,14838100,39.034974
"45",40.060001,41.27,38.779999,41.16,15859300,40.207196
"46",40.880001,42.689999,40.099998,41.759998,15320800,40.793306
"47",41.939999,43.490002,40.419998,40.700001,14591700,39.947304
"48",40.540001,41.860001,37.029999,39.16,19635600,38.435784
"49",39.18,41.93,38.580002,39.509998,17597300,38.779309
"50",39.630001,40.130001,38.419998,39.009998,13520600,38.483162
"51",39,41.07,38.040001,40.27,11476000,39.726148
"52",40.25,42.259998,40.02,41.43,13912200,40.870481
"53",41.48,43.27,39.279999,43.110001,15449200,42.73484
"54",43.189999,48.880001,42.84,48.18,16701400,47.760719
"55",48.169998,49.5,46.650002,48.099998,16311900,47.681413
"56",48.389999,51.490002,47.610001,50.09,15035400,49.862554
"57",50.389999,51.450001,48.52,50.080002,18873400,49.852601
"58",50,50.610001,47.860001,48.790001,14656800,48.568458
"59",48.779999,49.130001,46.740002,46.959999,19884500,46.959999
"60",47.060001,48.860001,45.32,47.84,23904400,47.84
"61",47.919998,48.41,47.52,48.23,5708000,48.23
