"","stock_data$MA.Open","stock_data$MA.High","stock_data$MA.Low","stock_data$MA.Close","stock_data$MA.Volume","stock_data$MA.Adjusted"
"1",198.239994,230.480003,197.999992,199.529991,325680000,19.540765
"2",199.549999,217.049999,192.999992,210.039997,265453000,20.585528
"3",207.479992,217.409992,197.059994,198.360004,288984000,19.440799
"4",200.990009,226.299992,191.000004,223.999996,364873000,21.953714
"5",225,248.500004,218.999996,240.060005,219994000,23.543532
"6",242.609997,256.889992,230.009995,237.029991,213071000,23.246368
"7",241.919994,260.720005,215,224.109993,399285000,21.979258
"8",226.439991,243.600006,219.330006,236.509991,242925000,23.210489
"9",230.310001,258.829994,230.310001,240.559998,175690000,23.607946
"10",242.509995,262.380009,240.359993,251.720009,210035000,24.703161
"11",252.010002,278.099995,251.940002,275.890007,162673000,27.090598
"12",276.970005,288.570004,267.999992,287.049999,184254000,28.186436
"13",286.599998,309.810009,258.339996,301.340008,281178000,29.589622
"14",300.480003,322.280006,299.599991,303.250008,221100000,29.791315
"15",308.239994,340.419998,291.669998,329.710007,412033000,32.390748
"16",330.130005,361.940002,311.520004,317.159996,354505000,31.157834
"17",314.500008,355.999985,293.010006,347.23999,258240000,34.129536
"18",336.739998,374.700012,333.359985,374.550018,231543000,36.813785
"19",372.410011,384.990005,357.999992,372.820015,171559000,36.643747
"20",378.370018,378.639984,336.259995,355.569992,247969000,34.962997
"21",358.240013,428.569984,355.999985,420,231255000,41.298363
"22",422.490005,437.560005,406.279984,420.540009,165343000,41.351462
"23",421.839981,462.340012,419.000015,452.270012,176358000,44.501934
"24",455.849991,466.980019,394.199982,406.51001,248390000,39.999295
"25",398.610001,435.730019,389.900017,430.110016,159627000,42.32146
"26",435.07,447.999992,404.700012,436.570015,173875000,42.986295
"27",424.090004,433.149986,413.180008,422.900009,155902000,41.640296
"28",417.540016,461.790009,417.540016,451.479988,129350000,44.454386
"29",453.180008,486.080017,447.37999,460.929985,166706000,45.413558
"30",463.409996,490.750008,453.569984,488.68,137869000,48.147654
"31",490.999985,498.619995,473.860016,491.279984,131857000,48.40382
"32",506.300011,535.349998,500.999985,518.400002,194340000,51.105848
"33",520.810013,526.489983,507.360001,517.820015,121395000,51.048671
"34",515,541.959991,508.160019,541.12999,115966000,53.346657
"35",542.439995,552.929993,518.55999,552.929993,114077000,54.571237
"36",538.769989,589.000015,533.790016,570.250015,121070000,56.28063
"37",571.339989,591.889992,557.060013,574.500008,139582000,56.700082
"38",578.610001,626.230011,567.019997,610.610008,157692000,60.325694
"39",618.740005,656.97998,603.590012,606.080017,141614000,59.87815
"40",612.000008,695.009995,610.489998,672.779999,122500000,66.467827
"41",674.420013,737.829971,647.440033,717.099991,124473000,70.909646
"42",723.949966,765.149994,719.629974,760.810013,89923000,75.231864
"43",760.810013,839.380035,744.059982,835.459976,161933000,82.613543
"44",837.409973,847.480011,71.75,75.68,194429100,74.935047
"45",76.050003,78.669998,72.110001,77.720001,129614900,76.954967
"46",76.529999,79.830002,72.349998,74.699997,125655600,73.96469
"47",75.25,75.550003,68.68,73.550003,146992700,72.93717
"48",75.57,77.889999,72.519997,76.449997,89928000,75.813001
"49",76.769997,77.879997,72.449997,73.470001,96035300,72.857835
"50",74.199997,79.220001,73.809998,74.150002,97352100,73.63772
"51",73.839996,77.849998,73.639999,75.809998,73980300,75.286248
"52",75.93,78.370003,73.790001,73.919998,94471000,73.409306
"53",73.82,84.830002,69.639999,83.75,146738900,83.294365
"54",83.82,87.889999,82.699997,87.290001,80340900,86.815107
"55",86.559998,89.870003,82.050003,86.160004,92766400,85.691258
"56",86.68,87.360001,79.82,82.029999,109217600,81.741125
"57",81.709999,93,80.580002,90.129997,105888600,89.812599
"58",89.559998,92.949997,86.389999,86.389999,103125200,86.085772
"59",86.730003,93.589996,85.370003,90.209999,98374300,90.057294
"60",90.360001,94.5,89.959999,92.260002,77506900,92.103827
"61",92.400002,94.360001,91.300003,94.169998,23708400,94.01059
