"","stock_data$COP.Open","stock_data$COP.High","stock_data$COP.Low","stock_data$COP.Close","stock_data$COP.Volume","stock_data$COP.Adjusted"
"1",52.069957,56.949957,48.969958,49.089961,239560300,30.555197
"2",49.239964,55.76995,48.059956,55.219956,263167700,34.721491
"3",55.999963,58.029953,51.99996,52.429966,259812500,32.967186
"4",53.849964,57.989961,53.289962,57.429954,200042300,36.111105
"5",57.969954,62.629955,56.799955,59.389953,300577000,37.681218
"6",59.959953,63.269952,58.369961,60.169959,229140400,38.17611
"7",61.399957,68.579949,61.199949,68.099952,201735700,43.207462
"8",68.769949,71.739946,66.499947,71.459943,235466000,45.33928
"9",71.619943,79.599942,69.749948,77.869941,238980700,49.845174
"10",78.299942,81.799932,71.129949,79.859939,288823200,51.118988
"11",80.47994,81.749941,76.35994,78.889933,197769200,50.498079
"12",78.869942,78.979937,70.609945,73.219943,259767100,47.297409
"13",73.179951,75.269946,70.079942,75.18994,239690900,48.569955
"14",75.269946,80.129945,71.44995,71.989945,349056900,46.915126
"15",73.459939,73.459939,60.399952,68.069948,377503700,44.360503
"16",68.659939,68.869945,61.78995,63.319943,286148400,41.264972
"17",62.709951,73.699945,58.649959,69.649946,268316400,45.836035
"18",67.909952,72.969944,66.129945,71.319949,223397900,46.935049
"19",71.159948,73.899938,67.649955,72.869948,210506300,47.95509
"20",73.919944,74.829947,67.999951,68.209942,241007500,44.88838
"21",68.899945,77.719934,68.539951,76.54994,315512200,50.833638
"22",77.109941,78.289934,74.439939,76.009939,230327500,50.475046
"23",75.989948,77.309934,70.529949,71.629951,204546300,47.566478
"24",55.919998,56.740002,50.66,52.16,298939800,46.01738
"25",51.400002,56,50.619999,55.880001,216931000,49.299296
"26",55.970001,56.889999,52.84,54.439999,194667300,48.593821
"27",54.639999,57.77,54.189999,56.790001,136937000,50.691462
"28",56.959999,58.900002,54.830002,57.18,129639400,51.039581
"29",57.48,58.52,55.700001,57.849998,118295700,52.239976
"30",58,58.799999,53.950001,56.939999,128885700,51.418224
"31",57.330002,59.650002,56.57,57.990002,122055100,52.366402
"32",59.150002,62.049999,57.810001,58,125010900,52.375431
"33",58.470001,58.84,56.779999,57.950001,175968600,52.926277
"34",57.93,61.189999,57.25,60.099998,120907400,54.88989
"35",60.200001,60.700001,56.380001,60.450001,136901900,55.20955
"36",60.150002,64.769997,59.900002,61.34,161555800,56.603306
"37",61.580002,62.57,58.709999,60.5,110963000,55.828171
"38",60.73,66.25,60.73,64.860001,142572400,60.488109
"39",65.720001,67.910004,65.290001,66.300003,115999500,61.831048
"40",66.959999,71.089996,66.510002,69.510002,98423100,64.824677
"41",69.459999,74.589996,69.32,73.330002,108097900,69.070268
"42",73.559998,74.07,71.760002,72.800003,86692500,68.571057
"43",73.389999,73.489998,68.230003,70.650002,101693500,66.545949
"44",70.269997,70.919998,64.349998,64.949997,108416500,61.177057
"45",65.099998,66.879997,62.740002,66.5,114784800,63.306781
"46",66.360001,70.989998,65.980003,70.349998,107774500,66.971909
"47",70.470001,75.339996,69.330002,74.309998,128418400,70.741755
"48",75.010002,80.540001,74.050003,79.940002,114117400,76.775916
"49",80.209999,86.43,79.050003,85.730003,105624700,82.336744
"50",86.25,87.089996,82.370003,82.5,107113800,79.907477
"51",81.910004,82.160004,78.910004,81.220001,97952100,78.667701
"52",81.059998,81.370003,75.919998,76.519997,115394300,74.115392
"53",76.269997,76.519997,63.560001,72.150002,205821400,70.573972
"54",72.260002,74.68,65.650002,66.07,140920300,64.62678
"55",65.93,71.370003,60.84,69.059998,219541000,67.551465
"56",68.5,69.480003,60.639999,62.98,186354400,61.604278
"57",64.470001,70.110001,63.41,65.199997,161925200,64.4691
"58",65.199997,65.360001,60.57,62.259998,156289100,61.562059
"59",62.709999,69.720001,62.57,67.919998,149097000,67.158609
"60",67.739998,68.360001,63.110001,63.68,119145000,63.68
"61",64.459999,64.470001,62.709999,64.019997,43319900,64.019997
