"","stock_data$ESRX.Open","stock_data$ESRX.High","stock_data$ESRX.Low","stock_data$ESRX.Close","stock_data$ESRX.Volume","stock_data$ESRX.Adjusted"
"1",51.75,54,45.82,47.02,76650400,47.02
"2",46.93,48.810001,41.549999,45.18,159144000,45.18
"3",46.169998,46.84,42.5,42.599998,119984400,42.599998
"4",43.220001,49.689999,43.009998,48.700001,80301700,48.700001
"5",48.889999,49.880001,47.23,48.52,85202300,48.52
"6",48.560001,53.75,47.66,52.09,80756800,52.09
"7",52.91,55.68,52.759998,54.049999,65036800,54.049999
"8",54.389999,58.77,54.389999,56.330002,60844900,56.330002
"9",56.779999,58.68,52.959999,56.220001,72397300,56.220001
"10",56,57.330002,50.91,55.610001,103891500,55.610001
"11",55.869999,57.630001,52.27,56.740002,90140600,56.740002
"12",57.130001,60.889999,56.849998,59.560001,90062600,59.560001
"13",59.470001,59.599998,52.599998,53.98,106086800,53.98
"14",54.080002,57.470001,51.310001,54.259998,221468900,54.259998
"15",54.549999,54.849998,43.529999,46.939999,246014700,46.939999
"16",47.279999,47.75,37.060001,37.07,191190800,37.07
"17",36.91,46.810001,34.470001,45.77,206014200,45.77
"18",44.73,48.389999,41.450001,45.650002,147460200,45.650002
"19",45.330002,47.549999,43.02,44.689999,103465200,44.689999
"20",45.689999,52.799999,45.66,51.16,140305900,51.16
"21",51.599998,55.060001,45.93,53.330002,189138300,53.330002
"22",53.32,55.34,51.619999,54.18,215206300,54.18
"23",56.490002,58.98,55.240002,55.790001,184092400,55.790001
"24",55.860001,57.029999,50.650002,52.189999,160244400,52.189999
"25",51.380001,55.990002,50.310001,55.830002,103084900,55.830002
"26",55.889999,59.5,53.610001,57.939999,96423900,57.939999
"27",58.169998,62.799999,55.360001,62.619999,111724400,62.619999
"28",62.5,64.459999,61.23,62.630001,83663300,62.630001
"29",62.970001,66.059998,60.959999,61.540001,83098400,61.540001
"30",62.09,63.299999,49.790001,53.849998,217392200,53.849998
"31",54.110001,55.540001,52.5,54,94320200,54
"32",54.98,56.099998,53.049999,53.419998,109737100,53.419998
"33",53.580002,59.209999,53.27,56.93,139539600,56.93
"34",56.560001,60.080002,56.16,57.619999,100999300,57.619999
"35",57.549999,60.049999,54.57,59.369999,115606800,59.369999
"36",59.23,64.080002,59.02,62.119999,111942100,62.119999
"37",62.18,63.34,60.599998,61.740002,87146000,61.740002
"38",62.73,67.660004,61.52,65.550003,87101800,65.550003
"39",66.199997,66.739998,63.5,63.880001,81393900,63.880001
"40",64.480003,66.510002,60.799999,61.799999,113289200,61.799999
"41",62.009998,65.230003,59.200001,62.52,113567300,62.52
"42",62.93,67.949997,61.889999,67.349998,100013800,67.349998
"43",67.32,70.790001,66.150002,70.239998,79711100,70.239998
"44",70,75.279999,69.610001,74.690002,98277100,74.690002
"45",75.209999,78.169998,72.68,75.309998,109272700,75.309998
"46",74.769997,79.370003,74.32,75.089996,113178500,75.089996
"47",75.5,76.209999,64.639999,66.580002,125305000,66.580002
"48",66.620003,71.489998,65.830002,71.470001,114992100,71.470001
"49",70.870003,71.809998,67.639999,69.330002,101966800,69.330002
"50",69.919998,71.730003,65.080002,69.650002,120917400,69.650002
"51",69.620003,75.739998,69.379997,73.93,81922800,73.93
"52",74.199997,75.949997,70.360001,70.629997,76102100,70.629997
"53",70.75,77.410004,68.779999,76.82,92070400,76.82
"54",76.82,83.370003,76.309998,83.150002,62577600,83.150002
"55",82.989998,86.269997,78.889999,84.669998,85376400,84.669998
"56",84.910004,86.639999,80.599998,80.709999,82065600,80.709999
"57",81.330002,88.830002,79.010002,84.790001,74336000,84.790001
"58",84.389999,88.550003,80.940002,86.769997,76356500,86.769997
"59",86.989998,89.589996,83.760002,86.400002,78932000,86.400002
"60",86.949997,91.209999,83.410004,87.139999,91066100,87.139999
"61",86.150002,88.150002,84.940002,87.730003,30818700,87.730003
