"","stock_data$WPX.Open","stock_data$WPX.High","stock_data$WPX.Low","stock_data$WPX.Close","stock_data$WPX.Volume","stock_data$WPX.Adjusted"
"1",22.5,23.42,17.01,18.17,11049400,18.17
"2",18.379999,18.67,14.2,16.48,112266400,16.48
"3",16.68,19.35,16.139999,18.16,63042800,18.16
"4",18.27,19.74,17.459999,18.01,47985200,18.01
"5",18.08,18.9,15.02,17.57,45440500,17.57
"6",17.709999,17.959999,14.49,14.67,57037200,14.67
"7",14.39,16.690001,13.22,16.18,57118500,16.18
"8",15.9,16.219999,14.15,15.95,52138300,15.95
"9",15.97,16.129999,14.15,15.6,42090000,15.6
"10",15.78,17.73,15.5,16.59,41526200,16.59
"11",16.719999,18.309999,16.540001,16.940001,38911300,16.940001
"12",17.030001,17.030001,14.86,15.79,41980700,15.79
"13",15.96,16.17,14.43,14.88,38577700,14.88
"14",15.17,15.9,14.1,15.03,71157000,15.03
"15",15.1,15.99,14.03,14.19,61125700,14.19
"16",14.09,16.99,14.04,16.02,71148400,16.02
"17",16.030001,17.92,14.87,15.63,60230200,15.63
"18",15.57,21.120001,15.14,19.26,66907300,19.26
"19",19.370001,20.469999,18.57,18.940001,48436700,18.940001
"20",19.08,20.360001,18.59,19.209999,43463000,19.209999
"21",19.26,19.809999,18.1,18.66,42103000,18.66
"22",18.99,20.01,18.4,19.26,34130400,19.26
"23",19.280001,23.690001,18.799999,22.139999,45797000,22.139999
"24",22.200001,22.549999,17.540001,18.59,66095300,18.59
"25",18.620001,20.67,18.190001,20.379999,54435400,20.379999
"26",20.290001,20.549999,18.32,19.049999,54341700,19.049999
"27",19.01,19.75,16.92,17.620001,78471400,17.620001
"28",17.43,19.030001,16.799999,18.030001,104570400,18.030001
"29",18.139999,22.18,17.969999,21.280001,74536200,21.280001
"30",21.65,22.6,20.450001,21.18,71386900,21.18
"31",21.200001,24.35,20.82,23.91,54860500,23.91
"32",23.950001,24.09,20.35,20.57,65081100,20.57
"33",20.48,26.76,20.049999,26.620001,74799600,26.620001
"34",26.540001,26.790001,23.59,24.059999,50982100,24.059999
"35",24.08,24.42,16.040001,19.120001,90712700,19.120001
"36",19.27,20.040001,13.5,13.57,79510100,13.57
"37",13.51,13.74,10.01,11.63,122741400,11.63
"38",11.6,12.25,10.04,10.66,93316500,10.66
"39",10.85,13.55,10.43,10.78,110694900,10.78
"40",10.78,11.93,10.19,10.93,110860300,10.93
"41",11,14.26,10.95,13.75,98630800,13.75
"42",13.61,14.65,12.68,12.89,98388200,12.89
"43",12.93,13.41,12.41,13.4,27976800,13.4
