"","stock_data$LMT.Open","stock_data$LMT.High","stock_data$LMT.Low","stock_data$LMT.Close","stock_data$LMT.Volume","stock_data$LMT.Adjusted"
"1",77.970001,81.699997,74.360001,74.5,32136700,61.087135
"2",74.5,76.339996,72.349998,75.150002,48232300,61.620112
"3",75.839996,76,69.360001,69.519997,50900600,57.505014
"4",70.089996,73.449997,68.190002,71.279999,55637300,58.960839
"5",71.529999,72.690002,67.870003,71.290001,62996200,58.969113
"6",71.709999,73.699997,67.68,68.040001,71396900,56.901091
"7",68.650002,70.419998,68.019997,69.910004,54065900,58.464954
"8",70.199997,81,69.620003,79.599998,77698600,66.568588
"9",79.68,82.43,79.010002,79.160004,44030500,66.825395
"10",79.470001,81.75,78.199997,80.400002,51486100,67.872178
"11",80.5,81.919998,75.809998,79.25,45511400,66.901368
"12",79.349998,80.830002,76.68,77.900002,45706300,66.402342
"13",77.760002,81.269997,75.099998,80.970001,50504800,69.019225
"14",80.870003,82.230003,74.440002,75.730003,42096900,64.552625
"15",76.110001,76.110001,66.360001,74.190002,77120500,63.886812
"16",74.400002,77.040001,69.099998,72.639999,64801800,62.552067
"17",72.580002,79.900002,70.370003,75.900002,47711700,65.359334
"18",74.559998,78.870003,72.370003,78.150002,62523300,68.170849
"19",78.139999,81.860001,76.019997,80.900002,38797600,70.569696
"20",82.120003,83.709999,79.050003,82.32,43141300,71.808371
"21",82.540001,90.150002,82.260002,88.410004,57926800,77.993034
"22",88.610001,91.089996,87.410004,89.860001,30148900,79.272184
"23",89.410004,92.239998,87.669998,90.540001,30429600,79.872063
"24",90.610001,91.019997,81.519997,82.800003,51087600,73.927705
"25",81.639999,87.089996,80.139999,87.080002,32647700,77.749087
"26",87.32,90.510002,85.650002,89.269997,30197800,79.704417
"27",89.860001,93.989998,87.470001,91.139999,34456000,82.269047
"28",91.190002,93.699997,90.010002,93.379997,30347500,84.291018
"29",93.370003,94.959999,91.389999,93.669998,24745400,84.552793
"30",93.769997,95.919998,87.080002,93.300003,37681600,85.26529
"31",93.25,93.669998,88.790001,92.290001,39181800,84.342266
"32",93.790001,96.519997,86.720001,86.870003,50468300,79.389021
"33",87.519997,89.080002,85.879997,88,67952700,81.495244
"34",87.75,96.589996,86.510002,96.519997,37656500,89.385462
"35",96.139999,99.489998,94,99.089996,37978800,91.765493
"36",98.900002,108.800003,98.769997,105.830002,49673500,99.068973
"37",106,109.260002,103.040001,108.459999,34733100,101.530951
"38",108.459999,121.57,105.540001,120.120003,32997000,112.446046
"39",120.760002,126.730003,120.75,122.419998,37231100,115.678017
"40",123.349998,131.600006,122.540001,127.550003,28056200,120.5255
"41",127.769997,134.960007,121.519997,133.339996,38455500,125.996623
"42",133.539993,144.429993,133.429993,141.669998,38021600,135.124096
"43",141.850006,149.990005,135.389999,148.660004,28866500,141.791126
"44",147.050003,158.429993,145.119995,150.910004,45547000,143.937164
"45",150.539993,168.410004,144.690002,162.300003,43922400,156.091704
"46",160.820007,167.869995,157.009995,163.240005,38104200,156.995749
"47",163.520004,165.130005,153.539993,164.139999,32120800,157.861317
"48",163.720001,168,159.889999,163.649994,25879300,158.692088
"49",163.880005,168.869995,160.360001,160.729996,21520200,155.860554
"50",160.039993,171.360001,156.229996,166.970001,28757600,161.911513
"51",166.720001,177.190002,162.520004,174,23726700,170.009481
"52",175.139999,184.089996,172.369995,182.779999,28349400,178.588119
"53",181.149994,191.919998,166.279999,190.570007,44794200,186.199471
"54",191.300003,192.940002,184.389999,191.559998,25394800,188.666733
"55",190.929993,198.720001,182.410004,192.570007,26296900,189.661488
"56",192.100006,198.880005,186.800003,188.369995,26623300,185.524912
"57",188.410004,207.059998,186.009995,200.050003,26015400,198.481806
"58",200.050003,206.190002,195.600006,202.960007,27231100,201.368998
"59",202.100006,202.550003,185.649994,186.600006,28423300,185.137244
"60",186.800003,194.309998,185.910004,188.199997,21135400,188.199997
"61",189.479996,192.330002,188.369995,189.279999,11753400,189.279999
