"","stock_data$YHOO.Open","stock_data$YHOO.High","stock_data$YHOO.Low","stock_data$YHOO.Close","stock_data$YHOO.Volume","stock_data$YHOO.Adjusted"
"1",14.94,15.84,13.79,13.84,269368200,13.84
"2",13.99,15.6,13.52,13.88,489539500,13.88
"3",14.01,14.52,12.94,13.11,287372200,13.11
"4",13.2,14.53,13.13,14.17,557699300,14.17
"5",14.19,16.76,14.13,16.49,608242900,16.49
"6",16.5,17.6,15.77,15.82,419521800,15.82
"7",16,17.219999,16,16.629999,277590200,16.629999
"8",16.809999,17.34,15.41,16.120001,441126900,16.120001
"9",16.33,17.84,16.040001,16.4,446785900,16.4
"10",16.459999,17.700001,15.81,16.68,560290100,16.68
"11",16.83,17.77,16.059999,17.700001,383774800,17.700001
"12",17.790001,18.84,15.63,16.549999,833121800,16.549999
"13",16.34,16.43,14.5,15.04,532093100,15.04
"14",15.08,15.95,13.04,13.1,523202700,13.1
"15",13.24,13.98,11.09,13.61,744505200,13.61
"16",13.67,15.4,12.45,13.17,867378500,13.17
"17",13.7,16.790001,13.37,15.64,725436200,15.64
"18",14.95,16.5,14.75,15.71,477323700,15.71
"19",16.42,16.459999,14.57,16.129999,449971200,16.129999
"20",16.27,16.389999,15.35,15.47,352620700,15.47
"21",15.57,16.309999,14.37,14.83,420807900,14.83
"22",14.89,15.61,14.35,15.22,323467900,15.22
"23",15.19,15.7,14.73,15.54,321910800,15.54
"24",15.51,16,14.8,15.24,421422600,15.24
"25",15.04,15.83,14.81,15.83,282655000,15.83
"26",15.8,16.17,15.23,15.84,308562700,15.84
"27",15.86,16.370001,14.59,14.65,391517300,14.65
"28",14.64,16.200001,14.59,15.98,396365700,15.98
"29",16,16.889999,15.65,16.84,463509100,16.84
"30",16.9,19.16,16.860001,18.77,560003200,18.77
"31",18.549999,19.969999,18.34,19.9,409278500,19.9
"32",20.200001,20.879999,18.889999,19.629999,483441500,19.629999
"33",19.77,21.57,19.309999,21.309999,341482600,21.309999
"34",21.360001,23.879999,21.26,23.530001,382203700,23.530001
"35",23.309999,25.370001,22.700001,24.73,391248900,24.73
"36",24.67,27.68,24.18,26.299999,378144000,26.299999
"37",26.370001,27.120001,23.82,25.129999,314307400,25.129999
"38",25.26,29.83,24.82,28.09,472625900,28.09
"39",28.35,28.6,26.75,27.120001,268671900,27.120001
"40",27.379999,33.849998,27.370001,33.169998,357052900,33.169998
"41",33.360001,35.060001,31.700001,32.939999,550329600,32.939999
"42",33.150002,37.349998,32.060001,36.98,328321000,36.98
"43",37.040001,41.049999,36.25,40.439999,308933300,40.439999
"44",40.369999,41.720001,34.450001,36.009998,451816600,36.009998
"45",35.939999,39.380001,34.66,38.669998,285049700,38.669998
"46",37.650002,40.150002,35.049999,35.900002,398858700,35.900002
"47",36.16,37.299999,32.150002,35.950001,595955300,35.950001
"48",36.259998,37.169998,33.099998,34.650002,414766700,34.650002
"49",34.689999,37.060001,33.02,35.130001,350662000,35.130001
"50",35.5,36.990002,32.93,35.810001,518701600,35.810001
"51",35.689999,38.720001,35.150002,38.509998,293222000,38.509998
"52",38.900002,44.009998,37.900002,40.75,1220435700,40.75
"53",40.66,46.52,36.200001,46.049999,738416400,46.049999
"54",46.049999,52.619999,45.740002,51.740002,470123300,51.740002
"55",51.43,51.68,48.290001,50.509998,349931000,50.509998
"56",50.66,50.779999,41.799999,43.990002,475058700,43.990002
"57",44.43,45.25,42.540001,44.279999,265059900,44.279999
"58",44.060001,45.669998,41.970001,44.439999,291951300,44.439999
"59",44.450001,46.169998,42.259998,42.57,282637400,42.57
"60",42.549999,45.07,39.119999,42.939999,349494100,42.939999
"61",43.049999,43.779999,41.02,42.060001,75731500,42.060001
