"","stock_data$K.Open","stock_data$K.High","stock_data$K.Low","stock_data$K.Close","stock_data$K.Volume","stock_data$K.Adjusted"
"1",54.549999,54.970001,50.209999,50.299999,44061000,43.064424
"2",50.209999,52.580002,47.279999,50.049999,62214200,42.850386
"3",50.470001,51.84,48.970001,49.68,73767400,42.877549
"4",50.200001,51.52,49.490002,50.509998,39885700,43.5939
"5",50.540001,51.099998,48.720001,50.259998,58553500,43.378131
"6",50.369999,50.799999,48.509998,49.23,76136200,42.839812
"7",49.52,51.619999,48.849998,51.080002,51072600,44.449679
"8",51.23,52.200001,50.029999,50.299999,45941800,43.770923
"9",50.32,54.790001,49.990002,53.560001,59501500,46.965984
"10",53.52,55.41,52.720001,53.98,46309100,47.334274
"11",53.98,57.419998,53.799999,57.27,28555900,50.219228
"12",57.189999,57.700001,55.860001,56.990002,42271500,50.332716
"13",56.75,56.82,53.450001,55.32,45220600,48.857796
"14",55.07,56.389999,54.349998,55.779999,36217800,49.26406
"15",56.16,56.16,50.380001,54.32,64473700,48.35855
"16",54.279999,54.939999,51.630001,53.189999,41132200,47.352563
"17",52.73,55.299999,51.939999,54.209999,39023300,48.260621
"18",53.599998,54.25,48.099998,49.16,64961100,44.155358
"19",49.029999,50.919998,48.470001,50.57,35510700,45.421816
"20",50.970001,51.849998,49.07,49.52,40449000,44.47871
"21",49.599998,53.450001,49.27,52.349998,57833600,47.405944
"22",52.450001,53.860001,51.639999,53.630001,32443200,48.56506
"23",53.439999,54.200001,50.049999,50.57,44834200,45.794052
"24",50.57,51.16,48.779999,48.779999,41580900,44.552612
"25",48.5,49.759998,47.880001,49.330002,32166500,45.054951
"26",49.16,49.889999,46.330002,47.700001,43796300,43.566209
"27",47.77,51.91,47.509998,50.650002,46108600,46.659825
"28",50.810001,52.150002,49.919998,51.66,35204600,47.590256
"29",51.490002,53.060001,51.27,52.32,29081900,48.198262
"30",52.720001,55.880001,52.16,55.459999,51381200,51.497111
"31",55.57,57.209999,54.529999,55.849998,30155600,51.859243
"32",56.330002,58.900002,56.040001,58.5,27652900,54.319889
"33",58.849998,60.790001,58,60.5,37571600,56.588599
"34",60.310001,64.75,60.049999,64.43,29448600,60.26452
"35",64.089996,66.839996,63.189999,65.040001,33411100,60.835084
"36",64.82,66.480003,62.049999,62.049999,43585900,58.442647
"37",61.970001,65.120003,61.029999,64.230003,38140000,60.495913
"38",64.029999,67.980003,64.029999,66.239998,28267800,62.389054
"39",65.940002,66.239998,60.279999,60.709999,40678700,57.614448
"40",61.240002,61.43,58.59,58.73,36397700,55.735407
"41",58.52,64.400002,58.009998,63.25,39749500,60.024936
"42",63.16,64.919998,60.59,60.639999,44900300,57.980075
"43",60.639999,62.310001,59.580002,61.07,33262800,58.391214
"44",60.98,61.360001,57.509998,57.98,37575800,55.436754
"45",58.009998,61.259998,55.689999,60.689999,49117500,58.027881
"46",60.34,62.75,60.099998,62.709999,35566100,60.417359
"47",62.470001,67.489998,62.310001,66.830002,56827100,64.386737
"48",66.940002,69,64.800003,68.980003,41824500,66.910634
"49",69,69.5,64.470001,65.699997,35244300,63.729026
"50",65.480003,66.730003,59.779999,59.830002,39082900,58.035128
"51",59.66,65.379997,59.650002,64.970001,38387900,63.497551
"52",64.93,65.379997,60.540001,61.599998,34918200,60.203925
"53",60.5,64.82,58.830002,63.959999,45164800,62.510439
"54",63.639999,66.639999,63.099998,66.25,32586200,65.239287
"55",65.849998,67.440002,63.669998,65.440002,36354400,64.441647
"56",65.629997,69.889999,64.139999,65.580002,40125000,64.57951
"57",65.650002,67.32,61.82,64.480003,40386700,63.496293
"58",64.370003,66.379997,61.529999,65.949997,56869100,65.439
"59",65.690002,67,63.029999,63.330002,35793100,62.839305
"60",63.419998,65.639999,62.240002,62.77,33644100,62.77
"61",62.599998,62.990002,61.130001,62.049999,16634700,62.049999
