"","stock_data$RHT.Open","stock_data$RHT.High","stock_data$RHT.Low","stock_data$RHT.Close","stock_data$RHT.Volume","stock_data$RHT.Adjusted"
"1",29.6,32.52,28.82,28.940001,46149700,28.940001
"2",28.9,33.639999,28.200001,32.150002,63305800,32.150002
"3",32.490002,35.27,30.290001,34.549999,62720400,34.549999
"4",35.040001,41.740002,35.040001,41,78326000,41
"5",41.07,42.73,37.330002,42.259998,64797000,42.259998
"6",42.400002,43.790001,40.470001,43.5,37881600,43.5
"7",44.330002,49,44.209999,45.650002,49890100,45.650002
"8",46.060001,46.889999,39.84,41.32,43422900,41.32
"9",41.299999,45.889999,39.419998,41.279999,42286000,41.279999
"10",41.43,47.880001,38.470001,45.389999,63278100,45.389999
"11",45.860001,48.380001,44.209999,47.470001,39096600,47.470001
"12",47.66,47.790001,42.5,43.599998,36964000,43.599998
"13",43.490002,46.48,40.27,45.900002,54963700,45.900002
"14",45.799999,47.099998,41.540001,42.080002,40847400,42.080002
"15",42.59,42.810001,31.77,39.540001,83693400,39.540001
"16",39.529999,45.07,35.650002,42.259998,63585700,42.259998
"17",42.23,52,37.849998,49.650002,55432500,49.650002
"18",47.700001,53.419998,44.889999,50.080002,38059100,50.080002
"19",49.869999,52.950001,39.189999,41.290001,70296100,41.290001
"20",42.169998,48.490002,41.299999,46.369999,40035400,46.369999
"21",46.889999,50.610001,46.16,49.459999,24590300,49.459999
"22",49.740002,61.709999,48.25,59.889999,53443700,59.889999
"23",59.669998,62.75,57,59.610001,43619300,59.610001
"24",59.700001,62.41,50.18,51.380001,47061100,51.380001
"25",50.029999,58.639999,49.450001,56.48,62792400,56.48
"26",56.400002,57.099998,49.509998,53.66,40741100,53.66
"27",54.130001,59.490002,51.950001,56.040001,37480900,56.040001
"28",56.119999,60,53.669998,56.939999,44985100,56.939999
"29",57.169998,57.299999,49.060001,49.169998,39251100,49.169998
"30",49.459999,51.48,46.759998,49.400002,33661600,49.400002
"31",49.790001,55.419998,46.34,52.959999,36869400,52.959999
"32",54.169998,56.740002,52.529999,55.560001,31896800,55.560001
"33",55.869999,57.099998,49.099998,50.810001,44778700,50.810001
"34",50.790001,53.650002,47.5,50.560001,64674800,50.560001
"35",50.66,51.349998,46.75,47.93,47498400,47.93
"36",48.009998,55.59,47.349998,48.23,50463000,48.23
"37",48.290001,48.82,44.919998,47.82,55357800,47.82
"38",48.040001,52.150002,47.040001,51.77,26775200,51.77
"39",52.130001,53.720001,50.02,50.52,22527300,50.52
"40",51,54.380001,45.330002,46.139999,40785600,46.139999
"41",46.139999,46.450001,41.889999,43.27,53044400,43.27
"42",43.48,47.66,42.419998,46.849998,34965500,46.849998
"43",46.84,58.709999,45.450001,56.040001,51094900,56.040001
"44",55.950001,60.189999,54.900002,56.5,37238000,56.5
"45",56.599998,60,54.049999,58.990002,23205000,58.990002
"46",58.16,61.450001,51.799999,52.98,41253200,52.98
"47",53.209999,53.93,47.450001,48.650002,43961900,48.650002
"48",48.59,51.290001,47.720001,50.119999,24546900,50.119999
"49",50.189999,57.349998,49.59,55.27,37294700,55.27
"50",55.439999,58.34,53.759998,58.119999,27131800,58.119999
"51",58.43,62.689999,57.82,60.919998,22010700,60.919998
"52",61.119999,61.98,54.849998,56.150002,37446400,56.150002
"53",56.560001,59.310001,52.529999,58.919998,48524300,58.919998
"54",58.93,63.689999,58.66,62.150002,28254300,62.150002
"55",62,71.769997,57.869999,69.139999,49846200,69.139999
"56",69.440002,70.279999,63.68,63.790001,32579200,63.790001
"57",64.029999,70.550003,62.43,69.120003,22314000,69.120003
"58",69,77.82,65,75.75,40548700,75.75
"59",75.540001,77.550003,73.339996,75.260002,23002900,75.260002
"60",75.220001,79.349998,74.230003,77.269997,20129600,77.269997
"61",77.559998,79.139999,76.260002,78.410004,10237700,78.410004
