"","stock_data$DVN.Open","stock_data$DVN.High","stock_data$DVN.Low","stock_data$DVN.Close","stock_data$DVN.Volume","stock_data$DVN.Adjusted"
"1",66.220001,70.800003,60.549999,60.919998,71740900,57.102676
"2",60.919998,64.980003,59.5,62.490002,78100500,58.574301
"3",63.790001,66.209999,59.07,60.279999,83841000,56.50278
"4",61.02,65.5,60.830002,64.739998,65204100,60.838986
"5",65.32,69.110001,63.759998,65.019997,58457400,61.102113
"6",65.699997,73.25,65.029999,70.57,90590800,66.317691
"7",71.68,78.860001,71.239998,78.510002,56899800,73.940673
"8",79.129997,89.379997,76.959999,88.690002,66395600,83.528191
"9",88.589996,91.5,85.300003,91.440002,63301200,86.11814
"10",91.82,93.559998,84.370003,91.769997,72654200,86.589875
"11",92.290001,92.690002,85.139999,91,51220100,85.863342
"12",91.389999,91.610001,80.459999,84.07,68666100,79.324518
"13",83.82,84.279999,75.5,78.809998,67982800,74.520721
"14",78.860001,84.519997,77.489998,78.699997,56846200,74.416707
"15",80.139999,80.25,61.18,67.830002,105364000,64.138318
"16",68.389999,68.510002,55.139999,55.439999,90225200,52.562747
"17",54.869999,68.25,50.740002,64.949997,85523200,61.579191
"18",62.040001,69.550003,58.560001,65.459999,73127200,62.062725
"19",65.309998,67.889999,58.849998,62,64562300,58.938288
"20",64.860001,66.910004,62.130001,63.810001,63606200,60.658907
"21",64.440002,76.260002,62.810001,73.309998,89710100,69.68977
"22",73.349998,76.339996,69.349998,71.120003,72739300,67.79861
"23",70.940002,73.139999,63.970001,69.849998,76141400,66.587916
"24",70.080002,71.080002,58.630001,59.52,95730100,56.740342
"25",58.439999,61.419998,54.009998,57.990002,92032400,55.474584
"26",57.389999,59.619999,54.560001,59.119999,68161200,56.555566
"27",58.169998,61.709999,55.049999,57.830002,73253700,55.321525
"28",57.75,63.950001,56.82,60.5,57796000,58.067287
"29",61.16,63,57.919998,58.209999,48961200,55.869368
"30",58.209999,59.709999,51.490002,51.669998,81621500,49.592341
"31",52,54.380001,50.889999,52.040001,70055700,50.138613
"32",53.060001,58.400002,51.630001,57.189999,71600800,55.100445
"33",58.220001,61.799999,52.689999,54.259998,89362900,52.277498
"34",53.869999,58.529999,53.18,56.419998,62624000,54.553905
"35",56.189999,56.689999,50.810001,55.060001,77664200,53.23889
"36",55.259998,61.099998,54.59,56.849998,74518000,54.969683
"37",56.900002,58,51.66,51.880001,66133900,50.364578
"38",52.119999,57.990002,52,55.009998,57687500,53.403148
"39",55.509998,59.400002,55.150002,57.09,62229000,55.422393
"40",57.779999,60.380001,56.990002,57.759998,52718100,56.283762
"41",57.860001,66.919998,57.580002,63.220001,69855900,61.604217
"42",63.189999,65.599998,59.400002,60.619999,92184800,59.070666
"43",60.889999,62.400002,58.029999,61.869999,61721600,60.507589
"44",61.689999,61.990002,58.209999,59.220001,62896400,57.915946
"45",59.189999,65.639999,57.669998,64.419998,71075200,63.001436
"46",64,66.949997,62.369999,66.93,64294200,65.683551
"47",66.910004,72.410004,66.75,70,76177700,68.696378
"48",69.940002,73.989998,69.199997,73.900002,72419700,72.523749
"49",73.849998,80.629997,73.559998,79.400002,59683300,78.171672
"50",79.849998,80.010002,75.43,75.5,56464600,74.332004
"51",75.110001,77.010002,71.480003,75.419998,50849900,74.25324
"52",75.300003,75.339996,67.580002,68.18,64454500,67.353727
"53",67.690002,68.800003,53.34,60,112744800,59.27286
"54",60.209999,68.470001,55.439999,58.970001,83985000,58.255344
"55",58.689999,62.240002,51.759998,61.209999,109676900,60.722978
"56",60.630001,62.57,56.77,60.27,82475700,59.790458
"57",61.34,67.080002,60.849998,61.59,82144600,61.099955
"58",61.59,61.98,56.349998,60.310001,79630900,60.083165
"59",60.68,69.160004,60.59,68.209999,69006900,67.95345
"60",67.900002,70.480003,64.709999,65.220001,64225900,64.974698
"61",65.389999,65.5,62.009998,63.810001,24856200,63.570001
