"","stock_data$VAR.Open","stock_data$VAR.High","stock_data$VAR.Low","stock_data$VAR.Close","stock_data$VAR.Volume","stock_data$VAR.Adjusted"
"1",49.540001,54.959999,49.43,52.279999,21137300,52.279999
"2",52.34,57.419998,50.200001,55.200001,22524700,55.200001
"3",55.889999,57.139999,51.009998,53.240002,24891500,53.240002
"4",53.91,61.380001,53.810001,60.5,21930700,60.5
"5",60.82,63.75,59.52,63.220001,21835200,63.220001
"6",63.369999,66.139999,62.099998,65.830002,15629500,65.830002
"7",66.510002,70.970001,66.360001,69.279999,21369600,69.279999
"8",69.790001,72.190002,67.370003,67.57,18905700,67.57
"9",67.900002,71.75,66.269997,69.279999,19037600,69.279999
"10",69.739998,71.610001,64.129997,67.639999,21555500,67.639999
"11",68.410004,71.849998,68.050003,70.199997,16463500,70.199997
"12",70.349998,71.330002,66.599998,67.540001,20975400,67.540001
"13",67.349998,70.400002,64.889999,70.019997,21527800,70.019997
"14",70.160004,71.580002,61,62.759998,19466200,62.759998
"15",62.610001,63.099998,51.490002,56.959999,41948500,56.959999
"16",56.73,56.73,49.16,52.16,35033800,52.16
"17",51.759998,62.439999,48.720001,58.720001,32020300,58.720001
"18",56.790001,62.360001,55.810001,62.23,24643700,62.23
"19",61.939999,67.82,61.869999,67.129997,17885900,67.129997
"20",67.949997,71.949997,64.93,65.870003,25237100,65.870003
"21",66.349998,68.349998,64.220001,65.25,15359200,65.25
"22",65.139999,71,64.300003,68.959999,17639100,68.959999
"23",68.68,69.809998,62.5,63.419998,23487800,63.419998
"24",63.419998,65.480003,58.259998,58.66,28867900,58.66
"25",57.43,61.810001,56.610001,60.77,22959800,60.77
"26",60.709999,61.549999,52.900002,54.580002,29418400,54.580002
"27",54.740002,60.709999,53.740002,58.790001,19221800,58.790001
"28",61.290001,64,58.560001,60.32,17314000,60.32
"29",60.470001,69.18,57,66.760002,24283300,66.760002
"30",66.239998,71.389999,65.910004,69.160004,20371900,69.160004
"31",69.269997,72.610001,68.949997,70.239998,13168800,70.239998
"32",71.260002,75.779999,69.519997,70.650002,20945600,70.650002
"33",71.07,72.330002,67.879997,70.629997,14367500,70.629997
"34",70.510002,74.5,69.800003,72,12424000,72
"35",72,73.199997,63.099998,65.139999,21183500,65.139999
"36",64.959999,70.709999,64.050003,67.010002,16774300,67.010002
"37",67.260002,70.870003,65.739998,67.449997,14879400,67.449997
"38",67.870003,74.93,65.699997,72.5,19905700,72.5
"39",73.199997,74.360001,70.099998,70.449997,10712100,70.449997
"40",70.650002,76.690002,70.470001,74.730003,16153900,74.730003
"41",74.849998,80.660004,72.080002,72.580002,21175000,72.580002
"42",72.669998,78.57,71.980003,78.050003,11253000,78.050003
"43",78.050003,80.400002,75.540001,77.690002,15873000,77.690002
"44",77.610001,84.239998,77.25,81.309998,19610700,81.309998
"45",81.400002,84.709999,77.510002,83.830002,11893300,83.830002
"46",82.970001,85.57,81.559998,83.989998,10523300,83.989998
"47",84.220001,86.599998,77.739998,79.550003,18491200,79.550003
"48",79.260002,83.449997,78.669998,82.449997,13394100,82.449997
"49",82.480003,85.269997,80.529999,83.139999,10214600,83.139999
"50",83.290001,87.849998,82.029999,82.150002,13629900,82.150002
"51",81.849998,85.779999,81.110001,85.019997,12163600,85.019997
"52",85.230003,86.169998,80,80.120003,13054600,80.120003
"53",80.279999,84.790001,76.730003,84.120003,21592600,84.120003
"54",84.580002,89.900002,83.25,88.510002,14203500,88.510002
"55",88.540001,89.169998,84.57,86.510002,12220100,86.510002
"56",87,95.699997,84.379997,92.559998,17254500,92.559998
"57",92.099998,94.169998,91.07,92.970001,13467700,92.970001
"58",92.970001,95.529999,92.080002,94.089996,12674000,94.089996
"59",94.220001,96.669998,87.160004,88.849998,14917400,88.849998
"60",88.889999,89.599998,85.709999,86.599998,17091300,86.599998
"61",86.529999,87.790001,85.550003,86.260002,6762000,86.260002
