"","stock_data$MWV.Open","stock_data$MWV.High","stock_data$MWV.Low","stock_data$MWV.Close","stock_data$MWV.Volume","stock_data$MWV.Adjusted"
"1",22.879999,25.040001,22.129999,22.200001,24314400,18.54111
"2",22.17,25.35,21.549999,23.959999,32220900,20.199354
"3",24.120001,24.43,20.809999,21.76,31638200,18.344657
"4",22.08,24.889999,22.08,24.379999,24549800,20.553433
"5",24.65,26.82,23.74,25.73,23617300,21.691544
"6",25.99,27.120001,24.639999,24.84,21235400,21.144943
"7",25.309999,27,24.870001,26.16,22097900,22.268587
"8",26.49,29.709999,26.280001,28.629999,31681900,24.371164
"9",28.780001,30.92,28.4,29.35,26677600,25.204148
"10",29.540001,30.459999,27.049999,30.33,34373900,26.045717
"11",30.530001,34.130001,30.4,33.689999,35060300,29.148167
"12",33.98,34.509998,32.34,34.02,27352400,29.43368
"13",33.849998,33.919998,30.51,33.310001,36077300,28.819398
"14",33.209999,34.23,30.77,31.139999,30604000,27.15388
"15",31.48,31.5,24.629999,27.52,48177200,23.997264
"16",27.66,28.190001,24.559999,24.559999,27085600,21.416162
"17",24.5,29.65,22.75,27.91,26239900,24.337341
"18",26.969999,29.92,26.9,29.85,31700700,26.259517
"19",29.82,30.549999,27.799999,29.950001,21375800,26.347489
"20",30.74,32.130001,29.129999,29.440001,27743600,26.118166
"21",29.639999,30.98,29.52,30.280001,21219200,26.863386
"22",30.450001,31.690001,30.1,31.59,23195800,28.025573
"23",31.34,32.5,30.129999,31.82,23563700,28.229621
"24",29.35,29.629999,26.719999,27.5,32342400,24.614584
"25",26.74,29.559999,26.15,28.75,21846500,25.733429
"26",28.76,29.6,27.73,28.4,22877100,25.643529
"27",28.48,29,26.969999,28.76,16435800,25.968588
"28",28.74,31.120001,28.41,30.6,17579300,27.63
"29",30.709999,31.34,29.299999,29.690001,19668800,26.808324
"30",29.629999,30.98,27.93,30.91,20528200,28.150347
"31",31.040001,31.93,30.110001,31.870001,17728700,29.024639
"32",32.240002,33.259998,31.190001,31.35,26434200,28.551065
"33",31.5,36.060001,31.139999,35.709999,24550100,32.781312
"34",35.490002,38.389999,35.139999,36.299999,21904200,33.322925
"35",36.32,36.740002,33.830002,34.48,25668100,31.882958
"36",34.34,36.470001,33.470001,35,29930200,32.363791
"37",35.09,35.900002,33.509998,34.110001,20286800,31.540827
"38",34.360001,37.41,33.950001,36.950001,15317700,34.404717
"39",37.18,37.73,35.619999,35.849998,11618800,33.380487
"40",36.290001,39.380001,36,38.380001,15704500,35.736212
"41",38.419998,39.330002,34.700001,34.849998,19601200,32.449372
"42",34.98,35.5,33.380001,35.110001,23720400,32.930576
"43",35.09,37.040001,34.650002,36.93,17885800,34.637601
"44",36.810001,37.990002,34.91,36.07,36895800,33.830984
"45",36.07,37.560001,33.59,37.43,25251200,36.402582
"46",37.029999,37.959999,35.919998,37.639999,34224500,36.606816
"47",37.689999,39.07,37.310001,39.07,26150200,37.997564
"48",39.09,40.77,38.619999,40.580002,32773000,39.71756
"49",42.490002,44.59,41.900002,44.259998,32974400,43.319346
"50",44.240002,44.720001,41.689999,41.799999,18093600,41.150487
"51",41.599998,43.240002,41.509998,43,12397500,42.331841
"52",43.099998,43.34,40.830002,40.939999,21018100,40.303849
"53",40.779999,44.220001,37.279999,44.169998,33117000,43.483659
"54",44.25,45.299999,43.529999,44.799999,13550000,44.351813
"55",44.580002,45.43,42.93,44.389999,13731800,43.945915
"56",44.549999,53.880001,42.490002,50.279999,41856900,49.776989
"57",51.27,55.150002,49.860001,53.060001,18908000,52.790989
"58",53.060001,53.310001,48.580002,49.869999,32779400,49.617159
"59",49.290001,49.740002,45.849998,48.799999,23280400,48.552585
"60",48.950001,51.900002,47.450001,50.540001,22399200,50.540001
"61",50.560001,50.75,48.490002,49.169998,7046400,49.169998
