"","stock_data$ZMH.Open","stock_data$ZMH.High","stock_data$ZMH.Low","stock_data$ZMH.Close","stock_data$ZMH.Volume","stock_data$ZMH.Adjusted"
"1",53.849998,56.470001,52.900002,54.049999,33218600,52.275364
"2",54.07,58.080002,51.5,52.990002,54445800,51.250169
"3",53.459999,54.950001,46.27,47.169998,43602600,45.621255
"4",47.720001,52.740002,47.549999,52.330002,39267700,50.611839
"5",52.509998,52.889999,47.09,47.439999,55341800,45.882391
"6",47.740002,52.490002,47.52,49.259998,47238300,47.642634
"7",49.75,54.990002,49.599998,53.68,36482000,51.917513
"8",54.099998,60.68,52.150002,59.16,47838500,57.217587
"9",59.349998,65.220001,58.830002,62.34,38217100,60.293177
"10",63.330002,63.400002,59.119999,60.529999,28192300,58.542604
"11",60.869999,66.75,59.490002,65.25,34535800,63.107632
"12",65.660004,69.93,65.449997,67.760002,36762300,65.535223
"13",67.68,68.059998,60.73,63.200001,32924200,61.124941
"14",62.970001,66.029999,59.25,60.02,34184500,58.049351
"15",60.41,60.439999,49.919998,56.889999,69161000,55.022118
"16",56.869999,58.169998,52.23,53.48,57902900,51.724079
"17",53.009998,55.43,49.669998,52.630001,40495400,50.901989
"18",51.619999,54.119999,47.25,50.549999,45158600,48.89028
"19",50.470001,54.060001,47,53.419998,44761700,51.666048
"20",54.48,61.889999,52.700001,60.75,37802000,58.755382
"21",60.639999,63.02,59.759998,60.75,34820100,58.755382
"22",60.869999,64.809998,59.669998,64.279999,25351000,62.344137
"23",64.5,66.410004,60.279999,62.93,39706600,61.034795
"24",62.990002,64.839996,58.57,60.650002,32893300,58.823461
"25",59.759998,64.410004,58.23,64.360001,26262900,62.603866
"26",64.269997,65.559998,57.459999,58.93,28757300,57.32203
"27",59.209999,62.990002,57.599998,61.779999,23022400,60.094263
"28",61.860001,67.900002,61.830002,67.620003,23137300,65.95068
"29",67.769997,69,61.970001,64.209999,35188000,62.624859
"30",64.120003,67.279999,63.560001,65.970001,24277400,64.341412
"31",66.220001,69.089996,65.139999,66.660004,21906200,65.187856
"32",67.599998,75.910004,67.339996,74.599998,25043500,72.952501
"33",74.660004,76.75,72.529999,74.959999,20824000,73.304551
"34",74.57,76.419998,72.239998,75.220001,20392500,73.761119
"35",75.029999,77.529999,72.309998,76.449997,24412200,74.967259
"36",76.050003,81.919998,75.120003,78.510002,20621700,76.98731
"37",78.769997,80.550003,74.550003,74.940002,21162000,73.683115
"38",75.169998,85.080002,74.849998,83.480003,22224900,82.079884
"39",83.900002,84.75,78,79.089996,16787900,77.763506
"40",80.040001,84.349998,78.300003,82.139999,20434100,80.955499
"41",82.290001,89.93,80.550003,87.470001,31623700,86.208639
"42",87.870003,91.589996,87.300003,91.410004,23004700,90.091825
"43",91.239998,93.699997,89.580002,93.190002,19442600,92.043186
"44",92.629997,97.860001,91.970001,93.970001,25172100,92.813586
"45",94,96.849998,90.769997,93.839996,21799000,92.685181
"46",92.959999,98.949997,91.419998,94.580002,24601100,93.637636
"47",94.309998,108.330002,90.480003,96.800003,43608300,95.835518
"48",97,104.379997,96.339996,104.349998,35492500,103.310287
"49",104.309998,107.660004,103.400002,103.860001,23921200,103.042812
"50",103.760002,105.470001,98.400002,100.07,24332500,99.282632
"51",100.080002,101.209999,94.730003,99.309998,24467700,98.52861
"52",99.720001,105.68,98.809998,100.550003,25796800,99.973603
"53",100.629997,111.290001,95.330002,111.239998,28560000,110.602317
"54",111.18,113,107.809998,112.290001,15523500,111.646301
"55",112.190002,116.139999,108.769997,113.419998,18561000,112.988883
"56",114.209999,120.699997,111.199997,112.099998,27879200,111.673901
"57",112.480003,121.839996,111.059998,120.389999,19434700,119.932391
"58",120.389999,121.540001,114.510002,117.519997,26872200,117.289646
"59",118.220001,119.099998,108.540001,109.839996,21100700,109.624699
"60",110.169998,114.910004,109.230003,114.089996,25080400,114.089996
"61",114.580002,115.220001,112.339996,113.660004,7162300,113.660004
