"","stock_data$BK.Open","stock_data$BK.High","stock_data$BK.Low","stock_data$BK.Close","stock_data$BK.Volume","stock_data$BK.Adjusted"
"1",25.66,26.91,24.629999,24.690001,145468400,22.424775
"2",24.6,26.950001,24.129999,25.07,190207700,22.848549
"3",25.450001,25.91,23.780001,24.26,145429500,22.110323
"4",24.52,26.5,24.389999,26.129999,126833800,23.814622
"5",26.51,27.110001,24.65,25.059999,198637600,22.921854
"6",25.190001,28.24,24.77,26.99,185708700,24.687184
"7",27.379999,30.629999,27.27,30.200001,126443600,27.623304
"8",30.469999,32.5,30.379999,31.23,146068600,28.646729
"9",31.4,32.32,29.879999,30.389999,116717500,27.876212
"10",30.549999,30.92,28.07,29.870001,172009800,27.399226
"11",29.93,30.77,28.139999,28.959999,134347000,26.685371
"12",29.139999,29.25,27.18,28.110001,124005200,25.902135
"13",28.030001,28.030001,24.15,25.620001,211112600,23.607709
"14",25.51,26.43,24.42,25.110001,168208900,23.255355
"15",25.35,25.530001,18.77,20.67,375913800,19.143297
"16",20.200001,21.84,18.280001,18.59,325230400,17.216927
"17",18.43,22.57,17.1,21.280001,289013700,19.831242
"18",20.389999,21.99,17.67,19.459999,222012100,18.135147
"19",19.48,20.25,18.42,19.91,153412800,18.554511
"20",20.4,22.08,19.74,20.129999,203258200,18.878844
"21",20.360001,22.51,20.33,22.110001,155135200,20.735781
"22",22.219999,24.700001,21.540001,24.129999,174120200,22.630229
"23",24.09,24.719999,22.360001,23.65,167021500,22.302658
"24",23.58,24.209999,19.99,20.360001,191741100,19.20009
"25",19.93,21.959999,19.299999,21.950001,141840800,20.699508
"26",22.09,22.379999,20.129999,21.280001,133092900,20.195123
"27",21.43,23.1,20.42,22.540001,124989200,21.390887
"28",22.49,23.92,22.27,22.620001,121988000,21.466808
"29",22.84,25.26,22.629999,24.709999,145856300,23.574737
"30",24.82,25.35,23.389999,23.940001,141978100,22.840115
"31",24.07,26.25,23.26,25.700001,125876700,24.519254
"32",26.25,27.450001,25.620001,27.16,154987900,26.037869
"33",27.309999,28.450001,26.67,27.139999,107558300,26.018695
"34",26.99,29.129999,26.74,27.99,102945300,26.833577
"35",27.91,29.02,26.639999,28.219999,126584100,27.200577
"36",28.129999,30.85,27.620001,30.059999,124805000,28.974109
"37",30.16,30.49,27.540001,28.049999,129530200,27.036718
"38",28.219999,32.360001,28.01,31.450001,127658700,30.457022
"39",31.83,32.25,29.52,29.74,84548300,28.801012
"40",30.129999,31.91,29.82,30.190001,83439500,29.236805
"41",30.290001,32.23,29.549999,31.799999,118259900,30.942944
"42",31.93,34.259998,31.9,33.700001,90555400,32.791737
"43",33.790001,34.990002,32.740002,34.939999,76651200,33.998316
"44",34.299999,35.66,31.66,31.959999,124890700,31.244089
"45",31.889999,32.27,30.82,32,93569800,31.283194
"46",31.639999,35.880001,31.4,35.290001,151913300,34.499498
"47",35.810001,35.860001,32.66,33.869999,112874700,33.278932
"48",33.919998,34.950001,33.27,34.560001,91921800,33.956893
"49",34.560001,37.950001,34.27,37.48,105469000,36.825934
"50",37.849998,40.060001,37.119999,39.040001,139793700,38.523382
"51",39,39.689999,37.900002,39.18,110580500,38.661529
"52",39.299999,40.799999,37.459999,38.73,116841300,38.217483
"53",38.700001,39.09,35.060001,38.720001,134568600,38.386502
"54",38.759998,40.400002,38.310001,40.029999,71602800,39.685216
"55",39.950001,41.790001,39.290001,40.57,97836800,40.220566
"56",40.75,40.779999,35.630001,36,122903600,35.85721
"57",36.119999,40.029999,36.029999,39.139999,112162600,38.984755
"58",39.139999,41.450001,38.880001,40.240002,138642100,40.080394
"59",40.220001,43.110001,39.869999,42.34,95572700,42.34
"60",42.610001,44.099998,42.200001,43.360001,107156100,43.360001
"61",43.490002,43.990002,42.630001,43.740002,57703600,43.740002
