"","stock_data$EMR.Open","stock_data$EMR.High","stock_data$EMR.Low","stock_data$EMR.Close","stock_data$EMR.Volume","stock_data$EMR.Adjusted"
"1",45.080002,48.709999,42.689999,43.689999,67359100,37.888889
"2",43.5,51.169998,42.73,49.540001,108238800,42.962135
"3",50.299999,51.799999,44.869999,46.650002,95608300,40.724691
"4",47.43,53.82,47.139999,52.66,87002900,45.971321
"5",53.040001,55.439999,52.119999,54.900002,72029000,47.926806
"6",55.34,57.290001,53.73,55.07,81310100,48.36869
"7",55.93,58.740002,55.700001,57.169998,68226600,50.213146
"8",57.610001,59.689999,56.16,58.880001,79519200,51.715064
"9",58.32,62.240002,57.73,59.66,69050500,52.696579
"10",60.040001,60.650002,55.860001,58.43,104200600,51.610143
"11",58.860001,60.84,55.720001,60.77,75354700,53.677023
"12",61.080002,61.290001,52.470001,54.549999,138542200,48.48511
"13",54.369999,56.27,50.84,56.25,119264600,49.996104
"14",55.880001,58.470001,48.599998,49.09,117092800,43.632156
"15",49.75,50.029999,41.369999,46.549999,205336600,41.696154
"16",46.490002,46.740002,41.310001,41.310001,145127500,37.002539
"17",41.040001,50.700001,39.5,48.119999,118417100,43.102447
"18",46.650002,52.48,45.169998,52.25,101233300,47.172587
"19",51.990002,52.639999,45,46.59,96228300,42.0626
"20",48.240002,52.759998,47,51.380001,98453600,46.387131
"21",52.080002,53.779999,50.110001,50.310001,91334500,45.775823
"22",50.310001,52.689999,48.630001,52.18,82271200,47.477289
"23",52.240002,53.009998,49.310001,52.540001,71792700,47.804845
"24",50,50.41,45.790001,46.77,110569100,42.903961
"25",45.939999,47.439999,43.75,46.580002,96489200,42.729667
"26",46.759998,48.34,43.59,47.77,76712400,43.8213
"27",48.09,52.98,46.77,50.720001,74719700,46.889462
"28",50.619999,50.950001,47.779999,48.27,83644700,44.624493
"29",47.75,49.860001,47.099998,48.43,72210200,44.772409
"30",48.84,52.810001,47.630001,50.23,84986300,46.821092
"31",50.560001,53.619999,49.380001,52.959999,62572500,49.365817
"32",53.959999,57.900002,53.830002,57.25,72654300,53.364673
"33",57.650002,58.669998,55.57,56.700001,69842300,53.227749
"34",56.41,57.84,54.73,55.869999,68334700,52.448576
"35",55.59,57.369999,53.09,55.509998,83323100,52.110621
"36",55.200001,60.080002,54.27,57.459999,87998500,54.318673
"37",57.619999,58.130001,53.419998,54.540001,69105300,51.55831
"38",54.580002,61.810001,54.549999,61.369999,66937400,58.014914
"39",61.98,62.91,60.139999,60.369999,63985200,57.44698
"40",61.060001,66.790001,60.48,64.699997,64853800,61.567326
"41",64.720001,67.489998,62.73,66.970001,64493900,63.727421
"42",67.269997,68.440002,65.470001,66.989998,52658400,64.162587
"43",66.989998,70.660004,65.970001,70.18,51539800,67.21795
"44",69.830002,70.290001,64.650002,65.940002,65262900,63.156908
"45",65.860001,66.300003,62.25,65.260002,70083000,62.922182
"46",64.800003,67.360001,62.419998,66.800003,75185500,64.407015
"47",66.639999,69.940002,64.699997,68.18,65452400,65.737577
"48",68.120003,68.650002,65.18,66.730003,50906700,64.747276
"49",66.870003,68.800003,66.099998,66.360001,59706400,64.388267
"50",66.18,68.230003,63.639999,63.650002,64780100,61.75879
"51",63.27,65.160004,60.849998,64.019997,58429100,62.546945
"52",64.330002,65.480003,62.009998,62.580002,66093700,61.140084
"53",62.02,64.519997,57.759998,64.059998,95812200,62.586026
"54",64.239998,65.940002,63.099998,63.75,58795700,62.739912
"55",63.290001,65.160004,57.799999,61.73,93319200,60.751917
"56",61.84,62.25,55.810001,56.939999,129141000,56.037811
"57",57.060001,60,56.75,57.919998,120711200,57.46765
"58",57.919998,58.509998,54.950001,56.619999,111287600,56.177804
"59",56.259998,59.360001,55.25,58.830002,99118000,58.370547
"60",59.040001,62.75,57.5,60.310001,104944900,60.310001
"61",60.639999,60.82,58.630001,59.77,25701800,59.77
