"","stock_data$BMS.Open","stock_data$BMS.High","stock_data$BMS.Low","stock_data$BMS.Close","stock_data$BMS.Volume","stock_data$BMS.Adjusted"
"1",28.08,29.780001,26.98,27,12301100,23.378762
"2",27.049999,31.459999,26.58,29.959999,24699400,25.941766
"3",30.290001,30.5,28.059999,28.870001,18379100,25.192726
"4",29.200001,32,29.200001,31.75,14301900,27.705889
"5",31.879999,34.25,31.02,31.76,19879800,27.714615
"6",31.799999,32.16,30.01,31.42,19931100,27.622866
"7",31.799999,33.419998,31.799999,32.66,12749900,28.713011
"8",32.810001,33.169998,31.950001,32.549999,16114800,28.616304
"9",30.65,33.32,30.129999,32.849998,22135900,29.091623
"10",32.950001,33.150002,31.190001,32.810001,16438800,29.056202
"11",32.950001,33.400002,31,31.34,18004400,27.754384
"12",31.41,33.57,31.059999,33.119999,16183100,29.548468
"13",33.080002,33.830002,31.200001,33.779999,23892800,30.137297
"14",33.810001,34.400002,31.16,31.6,18089900,28.192381
"15",31.93,31.98,28.41,31.059999,30663100,27.937592
"16",30.99,31.25,28.620001,29.309999,19043900,26.363517
"17",29.1,32.16,27.35,28.110001,22730400,25.284152
"18",27.49,29.51,27.209999,29.49,18428000,26.75133
"19",29.450001,30.18,28.73,30.08,15238900,27.286539
"20",30.559999,32.439999,29.629999,31.280001,19988300,28.375098
"21",31.48,32.380001,30.76,31.370001,13356800,28.683885
"22",31.48,32.790001,31.139999,32.290001,14060000,29.525108
"23",32.189999,33.48,30.870001,32.389999,15556200,29.616544
"24",32.369999,32.889999,29.73,30.360001,16805100,27.982237
"25",29.860001,32.400002,29.52,31.34,16485800,28.885484
"26",31.24,31.700001,29.91,30.75,24523800,28.341692
"27",30.790001,30.950001,29.59,30.26,17683500,28.120108
"28",30.26,32.080002,29.93,31.469999,12853500,29.24454
"29",31.5,33.799999,31.33,33.049999,14144800,30.712807
"30",33,33.93,32.18,33.599998,15528400,31.461466
"31",33.740002,33.779999,32.560001,33.459999,10104400,31.330377
"32",33.869999,36.23,33.650002,35.68,17571400,33.409083
"33",36.290001,37.700001,35.75,37.34,15084400,35.209184
"34",37.209999,40.41,37.09,40.360001,13660800,38.056847
"35",40.400002,41.220001,38.560001,39.349998,23640000,37.104481
"36",39.25,41.040001,38.93,39.150002,14743100,37.153534
"37",39.18,40.27,37.810001,39.139999,11371600,37.144041
"38",39.419998,42,39.049999,41.189999,13042800,39.0895
"39",41.57,42.34,39.709999,39.790001,8514100,38.003852
"40",40.290001,40.73,38.400002,39.009998,15633100,37.258863
"41",39.119999,40.200001,37.880001,39.900002,17317600,38.108915
"42",40.02,40.189999,38.66,39.029999,10387600,37.527895
"43",39.049999,41.02,38.139999,40.959999,12198700,39.383617
"44",40.900002,40.990002,37.490002,38.509998,17575900,37.027907
"45",38.470001,39.689999,37.009998,39.279999,14112400,38.032113
"46",39.25,39.689999,37.580002,39.240002,13783700,37.993387
"47",39.560001,41.139999,39.130001,40.240002,13522600,38.961618
"48",40.220001,41.580002,39.950001,41.41,11767200,40.357648
"49",41.369999,41.490002,40.240002,40.66,10569800,39.626708
"50",40.700001,41.02,38.970001,39.009998,14176800,38.018638
"51",38.889999,40.779999,38.84,40.740002,10568000,39.97539
"52",40.709999,40.919998,37.720001,38.02,10507300,37.306438
"53",38,39.889999,34.34,38.470001,21884700,37.747993
"54",38.459999,40.25,37.91,39.939999,11628100,39.463189
"55",39.860001,47.200001,39.639999,45.209999,61563100,44.670275
"56",45.220001,46.75,43.75,44.299999,22725000,43.771139
"57",44.52,49.439999,43.740002,48.799999,21973400,48.505961
"58",48.799999,48.900002,45.59,46.310001,19413800,46.030966
"59",45.919998,47.220001,43.5,45,24645100,44.728858
"60",45.25,47.650002,44.91,45.939999,14209300,45.939999
"61",45.98,46.34,45.139999,46.060001,3758300,46.060001
