"","stock_data$MJN.Open","stock_data$MJN.High","stock_data$MJN.Low","stock_data$MJN.Close","stock_data$MJN.Volume","stock_data$MJN.Adjusted"
"1",50.279999,55.240002,49.84,50.119999,29393500,46.202725
"2",50.330002,54.900002,49.549999,53.139999,32084900,48.986689
"3",54.259998,54.66,50.509998,52.189999,25799300,48.110938
"4",53.599998,58.040001,53.369999,56.91,26388000,52.673894
"5",56.990002,59.860001,55.580002,58.82,25320700,54.441723
"6",59.150002,60.970001,58.34,59.57,26615200,55.135896
"7",60.650002,63.380001,59.869999,62.25,25772400,57.826333
"8",62.450001,63.299999,57.650002,57.970001,28724100,53.850484
"9",58.27,61.459999,57.369999,59.849998,28812800,55.596883
"10",60.09,60.439999,55.119999,57.93,31729000,54.062818
"11",58.330002,67.440002,57.869999,66.879997,30986800,62.415348
"12",67.040001,68.849998,64.760002,67.790001,27664800,63.264603
"13",67.470001,67.760002,63.779999,67.550003,25580700,63.291706
"14",67.339996,72.860001,66.790001,71.370003,26469800,66.870896
"15",71.709999,72,64.779999,71.25,47996500,66.758458
"16",71.089996,76.910004,68.129997,68.830002,30426300,64.714077
"17",68.739998,75.199997,66.349998,71.849998,27888300,67.553482
"18",70.169998,75.440002,68.959999,75.360001,24516100,70.853592
"19",75,76.529999,60.619999,68.730003,75981900,64.852378
"20",72,77.400002,70.379997,74.089996,39206200,69.909969
"21",74.269997,78.75,73.290001,77.75,25728700,73.363482
"22",77.75,83.949997,77.449997,82.480003,20746500,78.118221
"23",82.610001,87.269997,80.580002,85.559998,30502400,81.035336
"24",85.510002,86.190002,80.43,80.739998,28500500,76.470232
"25",80.25,88.720001,77.720001,80.510002,40764300,76.520391
"26",80.300003,82.300003,68.089996,72.959999,68488800,69.344523
"27",73.260002,74.790001,69.760002,73.330002,33355900,69.69619
"28",73.5,78.150002,72.419998,73.279999,35406900,69.930036
"29",73.260002,74.25,61.27,61.66,49582300,58.84124
"30",62.02,69,61.990002,68.190002,48202100,65.072727
"31",68.410004,68.550003,64.5,65.889999,30104500,63.164803
"32",66.779999,77.220001,65.379997,76,44137000,72.856657
"33",75.389999,81.040001,74.239998,74.910004,37002200,71.811742
"34",74.739998,77.599998,70.010002,77.449997,35631000,74.585118
"35",77.260002,82.410004,74.440002,81.089996,35070500,78.090474
"36",81.25,86.870003,78.07,81.07,32549300,78.071217
"37",81.050003,83.68,76.220001,79.230003,23096900,76.621581
"38",79.620003,80.980003,66.800003,72.839996,69172800,70.441947
"39",73.230003,80.379997,72.5,75.029999,33615900,72.55985
"40",74.910004,78.68,73.790001,74.260002,26662400,72.142688
"41",74.449997,84,73.690002,81.660004,40334900,79.331699
"42",81.860001,86.629997,78.940002,84.510002,29805300,82.100438
"43",84.690002,86.199997,82.059998,83.760002,27066500,81.698615
"44",82.779999,85,74.860001,76.889999,38854300,74.997687
"45",76.779999,82.400002,73.230003,81.550003,51073400,79.543005
"46",81.379997,84.760002,80.860001,83.139999,28272500,81.459574
"47",83.199997,88.870003,81.230003,88.260002,38283000,86.476091
"48",88.029999,89.639999,84.970001,89.470001,20742000,87.661634
"49",89.400002,93.43,85.889999,93.169998,27167800,91.660955
"50",93,98.360001,91.410004,91.440002,28513500,89.958979
"51",91.480003,96.089996,91.150002,95.599998,19144400,94.051597
"52",95.480003,98.5,93.870003,96.220001,27122900,95.03108
"53",96,104.889999,89.339996,99.309998,41710500,98.082895
"54",99.540001,104.669998,98,103.839996,19691300,102.55692
"55",103.510002,104.43,95.059998,100.540001,24408300,99.66849
"56",100.620003,103.760002,97.089996,98.489998,24923300,97.636257
"57",98.660004,105.449997,97.220001,104.760002,17312000,103.851911
"58",104.760002,105.129997,98.169998,100.529999,19859400,100.077425
"59",100.550003,104.339996,95.349998,95.919998,31598600,95.488178
"60",96.050003,98.339996,94.480003,97.300003,24626300,96.86197
"61",97.300003,97.540001,89.260002,90.949997,13501300,90.540551
