"","stock_data$NUE.Open","stock_data$NUE.High","stock_data$NUE.Low","stock_data$NUE.Close","stock_data$NUE.Volume","stock_data$NUE.Adjusted"
"1",41.900002,43.279999,38.18,38.279999,74991500,32.393675
"2",38.330002,40.66,36.950001,39.139999,82366300,33.121434
"3",39.720001,40.490002,35.709999,36.779999,66023700,31.124331
"4",37.32,40.900002,36.919998,38.200001,78724700,32.638895
"5",38.610001,40.43,37.02,38.220001,79543100,32.655984
"6",38.389999,40.939999,37,37.740002,75442600,32.245862
"7",38.490002,44.869999,38.41,43.82,100899800,37.748251
"8",44.240002,46.73,42.810001,45.91,89953600,39.548658
"9",46.240002,49.240002,46.16,47.959999,61896100,41.314607
"10",48.09,48.48,44.34,46.02,90955100,39.957096
"11",46.419998,48,44.200001,46.959999,60316600,40.773255
"12",46.98,47,41.139999,42.34,74087000,36.761918
"13",42.060001,42.060001,38.900002,41.220001,91425500,36.121592
"14",41.18,41.700001,38.27,38.889999,63593600,34.079783
"15",39.5,39.599998,31.35,36.080002,104318700,31.617348
"16",36.02,36.349998,30.719999,31.639999,88758100,28.03071
"17",31.4,39.84,29.82,37.779999,85433400,33.470297
"18",36.200001,39.98,35.25,39.43,72064000,34.932077
"19",39.150002,41.57,37.98,39.57,74697800,35.374917
"20",40.540001,44.990002,40.080002,44.490002,54938100,39.773316
"21",44.919998,45.75,42.849998,43.529999,51788100,38.91509
"22",43.759998,45.200001,41.09,42.950001,66879800,38.721711
"23",42.959999,43.990002,38.419998,39.209999,65375800,35.349901
"24",39.119999,39.830002,34.23,35.759998,66579100,32.239541
"25",35.080002,38.639999,35,37.900002,91425600,34.51401
"26",37.919998,39.380001,36.610001,39.200001,51353200,35.697867
"27",39.349998,40.970001,37.549999,37.650002,41336800,34.286345
"28",37.689999,40.93,36.860001,38.259998,69849100,35.176201
"29",38.419998,41.48,37.700001,40.130001,47279600,36.895479
"30",40.32,42,38.830002,41.18,39400600,37.860847
"31",41.369999,44,40.18,43.16,47313300,40.017019
"32",44.099998,48.369999,44.09,46.009998,53654600,42.659476
"33",46.470001,48.599998,43.41,45.049999,47613800,41.769385
"34",44.689999,47.990002,43.98,46.150002,56240700,43.134245
"35",46.16,46.240002,41.32,43.619999,61739100,40.76957
"36",43.459999,47.400002,42.650002,44.509998,39351200,41.601411
"37",44.650002,45.52,42.220001,43.32,41310500,40.832247
"38",43.68,47.34,43.110001,46.779999,38363600,44.093548
"39",47.169998,49.689999,45.32,45.490002,39249200,42.877632
"40",46.009998,51.25,45.490002,49.02,41976300,46.545444
"41",48.889999,52.27,47.369999,51.77,37883600,49.156623
"42",51.889999,54.73,50.419998,51.060001,32228500,48.482465
"43",51.150002,54.169998,50.330002,53.380001,31869800,51.037331
"44",53.290001,53.400002,47.77,48.349998,44831100,46.228078
"45",48.25,51.549999,46.389999,50.240002,39759000,48.035136
"46",49.889999,51.98,47.880001,50.540001,43647600,48.677136
"47",50.799999,52.73,50.259998,51.75,40244800,49.842536
"48",51.650002,53.369999,50.439999,50.630001,26638900,48.763819
"49",50.740002,52.220001,48.720001,49.25,35423300,47.786122
"50",49.43,52.939999,49.029999,50.220001,36674700,48.727292
"51",49.889999,54.599998,49.52,54.32,27846000,52.705424
"52",54.32,58.759998,53.84,54.279999,44781000,53.021691
"53",54.279999,54.290001,47.27,54.060001,62790200,52.806793
"54",53.849998,55.310001,52,53.630001,29348400,52.386761
"55",53.68,55.290001,48.27,49.049999,43314900,48.278936
"56",49.23,49.43,42.93,43.650002,56014900,42.963826
"57",43.869999,49.169998,43.509998,47.029999,46817100,46.29069
"58",47.09,49.48,45.450001,47.529999,60071800,47.155186
"59",46.84,49.599998,45.59,48.860001,49568500,48.4747
"60",49.299999,49.810001,47.009998,47.299999,32529300,46.927
"61",47.580002,50.700001,47,48.900002,15379600,48.514385
