"","stock_data$TDC.Open","stock_data$TDC.High","stock_data$TDC.Low","stock_data$TDC.Close","stock_data$TDC.Volume","stock_data$TDC.Adjusted"
"1",31.33,34.610001,30.4,30.48,26910600,30.48
"2",30.389999,33.73,29.370001,31.799999,28495900,31.799999
"3",32.189999,34.299999,29.120001,32.740002,39286800,32.740002
"4",33.110001,39.349998,33.07,38.560001,44128200,38.560001
"5",39,39.98,36.830002,39.360001,28191400,39.360001
"6",39.77,41.98,38.509998,41.09,27931200,41.09
"7",41.610001,43.830002,41.02,41.16,23624100,41.16
"8",41.599998,46.709999,41.59,42.990002,33255200,42.990002
"9",43.360001,49.75,43.27,47.82,31324800,47.82
"10",47.950001,51.400002,46.09,50.700001,37778900,50.700001
"11",50.889999,56.110001,49.32,55.919998,25681100,55.919998
"12",56.509998,56.580002,51.43,55.790001,32825900,55.790001
"13",55.709999,60.400002,52.639999,60.200001,38313600,60.200001
"14",60.25,62.709999,53.509998,54.959999,37536100,54.959999
"15",55.66,58.369999,43.189999,52.360001,72032400,52.360001
"16",52.330002,58.049999,47.040001,53.529999,41436900,53.529999
"17",52.799999,62.619999,49.25,59.66,43094500,59.66
"18",57.73,58.889999,49.459999,54.23,39039200,54.23
"19",54.009998,54.970001,43.77,48.509998,38839400,48.509998
"20",49.669998,54.48,47.330002,53.560001,30079100,53.560001
"21",54.009998,67.019997,53.580002,66.550003,38790700,66.550003
"22",66.790001,69.699997,63.369999,68.150002,25800400,68.150002
"23",68.269997,71.019997,66.120003,69.779999,24597700,69.779999
"24",70.660004,79.889999,65,66.480003,57314900,66.480003
"25",64.860001,73.739998,64.110001,72.010002,34227300,72.010002
"26",71.949997,73.339996,62.049999,67.620003,38107700,67.620003
"27",67.889999,77.879997,64.440002,76.379997,35004900,76.379997
"28",76.379997,80.970001,72.480003,75.410004,30438900,75.410004
"29",75.669998,77.029999,66.150002,68.309998,35534600,68.309998
"30",60.650002,65.459999,58.639999,59.48,52624400,59.48
"31",60,64.25,56.099998,61.889999,30635300,61.889999
"32",63.130001,69.650002,60.650002,66.660004,30941700,66.660004
"33",67.150002,67.910004,57.849998,58.060001,47978200,58.060001
"34",58.240002,60.119999,55.75,58.509998,35506500,58.509998
"35",58.650002,58.650002,49.200001,51.07,64991500,51.07
"36",51.040001,58.549999,48.810001,55.75,60062100,55.75
"37",55.759998,57.68,48.110001,50.23,38455400,50.23
"38",50.599998,59.889999,49.580002,59.119999,30424700,59.119999
"39",61.650002,65.959999,58.34,58.560001,29440500,58.560001
"40",59.299999,61.009998,55.25,55.439999,28805700,55.439999
"41",55.439999,55.849998,41.110001,44.07,91171100,44.07
"42",44.34,46,42.349998,45.639999,41550500,45.639999
"43",45.490002,45.939999,39.16,45.490002,60347900,45.490002
"44",45.330002,49.150002,40.849998,41.119999,44782700,41.119999
"45",41.310001,47.07,39.5,45.919998,61084400,45.919998
"46",45.5,49.490002,44.470001,49.189999,41544800,49.189999
"47",49.360001,49.57,44.080002,45.459999,35937400,45.459999
"48",45.459999,46.240002,37.66,41.990002,62037400,41.990002
"49",41.990002,44.799999,39.990002,40.200001,40234700,40.200001
"50",40.32,43.580002,39.919998,42.16,44885600,42.16
"51",41.970001,45.990002,41.220001,45.669998,35413800,45.669998
"52",45.790001,46.639999,40.799999,41.919998,32434600,41.919998
"53",41.959999,42.57,39.540001,42.32,41887900,42.32
"54",42.299999,45.639999,40.900002,45.139999,33747200,45.139999
"55",44.889999,45.619999,40.310001,43.68,36259100,43.68
"56",43.970001,46.720001,41.830002,44.560001,33057200,44.560001
"57",44.59,47.029999,41.18,44.52,47743300,44.52
"58",44.549999,45.029999,41.66,44.139999,33673200,44.139999
"59",44.16,46,42.52,43.990002,24025400,43.990002
"60",44.150002,45.650002,38.400002,38.939999,42343000,38.939999
"61",38.950001,40.209999,38.470001,39.040001,9164000,39.040001
