"","stock_data$WFC.Open","stock_data$WFC.High","stock_data$WFC.Low","stock_data$WFC.Close","stock_data$WFC.Volume","stock_data$WFC.Adjusted"
"1",27.52,28.5,25.52,25.6,641104000,22.776346
"2",25.540001,28.77,24.6,27.73,800299500,24.671409
"3",28.290001,28.58,23.02,23.549999,811768100,20.989779
"4",23.91,26.959999,23.76,25.120001,745446900,22.389099
"5",25.299999,26.58,23.370001,26.059999,1025608100,23.226907
"6",26.030001,29.360001,25.6,27.209999,686309700,24.298667
"7",27.58,31.610001,27.200001,30.99,614774500,27.674227
"8",31.299999,32.990002,30.639999,32.419998,683995900,28.951223
"9",32.610001,34.25,30.799999,32.259998,707641800,28.851481
"10",32.34,32.970001,29.82,31.709999,711238900,28.422856
"11",32.09,32.630001,28.209999,29.110001,828884300,26.09238
"12",29.34,29.549999,27.379999,28.370001,618422100,25.532919
"13",28.360001,28.360001,25.26,28.059999,894779600,25.253919
"14",28.08,29.629999,26.370001,27.940001,674137600,25.14592
"15",28.370001,28.440001,22.58,26.1,1181099400,23.594093
"16",26.110001,26.24,22.700001,24.120001,894820200,21.804197
"17",24.049999,27.540001,22.610001,25.91,988797700,23.422335
"18",24.780001,26.629999,23.190001,25.860001,717310700,23.490939
"19",25.620001,27.969999,25.18,27.559999,600958300,25.0352
"20",27.940001,31.040001,27.940001,29.209999,707418200,26.534041
"21",29.629999,31.9,29.549999,31.290001,574647800,28.540742
"22",31.559999,34.59,29.99,34.139999,697532800,31.232134
"23",33.830002,34.59,32.43,33.419998,511250200,30.573459
"24",33.549999,34.299999,30.52,32.049999,636432600,29.510597
"25",31.4,33.439999,29.799999,33.439999,638521500,30.790463
"26",33.669998,34.400002,32.619999,33.810001,494208900,31.13115
"27",33.919998,34.799999,32.84,34.029999,414112100,31.538026
"28",34.040001,36.599998,33.73,34.529999,528817300,32.001411
"29",34.779999,36.34,33.5,33.689999,605743100,31.222923
"30",33.75,34.41,31.25,33.009998,444703800,30.790091
"31",33.18,35.189999,32.41,34.18,465866000,31.881411
"32",35.029999,35.459999,34.43,34.830002,524971600,32.719622
"33",35.060001,35.950001,34.52,35.080002,461294400,32.954474
"34",34.939999,38.200001,34.849998,36.990002,443204500,34.748746
"35",37.02,38.040001,36.189999,37.98,468022100,35.678759
"36",37.900002,41.59,37.290001,40.549999,461672500,38.392986
"37",40.830002,41.740002,39.400002,41.27,433603700,39.074687
"38",41.560001,44.790001,40.790001,43.5,457853600,41.186064
"39",44.189999,44.740002,40.919998,41.080002,321439400,39.161624
"40",41.650002,43.830002,40.889999,41.32,366625700,39.390415
"41",41.369999,43.400002,40.07,42.689999,426027500,40.696437
"42",42.720001,44.75,41.709999,44.02,315449500,42.261737
"43",44.110001,45.639999,43.209999,45.400002,325412900,43.586617
"44",45.150002,46.84,44.91,45.34,387760100,43.529012
"45",45.310001,46.650002,44.169998,46.419998,303124800,44.866521
"46",46.110001,49.970001,45.959999,49.740002,367718800,48.075419
"47",49.880001,50.490002,46.720001,49.639999,374101800,47.978763
"48",49.740002,50.82,48.66,50.779999,283041300,49.433055
"49",50.939999,53.049999,50.75,52.560001,291448300,51.165843
"50",52.73,53.080002,50.610001,50.900002,350025700,49.549875
"51",50.5,51.75,49.470001,51.439999,243207400,50.42573
"52",51.709999,53.799999,51,51.869999,272756800,50.847251
"53",51.84,53.169998,46.439999,53.09,438595700,52.043197
"54",53.220001,54.740002,52.869999,54.48,238267000,53.759
"55",54.419998,55.950001,52.73,54.82,356421500,54.094501
"56",55.110001,55.189999,50.419998,51.919998,388756400,51.232879
"57",52.189999,55.580002,51.990002,54.790001,277774500,54.42126
"58",54.790001,56.290001,53.290001,54.400002,348820200,54.033885
"59",54.419998,55.759998,53.560001,55.099998,309923300,54.729171
"60",55.259998,56.700001,54.450001,55.959999,263839500,55.959999
"61",56.240002,57.57,55.740002,57.209999,126000600,57.209999
