"","stock_data$HAL.Open","stock_data$HAL.High","stock_data$HAL.Low","stock_data$HAL.Close","stock_data$HAL.Volume","stock_data$HAL.Adjusted"
"1",23.219999,27.74,23.120001,24.549999,276323700,23.206245
"2",25.18,31.07,24.27,29.879999,378896200,28.244505
"3",30.59,31.549999,27.360001,28.209999,248970700,26.748215
"4",28.91,33.84,28.690001,33.07,222007100,31.35638
"5",33.48,35.889999,28.860001,31.860001,394353800,30.209081
"6",32.119999,38.48,30.68,37.84,397132300,35.879209
"7",38.599998,41.73,38.599998,40.830002,228517900,38.806574
"8",41.349998,45.389999,37.68,45,305207100,42.769918
"9",45.259998,48.84,43.360001,46.939999,276369100,44.699316
"10",47.509998,50.470001,42.5,49.84,276332300,47.460886
"11",50.220001,51.450001,44.599998,50.48,249231100,48.070335
"12",50.75,51.18,44.470001,50.150002,236404100,47.841081
"13",49.880001,51.389999,45.189999,51,260866100,48.651945
"14",50.990002,57.77,50.099998,54.73,242389800,52.210214
"15",55.900002,56,36.790001,44.369999,411452100,42.416364
"16",44.68,44.84,30.48,30.52,376987100,29.176188
"17",30.059999,39.619999,27.209999,37.360001,470046100,35.715019
"18",34.720001,40.43,31.799999,36.799999,359476800,35.274075
"19",36.509998,37.900002,30.32,34.509998,381350800,33.079029
"20",33.880001,37.950001,33.639999,36.779999,388438000,35.254904
"21",37.27,39.189999,34.830002,36.59,274232400,35.072783
"22",36.889999,37.009998,32.02,33.189999,343396600,31.893388
"23",33,35.07,31.620001,34.220001,295846800,32.883152
"24",34.259998,35.32,29.1,30.059999,298514900,28.885666
"25",29.42,30.379999,26.280001,28.389999,403077400,27.363077
"26",28.459999,33.939999,27.620001,33.130001,316304300,31.931624
"27",33.369999,35.48,32.41,32.759998,232243800,31.661856
"28",32.740002,38,31,33.689999,275126600,32.560682
"29",33.93,36,31.92,32.290001,268741800,31.207614
"30",32.299999,33.450001,29.83,33.349998,245243500,32.232079
"31",33.5,35.380001,32.82,34.689999,183319900,33.618626
"32",35.48,41.060001,35.07,40.68,258173700,39.423631
"33",40.990002,43.959999,39.490002,41.509998,227782900,40.227995
"34",41.169998,42.639999,38.830002,40.41,219589500,39.282824
"35",40.349998,42.82,36.77,42.77,283427200,41.576996
"36",42,45.75,41.689999,41.849998,226173500,40.682656
"37",41.93,44.470001,40.119999,41.720001,171319500,40.677785
"38",42.029999,46.66,41.860001,45.189999,209332900,44.061098
"39",45.720001,49.369999,45.34,48,242418400,46.921735
"40",48.349998,50.5,47.459999,48.150002,159336100,47.068367
"41",48.110001,53.939999,47.990002,53.029999,176918400,51.83874
"42",53.169998,56.52,52.040001,52.68,164302100,51.496604
"43",52.830002,52.98,48.709999,50.75,208875100,49.753423
"44",50.470001,51.5,47.599998,49.009998,187710100,48.04759
"45",49.07,57.419998,47.950001,57,179831800,55.880692
"46",56.290001,59.990002,54.57,58.889999,157773000,57.885909
"47",58.689999,65.110001,57.130001,63.07,186083100,61.994639
"48",63.130001,64.940002,61.200001,64.639999,117408600,63.53787
"49",64.690002,71.260002,64.370003,71.010002,124022500,69.96161
"50",71.269997,74.330002,68.510002,68.989998,137094500,67.971429
"51",68.57,70.5,66.769997,67.610001,141509700,66.760427
"52",68.169998,68.18,63.060001,64.510002,160773000,63.699383
"53",64.629997,64.879997,48.169998,55.139999,393332800,54.447122
"54",55.5,58,41.869999,42.200001,477287000,41.669724
"55",42.02,42.130001,37.209999,39.330002,565479600,39.009855
"56",39.169998,42.049999,37.27,39.990002,387267900,39.664482
"57",40.919998,44.919998,40.279999,42.939999,309045000,42.590466
"58",42.759998,44.43,39.27,43.880001,287158300,43.706026
"59",44.290001,49.700001,43.490002,48.950001,331822600,48.755925
"60",48.889999,50.200001,44.720001,45.400002,241333100,45.22
"61",45.349998,46.689999,44.369999,46.240002,77220600,46.240002
