"","stock_data$NFX.Open","stock_data$NFX.High","stock_data$NFX.Low","stock_data$NFX.Close","stock_data$NFX.Volume","stock_data$NFX.Adjusted"
"1",53.060001,57.540001,48.310001,48.860001,23757600,48.860001
"2",49,54.68,46.18,53.459999,34003700,53.459999
"3",54.849998,55.880001,46.110001,48.009998,32799600,48.009998
"4",49.130001,57.990002,48.779999,57.439999,28496600,57.439999
"5",58.110001,61,56.700001,59.619999,26014900,59.619999
"6",60.32,68.050003,58.610001,66.830002,24481600,66.830002
"7",68.099998,73.580002,67.480003,72.110001,46851700,72.110001
"8",73.089996,73.290001,67.169998,73.169998,34555300,73.169998
"9",73.459999,76.550003,65.720001,72.790001,39050700,72.790001
"10",72.980003,77.93,67.550003,76.010002,41795700,76.010002
"11",77.07,77.32,68.480003,70.800003,32421500,70.800003
"12",71.339996,75.519997,64.57,74.589996,46493600,74.589996
"13",74.690002,75.25,62.099998,68.019997,51276100,68.019997
"14",67.910004,73.300003,66.669998,67.419998,33520200,67.419998
"15",68.720001,69.040001,44.689999,51.049999,60920700,51.049999
"16",51.509998,52.099998,39.16,39.689999,46691000,39.689999
"17",39.220001,43.599998,34.419998,40.259998,88473100,40.259998
"18",38.68,46.200001,38,45.799999,50132600,45.799999
"19",45.599998,47.400002,35.790001,37.73,49895100,37.73
"20",38.849998,41.75,37.450001,37.810001,41165500,37.810001
"21",38.150002,42.470001,35.48,36,62218000,36
"22",36.099998,36.669998,33.740002,34.68,46717200,34.68
"23",34.580002,36.240002,31.620001,35.900002,53037500,35.900002
"24",36.07,36.66,28.120001,29.959999,56588900,29.959999
"25",29.07,30.040001,25.01,29.309999,68807000,29.309999
"26",29.15,32.75,27.91,30.530001,60058200,30.530001
"27",30.610001,33.099998,28.98,32.630001,36639300,32.630001
"28",32.73,35.650002,31.01,31.32,40433400,31.32
"29",31.6,34.790001,26.73,27.120001,70318300,27.120001
"30",27.01,27.459999,23.559999,24.34,43848600,24.34
"31",24.440001,27.440001,24.129999,26.780001,34887000,26.780001
"32",27.41,30.030001,26.52,29.5,38521100,29.5
"33",29.690001,30.5,22.950001,23.120001,49481000,23.120001
"34",22.969999,24.719999,22.139999,22.42,42418100,22.42
"35",22.610001,23.299999,19.57,21.790001,74282800,21.790001
"36",21.58,25.73,21.4,23.790001,59836000,23.790001
"37",23.91,24.639999,22.15,23.889999,39744800,23.889999
"38",24.08,27.85,23.559999,24.6,44656000,24.6
"39",24.9,25.299999,22.709999,23.82,33069200,23.82
"40",24.110001,28.41,23.52,27.370001,61895800,27.370001
"41",27.360001,32.549999,27.299999,30.450001,58347400,30.450001
"42",30.49,31.75,27.77,28.1,50326300,28.1
"43",28.15,28.9,22.790001,24.629999,67482000,24.629999
"44",24.6,26.17,23.73,24.77,55190400,24.77
"45",24.75,28.35,23.57,28.190001,69308900,28.190001
"46",27.780001,31.75,27.360001,31.360001,59119000,31.360001
"47",31.43,34.02,30.940001,33.849998,58360800,33.849998
"48",34,36.77,32.720001,36.48,45819500,36.48
"49",36.549999,44.259998,36.189999,44.200001,56498000,44.200001
"50",44.209999,45.43,40.299999,40.299999,53727200,40.299999
"51",39.959999,44.869999,38.799999,44.82,38987200,44.82
"52",44.630001,44.66,36.970001,37.07,53691400,37.07
"53",37.139999,37.490002,25.139999,32.610001,108671700,32.610001
"54",32.810001,35.84,27.059999,27.23,52228400,27.23
"55",26.9,28.6,22.9,27.120001,86389300,27.120001
"56",26.84,30.26,22.309999,29.780001,88333100,29.780001
"57",30.129999,36.259998,28.68,33.029999,99389400,33.029999
"58",33.029999,35.580002,30.15,35.09,66036200,35.09
"59",35.400002,40.27,35.400002,39.240002,54238500,39.240002
"60",39.150002,39.98,33.959999,37.810001,56632500,37.810001
"61",37.880001,38.27,35.48,37.919998,19603400,37.919998
