"","stock_data$SNDK.Open","stock_data$SNDK.High","stock_data$SNDK.Low","stock_data$SNDK.Close","stock_data$SNDK.Volume","stock_data$SNDK.Adjusted"
"1",43.810001,50.549999,41.799999,42.07,186563200,40.914332
"2",42.27,46.799999,39.450001,43.700001,256452300,42.499557
"3",44.5,46.599998,33.029999,33.130001,273326900,32.219916
"4",33.93,39.880001,33.75,36.650002,256071400,35.643222
"5",37.23,40.779999,35.939999,37.630001,235975400,36.596301
"6",37.849998,45.689999,36.77,44.599998,191324200,43.374832
"7",45.470001,52.310001,45.439999,49.860001,151469000,48.490341
"8",50.66,53.610001,44.830002,45.369999,167128300,44.12368
"9",46.07,53.299999,46,49.599998,149719500,48.237481
"10",49.470001,49.5,41.099998,46.09,180991900,44.823903
"11",46.490002,51.150002,45.099998,49.330002,117963700,47.974901
"12",49.790001,49.869999,44.599998,47.52,120689000,46.214621
"13",47.09,47.09,38.790001,41.5,154992600,40.35999
"14",41.560001,46.470001,39.900002,42.529999,142483200,41.361695
"15",43.139999,43.549999,32.240002,36.650002,211554400,35.643222
"16",36.630001,44.470001,33.389999,40.360001,208685800,39.251307
"17",40.02,53.459999,37.630001,50.669998,185973100,49.278088
"18",49.25,53.110001,45.509998,49.310001,128976400,47.95545
"19",49.16,52.400002,46.650002,49.209999,89202200,47.858195
"20",49.099998,53.080002,45.43,45.880001,137065500,44.619672
"21",46.360001,50.860001,45.610001,49.48,104210400,48.120778
"22",49.98,51.799999,48.18,49.59,100622300,48.227757
"23",49.450001,50.07,34.34,37,178804500,35.983606
"24",36.91,37.75,31.34,32.700001,126706400,31.801728
"25",31.719999,37.639999,30.99,36.48,119336600,35.47789
"26",36.599998,42.75,32.080002,41.130001,138434400,40.000155
"27",41.66,44,40.349998,41.220001,85221800,40.087683
"28",41.029999,46.990002,40.459999,43.43,92009000,42.236973
"29",43.700001,46.84,41.68,41.779999,116331700,40.632298
"30",41.98,45.330002,38.470001,39.099998,97111700,38.025917
"31",39.310001,44.970001,39.060001,43.5,78944000,42.30505
"32",44.549999,50.279999,44.299999,49.990002,105151000,48.616771
"33",50.459999,52.580002,48.880001,50.41,70515200,49.025232
"34",50.02,56.490002,49.32,54.959999,65539000,53.450242
"35",55,58.919998,50.68,52.439999,108690100,50.999466
"36",52.43,60.279999,50.900002,59.02,87843000,57.398714
"37",59.25,63.73,56.82,61.099998,70504800,59.421575
"38",61.709999,63.970001,53.09,55.119999,128828800,53.605846
"39",58,59.34,53.799999,55.18,98427700,53.876757
"40",55.91,61.77,55.150002,59.509998,68189400,58.104489
"41",59.599998,70.93,59.16,69.5,115072400,68.07781
"42",69.519997,70.529999,65.419998,68.150002,79110200,66.755437
"43",67.809998,70.82,64.5,70.540001,65866700,69.096529
"44",70.019997,74.139999,68.010002,69.550003,97282300,68.349507
"45",69.459999,77,66.800003,74.300003,73555000,73.017517
"46",73.650002,82.550003,73.029999,81.190002,73169000,79.788589
"47",81.82,85.830002,73.110001,84.970001,96535300,83.503342
"48",85,97.349998,84.300003,96.629997,63631400,95.214202
"49",96.730003,104.75,94.959999,104.43,69434500,102.899922
"50",104.870003,108.769997,90.910004,91.709999,106517600,90.657668
"51",91.260002,99.43,90.660004,97.959999,55014700,96.835952
"52",98.099998,104.370003,94.68,97.949997,67607200,96.826065
"53",97.470001,97.68,80.260002,94.139999,107886300,93.367963
"54",93.589996,105,91.07,103.459999,49787900,102.611529
"55",103.779999,106.639999,95.610001,97.980003,56070900,97.176475
"56",98.580002,98.989998,74.300003,75.910004,131152600,75.28747
"57",76.080002,83.709999,75.230003,79.93,66188500,79.576535
"58",80.449997,87.43,63.560001,63.619999,128300800,63.338659
"59",63.549999,72.190002,63,66.940002,115167500,66.940002
"60",67.480003,71.239998,66.110001,68.379997,56066100,68.379997
"61",68.959999,69.360001,66,67.260002,22641600,67.260002
