"","stock_data$APC.Open","stock_data$APC.High","stock_data$APC.Low","stock_data$APC.Close","stock_data$APC.Volume","stock_data$APC.Adjusted"
"1",37.540001,45.540001,34.84,36.09,277907400,34.815549
"2",36.93,51.02,36.060001,49.16,185245900,47.424006
"3",50.709999,56.970001,45.07,45.990002,127371900,44.365951
"4",47.34,58.419998,47.18,57.049999,110854300,55.134155
"5",57.959999,63.93,55.650002,61.57,90136200,59.502365
"6",62.310001,67.68,61.34,64.160004,97277600,62.005392
"7",65.379997,78.980003,65.150002,76.160004,92521400,73.698424
"8",77.330002,79.849998,73.019997,77.080002,89824800,74.588687
"9",77.150002,82.919998,75.540001,81.830002,77314000,79.185162
"10",81.980003,84,73.349998,81.919998,74581100,79.360408
"11",83.389999,85.5,76.860001,78.940002,64470400,76.473523
"12",79.540001,81.580002,71.099998,79.519997,100522300,77.035395
"13",79.019997,79.599998,68.669998,76.760002,102336100,74.448676
"14",76.760002,85.25,75.800003,82.559998,70527900,80.074027
"15",83.800003,84,63.259998,73.75,122168200,71.529308
"16",73.690002,77.449997,63.029999,63.049999,96636200,61.230355
"17",62.169998,83.980003,57.110001,78.5,114628400,76.234464
"18",74.269997,84.419998,71.25,81.269997,90421900,78.924518
"19",80.739998,82.629997,71.18,76.330002,61612700,74.210319
"20",78.360001,82.470001,77.599998,80.720001,69672500,78.478408
"21",81.370003,88.699997,80.419998,84.120003,80648900,81.783992
"22",84.779999,87.370003,75.900002,78.339996,94141500,76.244992
"23",78.25,79.849998,69.779999,73.209999,72516900,71.252184
"24",74.050003,76.019997,59.560001,61,105036900,59.36871
"25",58.93,66.220001,56.419998,66.199997,120153200,64.520605
"26",66.18,74.129997,64.190002,69.440002,117278500,67.678417
"27",69.910004,71.089996,65.379997,69.269997,81652000,67.512724
"28",69.32,76.629997,68.169998,69.919998,72330300,68.231179
"29",70.550003,72.519997,65.82,68.809998,63446900,67.147989
"30",68.720001,74.669998,68.559998,73.190002,73545000,71.422201
"31",73.949997,76.949997,71.769997,74.309998,59187500,72.600761
"32",75.75,81.879997,74.730003,80.019997,69018900,78.179422
"33",80.800003,84.830002,77.010002,79.580002,63460000,77.749548
"34",78.870003,89.199997,78.290001,87.449997,67590700,85.531167
"35",87.160004,87.949997,78.300003,84.760002,74960700,82.900197
"36",84.169998,92.18,82.519997,87.470001,72161500,85.550733
"37",87.849998,89.089996,80.440002,85.93,56756600,84.130585
"38",86.330002,92.900002,86.080002,88.519997,64725200,86.666345
"39",89.470001,93.139999,87.57,91.419998,59829700,89.505619
"40",92.43,96.75,91.699997,92.989998,49039400,91.219275
"41",92.889999,98.470001,91.269997,95.290001,62767900,93.475482
"42",95.440002,96.540001,87.660004,88.82,61859800,87.128683
"43",88.919998,89.699997,73.599998,79.32,129986800,77.971553
"44",79.029999,83.970001,77.800003,80.690002,96863500,79.318266
"45",80.730003,85.209999,78.150002,84.160004,80185200,82.729277
"46",83.919998,86.860001,81.419998,84.760002,82547500,83.495348
"47",84.879997,103.5,84.540001,99.019997,159096900,97.542577
"48",99.150002,104.839996,97.629997,102.860001,74948600,101.325287
"49",103.230003,112.059998,100.480003,109.470001,70806100,108.121946
"50",110.720001,113,104.449997,106.849998,91255400,105.534207
"51",105.870003,113.510002,104.5,112.690002,74505500,111.302295
"52",112.080002,112.989998,100.400002,101.440002,79466800,100.437654
"53",101.440002,102.68,80.980003,91.779999,183691000,90.873102
"54",92.529999,95.940002,78.660004,79.150002,104205400,78.367905
"55",78.760002,85.209999,71,82.5,158154500,81.964689
"56",80.970001,84.139999,73.82,81.75,115446600,81.219555
"57",83.010002,90.099998,80.760002,84.230003,100390100,83.683467
"58",84.230003,84.230003,77,82.809998,90183200,82.545366
"59",83.760002,95.940002,82.919998,94.099998,90916500,93.799288
"60",93.93,95.75,82.830002,83.610001,84392600,83.342813
"61",83.959999,85.43,82.68,84.610001,25953400,84.610001
